N	2gram	Tiupa_Teor_1	Sovremen
297	дело в	2	1
298	это уже	1	1
299	не является	4	1
300	без остатка	2	1
301	такой фактор	1	1
302	и от	1	1
303	только не	2	1
304	вытекает из	1	1
305	никогда не	4	1
306	или в	3	1
307	на язык	1	1
308	эта сторона	1	1
309	хотя и	3	1
310	только и	1	1
311	жизни не	1	1
312	не представляет	1	1
313	себя самого	1	1
314	не более	1	1
315	жизни как	4	1
316	все они	1	1
317	и его	8	1
318	связи с	1	1
319	ничто не	1	1
320	ни было	1	1
321	на которой	1	1
322	а о	1	1
323	между ними	4	1
324	это делает	1	1
325	не знает	3	1
326	сказать что	3	1
327	но этим	1	1
328	и для	2	1
329	очень часто	1	1
330	как принадлежащие	1	1
331	не что	1	1
332	свободы и	1	1
333	же природы	1	1
334	в то	6	1
335	единства в	1	1
336	половины и	1	1
337	мы по	2	1
338	в какой	2	1
339	той или	1	1
340	в своих	1	1
341	в пьесе	1	1
342	и свою	1	1
343	на это	1	1
344	все что	1	1
345	они не	1	1
346	на второй	1	1
