N	2gram	Tiupa_Lite_3	VeschiIm
130	о том	6	4
131	определенным образом	1	4
132	с другой	6	4
133	что и	2	4
134	то и	1	4
135	из них	4	4
136	бытия и	1	4
137	тем что	2	4
138	и даже	2	4
139	даже не	1	4
140	и потому	2	4
141	в данном	4	4
142	быть не	2	4
143	как только	1	4
144	и все	1	4
145	собственно говоря	1	4
146	оно не	2	4
147	самом деле	3	3
148	отношения к	3	3
149	вопрос о	2	3
150	из того	2	3
151	момент в	1	3
152	себе самой	1	3
153	более или	1	3
154	ее как	1	3
155	в нем	2	3
156	подобно тому	2	3
157	было в	1	3
158	в жизни	8	3
159	реальности и	1	3
160	несмотря на	2	3
161	и тогда	2	3
162	нисколько не	1	3
163	или менее	1	3
164	можно только	1	3
165	в своей	7	3
166	все это	1	3
167	вещей как	1	3
168	как о	2	3
169	тогда когда	1	3
170	и притом	1	3
171	своего существования	1	3
172	в основе	5	3
173	в уме	1	3
174	того чтобы	2	3
175	ему не	1	3
176	к себе	8	3
177	к тому	6	3
178	вещей в	2	3
179	и сам	2	3
180	так и	9	3
181	нужно было	1	3
182	о ней	1	3
183	можно сказать	2	3
184	если это	2	3
185	один из	2	3
186	что он	5	3
187	только на	1	3
188	сама по	1	3
189	в одном	4	3
190	отношение к	2	3
191	никогда не	4	3
192	а с	1	3
193	вместе с	5	3
194	в той	1	3
195	тому как	3	3
196	сама себя	1	3
197	себя самого	1	3
198	бы в	1	3
199	хотя бы	1	3
200	я в	7	3
201	как это	3	2
202	в первом	2	2
203	из его	1	2
204	обойтись без	1	2
205	мы уже	1	2
206	той же	3	2
207	как мы	2	2
208	и самой	1	2
209	мысли и	1	2
210	тогда как	17	2
211	себе и	1	2
212	с сущностью	1	2
213	как в	5	2
214	когда он	2	2
215	я должен	1	2
216	это тоже	1	2
217	то в	3	2
218	себе как	1	2
219	так или	2	2
220	и если	4	2
221	он не	1	2
222	как личность	1	2
223	о которой	2	2
224	для того	2	2
225	в силу	1	2
226	и вот	2	2
227	а затем	3	2
228	свое имя	1	2
229	есть конечно	1	2
230	на все	1	2
231	то есть	5	2
232	на этой	1	2
233	затем и	1	2
234	и тем	3	2
235	только одно	1	2
236	но уже	3	2
237	все равно	1	2
238	в слове	3	2
239	и уже	1	2
240	жизнь не	1	2
241	она сама	1	2
242	жизнь и	1	2
243	и эти	1	2
244	тому что	1	2
245	а а	1	2
246	с которой	2	2
247	что ему	2	2
248	и сама	1	2
249	для всего	1	2
250	и его	6	2
251	это уже	1	2
252	у меня	1	2
253	для такого	2	2
254	как некое	1	2
255	как некая	1	2
256	то она	2	2
257	данном случае	4	2
258	самим собою	1	2
259	шла речь	1	2
260	с собой	1	2
261	не с	2	2
262	сущности ибо	1	2
263	том как	1	2
264	приводит их	1	2
265	в виду	1	2
266	на вопрос	1	2
267	во втором	2	2
268	еще более	1	2
269	об их	1	2
270	но между	1	2
271	в качестве	5	2
272	но совершенно	1	2
273	не случайно	3	2
274	о которых	1	2
275	на ее	1	2
276	или иначе	2	2
277	превращается в	1	2
278	ничем не	1	2
279	а так	2	2
280	о чем	3	2
281	если не	2	2
282	в частности	11	2
283	говорится о	1	2
284	какого бы	2	2
285	самого себя	1	2
286	в первой	2	2
287	ни к	3	2
288	не я	2	2
289	отношении к	1	2
290	к ее	1	2
291	вопрос как	1	2
292	жизни в	4	2
293	может и	1	2
294	это все	1	2
295	была бы	1	2
296	но еще	2	2
297	а я	3	2
298	в своих	2	2
299	так же	2	2
300	этой точки	1	2
301	и наиболее	1	1
302	я и	10	1
303	разных времен	1	1
304	с кем	1	1
305	идет о	1	1
306	между двумя	1	1
307	от самого	1	1
308	из самых	1	1
309	по преимуществу	1	1
310	что эти	1	1
311	исходит из	1	1
312	оно было	1	1
313	все те	1	1
314	едва ли	3	1
315	с таким	1	1
316	бы уже	1	1
317	этот самый	1	1
318	для своего	2	1
319	ней есть	1	1
320	из своих	1	1
321	но по	1	1
322	в каждый	1	1
323	и никакое	1	1
324	жизни как	2	1
325	и со	1	1
326	уже в	1	1
327	кто же	1	1
328	предстает как	2	1
329	проявляется в	1	1
330	в xix	1	1
331	на другом	1	1
332	и на	2	1
333	себя а	1	1
334	с его	6	1
335	и подобно	1	1
336	в обеих	1	1
337	своим и	1	1
338	и и	1	1
339	если в	1	1
340	искусство в	2	1
341	в общем	1	1
342	мне но	1	1
343	отличие от	5	1
344	в истории	1	1
345	субъекта и	5	1
346	стороны и	2	1
347	сознания но	1	1
348	перед нами	1	1
349	и где	1	1
350	хотя и	4	1
351	и к	3	1
352	самом начале	1	1
353	выявляет свою	1	1
354	еще на	2	1
355	пришлось дополнить	1	1
356	состоит как	1	1
357	чем бы	1	1
358	же причине	1	1
359	но без	2	1
360	в этой	8	1
361	еще один	2	1
362	раз в	2	1
363	и кто	1	1
364	жизнь как	2	1
365	тому же	5	1
366	как он	1	1
367	в общении	1	1
368	к общению	1	1
369	в определенном	1	1
370	при этом	15	1
371	у людей	1	1
372	знали что	1	1
373	отказа от	1	1
374	равно и	1	1
375	момента в	1	1
376	и еще	1	1
377	и утверждает	1	1
378	в понимании	1	1
379	свою собственную	1	1
380	в принципе	2	1
381	не к	1	1
382	не как	2	1
383	том чтобы	2	1
384	поле и	1	1
385	однако в	4	1
386	о таком	1	1
387	выражение и	1	1
388	в определенное	1	1
389	который и	1	1
390	такова природа	1	1
391	он все	2	1
392	вещи вещь	1	1
393	который сам	1	1
394	в них	1	1
395	она и	2	1
396	далеко не	2	1
397	со своими	2	1
398	не всегда	2	1
399	и индивидуальный	1	1
400	он и	2	1
401	и вне	1	1
402	она была	1	1
403	и того	1	1
404	со всей	2	1
405	же я	1	1
406	на первый	1	1
407	с ума	1	1
408	что такая	1	1
409	каждой своей	1	1
410	нас не	1	1
411	в котором	1	1
412	то для	1	1
413	с первой	2	1
414	в отличие	5	1
415	которые для	1	1
416	втором случае	1	1
417	слово для	1	1
418	что было	1	1
419	что никакой	1	1
420	сознание что	1	1
421	тем самым	7	1
422	как от	1	1
423	ли уже	1	1
424	даже в	4	1
425	сам он	1	1
426	нас к	2	1
427	например и	1	1
428	чистом виде	1	1
429	не имеет	1	1
430	к новым	1	1
431	говорят и	1	1
432	с и	1	1
433	и внутренней	1	1
434	и восприятия	1	1
435	само всегда	1	1
436	о природе	2	1
437	такова что	1	1
438	по своей	3	1
439	и является	1	1
440	xix веке	1	1
441	уже и	1	1
442	и делает	1	1
443	личности в	3	1
444	свое собственное	1	1
445	от жизни	2	1
446	в общую	1	1
447	нет ни	1	1
448	слияния со	1	1
449	сама жизнь	1	1
450	и мне	1	1
451	отличное от	1	1
452	только мне	1	1
453	ничего общего	1	1
454	что вы	1	1
455	им в	2	1
456	который поэтому	1	1
457	более не	1	1
458	в конце	2	1
459	с каким	1	1
460	и от	1	1
461	если сейчас	1	1
462	только не	1	1
463	со мною	1	1
464	однако если	3	1
465	на том	1	1
466	до самого	1	1
467	природе своей	1	1
468	что у	2	1
469	в другом	6	1
470	на нее	1	1
471	себя что	1	1
472	здесь как	2	1
473	который я	1	1
474	имеется в	1	1
475	для самой	1	1
476	быть может	2	1
477	передо мною	1	1
478	или иной	2	1
479	о нем	2	1
480	уже были	1	1
481	искусства и	3	1
482	от окружающего	1	1
483	и активно	1	1
484	общением с	1	1
485	говорит об	1	1
486	есть собственно	1	1
487	и который	1	1
488	а также	4	1
489	нас в	1	1
490	не привело	1	1
491	с нами	1	1
492	нуждается в	1	1
493	вне меня	1	1
494	чем и	1	1
495	не надо	2	1
496	вслед за	3	1
497	а именно	5	1
498	не зная	1	1
499	что здесь	1	1
500	одного из	2	1
501	но с	2	1
502	его собственная	1	1
503	в двух	1	1
504	от живого	1	1
505	всей жизни	1	1
506	не было	1	1
507	субъекта но	1	1
508	с одной	4	1
509	на мой	1	1
510	именно на	1	1
511	для всех	1	1
512	конечно не	1	1
513	и у	1	1
514	лишь моя	1	1
515	оно в	1	1
516	в начале	4	1
517	свидетельствует о	1	1
518	к своим	2	1
519	очевидно что	1	1
520	этом в	1	1
521	к чему-то	1	1
522	вовсе не	1	1
523	у него	1	1
524	личность а	1	1
525	собственного я	2	1
526	есть выражение	1	1
527	к той	1	1
528	к объективному	2	1
529	и вместе	2	1
530	но из	1	1
531	где в	1	1
532	один в	2	1
533	исходят из	1	1
534	я только	2	1
535	превратится в	1	1
536	или о	1	1
537	те кто	3	1
538	к человеку	1	1
539	окружающего мира	1	1
540	одной стороны	4	1
541	а сам	1	1
542	что несмотря	1	1
543	как ни	1	1
544	и выше	2	1
545	без которых	1	1
546	физического зрения	1	1
547	было сказано	1	1
548	стороны в	1	1
549	нет ничего	1	1
550	и она	1	1
551	порождает и	1	1
552	и а	3	1
553	их к	1	1
554	к бытию	1	1
555	есть результат	1	1
556	по существу	4	1
557	и жизнь	1	1
558	слова и	1	1
559	меня я	1	1
560	к другим	1	1
561	этот образ	1	1
562	от той	1	1
563	и человек	1	1
564	сознания и	2	1
565	его с	1	1
566	о котором	1	1
567	об искусстве	4	1
568	лишь как	1	1
569	у них	1	1
570	и внешней	1	1
571	в третьем	3	1
572	чтобы его	1	1
573	не будучи	1	1
574	вообще в	1	1
575	ибо в	1	1
576	случае со	1	1
577	одной из	1	1
578	с ней	2	1
579	другой стороны	2	1
580	к его	1	1
581	жизни а	2	1
582	я это	2	1
583	из этого	1	1
584	и идеи	1	1
585	из своей	1	1
586	в действительности	1	1
587	читателя и	2	1
588	к этой	1	1
589	вещь которая	1	1
590	как таковое	2	1
591	в противоположность	2	1
592	к этому	2	1
593	в таком	1	1
594	они не	1	1
595	которая не	1	1
