N	2gram	Vygotskiy__7	Myslijsy
366	об этом	3	2
367	связанное с	1	2
368	свойств и	1	2
369	о том	4	2
370	но мы	3	2
371	или на	1	2
372	этой мысли	1	2
373	мысль не	4	2
374	должно было	2	2
375	связь между	6	2
376	словом которое	1	2
377	первых порах	1	2
378	от них	1	2
379	содержание слова	1	2
380	в форме	1	2
381	может стать	1	2
382	о предмете	1	2
383	речи есть	3	2
384	и мы	1	2
385	которое было	2	2
386	и значением	5	2
387	мы видим	3	2
388	одной из	4	2
389	готовой мысли	1	2
390	в какой	6	2
391	которое мы	2	2
392	и после	1	2
393	но как	1	2
394	нам возможность	1	2
395	к звуку	1	2
396	связи с	4	2
397	ряду других	1	2
398	в виде	1	2
399	слова не	1	2
400	восприятий в	1	2
401	в одном	1	2
402	себя от	2	2
403	у него	1	2
404	слове не	1	2
405	в других	1	2
406	ближайшим образом	1	2
407	на стороне	1	2
408	не были	1	2
409	развития в	3	2
410	есть мысль	1	2
411	а с	1	2
412	у меня	1	2
413	подлежащего и	3	2
414	в речи	5	2
415	ко всем	2	2
416	в разговоре	1	2
417	по своему	9	2
418	он говорит	1	2
419	что же	2	2
420	слов в	1	2
421	что как	1	2
422	быть не	1	2
423	для ребенка	2	2
424	с этой	5	2
425	перед нами	2	2
426	начале развития	3	2
427	слова но	3	2
428	то не	1	2
429	бы в	5	2
430	и наконец	4	2
431	же в	1	2
432	отношении к	1	2
433	но этот	2	2
434	внутреннее единство	2	2
435	первом случае	3	2
436	есть то	3	2
437	которая не	1	2
438	и наиболее	2	1
439	слова которые	1	1
440	отношения к	2	1
441	одним из	2	1
442	образом даже	1	1
443	переходит к	4	1
444	ближайшее отношение	1	1
445	все остальное	1	1
446	на самом	3	1
447	словами и	1	1
448	к своей	1	1
449	бы для	1	1
450	мысли к	11	1
451	отношения между	4	1
452	в мыслях	3	1
453	что эти	3	1
454	оно было	1	1
455	его связь	1	1
456	внутренняя связь	1	1
457	едва ли	4	1
458	слова тот	1	1
459	значение но	1	1
460	его деятельность	1	1
461	сказать с	1	1
462	поэзии и	2	1
463	о свойствах	1	1
464	отношение слова	1	1
465	понятия но	2	1
466	на первом	2	1
467	что между	2	1
468	что если	2	1
469	нашу мысль	1	1
470	которую мы	1	1
471	вопрос о	6	1
472	мы называем	1	1
473	в сущности	9	1
474	время как	2	1
475	но она	1	1
476	отдельных частей	1	1
477	один предмет	1	1
478	без них	1	1
479	указывая на	1	1
480	увидим ниже	1	1
481	но напротив	2	1
482	и столь	3	1
483	того же	1	1
484	и он	2	1
485	с большим	1	1
486	значения в	1	1
487	видеть не	1	1
488	мы потому	1	1
489	он сам	1	1
490	здесь не	1	1
491	создавать его	1	1
492	без всякого	1	1
493	только после	1	1
494	мысль что	1	1
495	от его	1	1
496	данном случае	5	1
497	он может	1	1
498	совсем не	1	1
499	себя все	1	1
500	мы нашли	5	1
501	другой мысли	1	1
502	если в	4	1
503	можем не	2	1
504	ли я	1	1
505	отличие от	2	1
506	оно только	1	1
507	друг от	2	1
508	нет и	3	1
509	и другого	2	1
510	которые не	1	1
511	всех ее	1	1
512	представим себе	1	1
513	это одно	1	1
514	некоторое время	1	1
515	стороны и	4	1
516	что ее	2	1
517	мы тем	1	1
518	хотя и	1	1
519	могли бы	5	1
520	в образовании	1	1
521	имеет в	3	1
522	но в	4	1
523	приводит анекдот	1	1
524	то в	2	1
525	но эта	2	1
526	к чему	1	1
527	и переходит	1	1
528	случае они	2	1
529	все эти	6	1
530	если мы	5	1
531	них самих	1	1
532	еще один	1	1
533	что к	1	1
534	отношение между	4	1
535	о человеке	2	1
536	тому же	1	1
537	но на	1	1
538	в наших	4	1
539	чем больше	1	1
540	вытекающее из	1	1
541	бы с	2	1
542	в первых	1	1
543	но именно	2	1
544	идет от	1	1
545	при виде	1	1
546	в понимании	1	1
547	переходит от	2	1
548	своему строению	6	1
549	и свойства	1	1
550	кажется нам	1	1
551	предложения и	1	1
552	положения что	1	1
553	общего и	1	1
554	не станем	1	1
555	и природу	1	1
556	мы его	1	1
557	вывести из	1	1
558	в совершенно	1	1
559	нам остается	1	1
560	и внутренняя	1	1
561	на ту	1	1
562	будем рассуждать	1	1
563	характер есть	1	1
564	лишь в	2	1
565	заключается в	6	1
566	которого не	2	1
567	образом если	1	1
568	в глазах	1	1
569	это не	3	1
570	или образом	1	1
571	то все	1	1
572	с вопросом	1	1
573	в сложном	1	1
574	наблюдению и	1	1
575	видеть и	1	1
576	только одно	2	1
577	соображения и	1	1
578	шагу в	1	1
579	сказать и	1	1
580	речи переходит	2	1
581	в общей	1	1
582	словом слово	1	1
583	или наоборот	1	1
584	которой он	1	1
585	и вне	1	1
586	есть звук	1	1
587	его слово	1	1
588	другими предметами	1	1
589	мыслей не	1	1
590	в этих	2	1
591	мы как	1	1
592	но если	2	1
593	внешним и	1	1
594	таким же	1	1
595	причины и	1	1
596	заключать в	1	1
597	в такой	4	1
598	с точки	21	1
599	иллюзия как	1	1
600	нет возможности	1	1
601	чем более	1	1
602	представлений и	1	1
603	к познанию	1	1
604	собеседника если	1	1
605	которые в	2	1
606	другом и	1	1
607	но он	2	1
608	ребенком в	1	1
609	друг другу	3	1
610	есть именно	1	1
611	речи в	27	1
612	слова к	5	1
613	что этот	5	1
614	и связанное	1	1
615	целиком и	1	1
616	чтобы иметь	1	1
617	ничего нового	1	1
618	хотя это	1	1
619	моментов не	1	1
620	и другое	3	1
621	же иллюзия	1	1
622	ее с	1	1
623	его внутренняя	1	1
624	на себе	1	1
625	и сама	1	1
626	в процессе	5	1
627	было не	1	1
628	или понятие	1	1
629	достигает своего	2	1
630	значение этого	1	1
631	не могло	1	1
632	следовательно и	1	1
633	того и	2	1
634	самого предмета	1	1
635	не имели	1	1
636	в общих	1	1
637	внутреннего единства	1	1
638	ничего не	2	1
639	символическое значение	1	1
640	случаях как	1	1
641	речи не	5	1
642	но очень	1	1
643	ее деятельности	1	1
644	своей природе	4	1
645	и связи	1	1
646	развивается в	1	1
647	обобщения и	1	1
648	во всем	3	1
649	не дано	1	1
650	вещь и	1	1
651	что на	2	1
652	и речь	3	1
653	необходимо должно	1	1
654	с другом	2	1
655	поводу каждой	1	1
656	представляется нам	3	1
657	про себя	1	1
658	отличается от	3	1
659	и внешнюю	1	1
660	же самое	5	1
661	в памяти	2	1
662	наоборот в	1	1
663	для его	1	1
664	о происхождении	1	1
665	мы могли	6	1
666	особенности и	1	1
667	явлением не	1	1
668	однако по	1	1
669	и которая	1	1
670	из всего	1	1
671	своего развития	1	1
672	значения и	3	1
673	от друга	2	1
674	в виду	5	1
675	служит только	1	1
676	такое что	3	1
677	от внешней	6	1
678	имеет ближайшее	1	1
679	и значения	3	1
680	в понятие	1	1
681	как по	1	1
682	это с	1	1
683	и говорит	1	1
684	с самого	7	1
685	как представление	1	1
686	в мысль	2	1
687	от мысли	5	1
688	по способу	1	1
689	речи то	4	1
690	выражения и	1	1
691	что у	4	1
692	развития языка	2	1
693	времени и	1	1
694	ясно что	1	1
695	мог бы	3	1
696	в силе	1	1
697	в результате	1	1
698	понятно что	1	1
699	связанных между	2	1
700	нечто такое	2	1
701	силу того	1	1
702	совершенно невозможно	1	1
703	для этого	3	1
704	из одного	1	1
705	остановимся на	1	1
706	в отдельном	1	1
707	предположить что	1	1
708	это внутреннее	2	1
709	и внешней	1	1
710	нас и	2	1
711	находится в	2	1
712	если как	1	1
713	или слово	1	1
714	и здесь	2	1
715	мышление как	1	1
716	и т.д	1	1
717	развития как	2	1
718	говорить не	1	1
719	другими словами	1	1
720	деле а	1	1
721	одного из	2	1
722	не имеем	1	1
723	этой работе	1	1
724	образом значение	1	1
725	после того	1	1
726	мы старались	1	1
727	в математике	2	1
728	понятие и	1	1
729	нас в	2	1
730	образом мы	1	1
731	раз и	1	1
732	всего своего	1	1
733	всегда предполагает	1	1
734	восприятии и	1	1
735	во всех	6	1
736	ее от	2	1
737	которые мы	4	1
738	этому поводу	3	1
739	судить о	1	1
740	различие в	1	1
741	за другим	1	1
742	эти два	1	1
743	других но	1	1
744	от одного	2	1
745	в другой	1	1
746	другого в	1	1
747	язык в	1	1
748	слова оказывается	1	1
749	как внутренняя	1	1
750	есть тоже	1	1
751	если это	1	1
752	взятое вместе	1	1
753	происходит в	1	1
754	значит что	1	1
755	тех пор	1	1
756	предмета и	1	1
757	что здесь	1	1
758	хорошо известно	1	1
759	есть такой	1	1
760	бы перестать	1	1
761	если сравнить	1	1
762	в двух	1	1
763	нам о	2	1
764	и представляет	1	1
765	которое одно	1	1
766	в стороне	1	1
767	который в	1	1
768	так необходимо	1	1
769	и ее	2	1
770	к высшим	1	1
771	не мешает	1	1
772	по этому	4	1
773	в выражении	1	1
774	и судьбе	2	1
775	и мысли	1	1
776	и мыслью	1	1
777	человека с	1	1
778	лежащие в	1	1
779	нас с	1	1
780	конечно не	1	1
781	положение что	1	1
782	ее из	1	1
783	а это	1	1
784	каким образом	1	1
785	при помощи	1	1
786	от значения	2	1
787	но совершенно	1	1
788	языка но	1	1
789	его и	2	1
790	сторона слова	1	1
791	не связанных	1	1
792	мы знаем	2	1
793	целом и	1	1
794	иначе как	6	1
795	в прошлом	1	1
796	не выражается	2	1
797	к ним	1	1
798	как его	1	1
799	и бесконечно	1	1
800	должен был	1	1
801	стоящим на	1	1
802	трех моментов	1	1
803	не говорит	1	1
804	другой а	1	1
805	себя это	1	1
806	в очень	1	1
807	к самому	1	1
808	не является	3	1
809	значение чем	1	1
810	чтобы показать	1	1
811	сказуемого идет	1	1
812	нужно было	4	1
813	на ее	2	1
814	них в	1	1
815	по своим	2	1
816	значении слова	1	1
817	следовательно не	2	1
818	значений и	3	1
819	мысль которая	1	1
820	к более	1	1
821	ребенка в	1	1
822	на этот	1	1
823	принадлежит не	1	1
824	возможность не	1	1
825	не означает	3	1
826	же речь	1	1
827	оно представляет	2	1
828	и непосредственно	1	1
829	от внутренней	1	1
830	с которым	1	1
831	его как	1	1
832	также с	1	1
833	образом это	1	1
834	слове поэтому	1	1
835	более глубокое	1	1
836	под влиянием	1	1
837	и отношение	1	1
838	направлении и	1	1
839	входить в	1	1
840	речь но	1	1
841	и определенности	1	1
842	в одной	3	1
843	эта особенность	1	1
844	и приобретает	2	1
845	первому и	1	1
846	себя из	1	1
847	в данном	5	1
848	если оно	1	1
849	же области	1	1
850	который мы	2	1
851	она есть	1	1
852	перехода от	4	1
853	быть если	1	1
854	отдельных явлений	1	1
855	находятся в	1	1
856	сравнить его	1	1
857	друг с	2	1
858	ни одно	1	1
859	исходя из	1	1
860	это значит	1	1
861	что считать	1	1
862	и там	1	1
863	этим последним	1	1
864	сознании то	1	1
865	и наши	1	1
866	выражение мысли	1	1
867	только для	1	1
868	и таким	1	1
869	истории но	1	1
870	из ряда	1	1
871	слова так	1	1
872	случае он	1	1
873	коренное и	1	1
874	мыслей к	1	1
875	мышления в	1	1
876	формы и	1	1
877	о котором	1	1
878	так мы	1	1
879	впечатления от	2	1
880	как для	2	1
881	перестать быть	2	1
882	развития и	2	1
883	деятельность в	1	1
884	и которое	1	1
885	с не	1	1
886	в одинаковой	3	1
887	на одно	2	1
888	по самой	1	1
889	себе или	1	1
890	и словом	5	1
891	в самое	1	1
892	мысль при	1	1
893	слову есть	2	1
894	его был	1	1
895	до тех	1	1
896	к ее	1	1
897	от ее	2	1
898	в море	1	1
899	может и	2	1
900	между ними	3	1
901	скажем только	1	1
902	определенный смысл	1	1
903	сделать некоторые	1	1
904	самой своей	1	1
905	формы внутренней	1	1
906	не вижу	1	1
907	по одному	1	1
908	я могу	2	1
909	нет но	1	1
910	возможным только	1	1
911	к обобщению	1	1
912	его образе	1	1
913	находящихся в	1	1
914	этим объясняется	1	1
915	мысль и	3	1
916	что то	2	1
917	но эти	1	1
918	это так	1	1
919	предмет в	1	1
920	ее в	8	1
921	нас не	1	1
922	во всяком	2	1
923	гораздо более	4	1
