N	2gram	Bakhtin_fo_1	RusskieA
240	в беседу	1	1
241	здесь и	2	1
242	из самых	1	1
243	женщины и	1	1
244	и до	5	1
245	очень много	1	1
246	объясняется и	1	1
247	сливается с	1	1
248	мы уже	11	1
249	например в	6	1
250	жизни по	2	1
251	в первый	1	1
252	и сущность	1	1
253	происходило в	1	1
254	из того	1	1
255	мы и	4	1
256	исходная точка	1	1
257	в народных	1	1
258	в ней	4	1
259	без которой	1	1
260	в различных	2	1
261	или до	1	1
262	существенного значения	2	1
263	только два	2	1
264	их так	1	1
265	оно совершенно	1	1
266	относятся и	1	1
267	явлений и	1	1
268	не входит	2	1
269	дня в	1	1
270	нет и	2	1
271	большое значение	1	1
272	отнюдь не	5	1
273	вообще момент	1	1
274	за эти	1	1
275	независимо от	1	1
276	народа в	1	1
277	стороны и	2	1
278	в своем	4	1
279	перед нами	1	1
280	тех случаях	1	1
281	хотя и	3	1
282	и наконец	1	1
283	от других	1	1
284	по пути	1	1
285	не являются	2	1
286	даже просто	1	1
287	увидим что	1	1
288	от этого	2	1
289	в самом	8	1
290	них о	1	1
291	животных и	1	1
292	же месте	1	1
293	себя к	1	1
294	уже в	2	1
295	или во	1	1
296	не оставляет	6	1
297	выражение в	2	1
298	продолжает играть	1	1
299	тому же	2	1
300	как он	2	1
301	на то	1	1
302	но на	4	1
303	не могла	1	1
304	вообще не	3	1
305	к выводу	1	1
306	не следует	1	1
307	в нем	24	1
308	вера в	2	1
309	плачут и	1	1
310	так сказать	7	1
311	всех этих	5	1
312	различные формы	1	1
313	он должен	2	1
314	на третий	1	1
315	и свойства	1	1
316	здесь соответствует	1	1
317	домов и	1	1
318	только в	4	1
319	человек с	1	1
320	случай а	1	1
321	но все	5	1
322	по его	1	1
323	ее по	2	1
324	могла бы	1	1
325	что все	2	1
326	значение в	5	1
327	в другом	1	1
328	из себя	1	1
329	воскресения и	1	1
330	а как	3	1
331	входит в	3	1
332	уже знаем	1	1
333	и дает	3	1
334	чаще всего	1	1
335	в новое	3	1
336	то увидим	1	1
337	по всему	1	1
338	нет в	2	1
339	о которой	1	1
340	здесь все	2	1
341	в научной	1	1
342	таким же	1	1
343	уже к	1	1
344	место в	2	1
345	были известны	1	1
346	всю во	1	1
347	своего рода	1	1
348	как другие	1	1
349	и временем	1	1
350	мир и	2	1
351	но эта	3	1
352	но они	3	1
353	что этот	1	1
354	на всю	1	1
355	указывали что	1	1
356	возвращается к	1	1
357	и очень	1	1
358	эти дни	1	1
359	выходят из	1	1
360	с которой	1	1
361	виду что	1	1
362	этого же	1	1
363	как о	1	1
364	дело в	2	1
365	связан и	1	1
366	как таковых	1	1
367	в основе	5	1
368	не вызывает	1	1
369	мужей и	1	1
370	следовательно и	1	1
371	до самой	1	1
372	была сделана	2	1
373	ничего не	9	1
374	по своей	1	1
375	буквальном смысле	2	1
376	и его	16	1
377	земле а	1	1
378	этом отношении	3	1
379	не является	2	1
380	от их	1	1
381	и оно	1	1
382	и здесь	1	1
383	форме это	1	1
384	во все	2	1
385	и такие	1	1
386	как только	1	1
387	и за	1	1
388	для его	1	1
389	оно не	2	1
390	здесь еще	2	1
391	обычно в	2	1
392	и это	4	1
393	этом разнообразии	1	1
394	из всего	1	1
395	указывали на	1	1
396	свою очередь	1	1
397	и сами	1	1
398	всем этим	3	1
399	здесь не	4	1
400	на основе	2	1
401	в особенности	9	1
402	и этим	1	1
403	через три	1	1
404	в пределах	5	1
405	ряду с	1	1
406	приводит к	1	1
407	и иные	2	1
408	и совершенно	1	1
409	с собой	1	1
410	так и	12	1
411	здесь нет	3	1
412	обрядов и	1	1
413	этим в	1	1
414	можно только	2	1
415	он был	1	1
416	если бы	5	1
417	и вообще	2	1
418	с ним	2	1
419	выводу что	1	1
420	находится в	1	1
421	другом месте	1	1
422	то они	1	1
423	на этой	4	1
424	и поэтому	1	1
425	совершенно иной	3	1
426	затем в	1	1
427	и во	7	1
428	нас в	3	1
429	из дому	1	1
430	как нет	1	1
431	места и	1	1
432	iii эта	1	1
433	этот момент	1	1
434	в его	13	1
435	но нет	1	1
436	во всей	3	1
437	по разным	1	1
438	в ту	1	1
439	в другую	2	1
440	различных и	1	1
441	и мир	1	1
442	в литературе	16	1
443	быть и	2	1
444	которой и	1	1
445	год и	1	1
446	тот же	1	1
447	в основном	5	1
448	с ними	1	1
449	на очень	1	1
450	что он	1	1
451	мы увидим	1	1
452	и является	2	1
453	их не	1	1
454	от них	1	1
455	в эти	1	1
456	человека с	1	1
457	же и	2	1
458	с нею	1	1
459	в большинстве	1	1
460	только на	3	1
461	вернуться к	1	1
462	значение и	3	1
463	здесь это	3	1
464	с греческим	1	1
465	время этого	1	1
466	так называемый	2	1
467	при первой	1	1
468	при помощи	1	1
469	в данной	2	1
470	и обратно	1	1
471	но есть	1	1
472	ни с	2	1
473	мир в	2	1
474	был бы	3	1
475	для него	2	1
476	всяком случае	1	1
477	могло бы	1	1
478	в одном	3	1
479	в пространстве	5	1
480	в конце	9	1
481	к ним	2	1
482	или это	1	1
483	как его	1	1
484	должны будем	1	1
485	как раз	13	1
486	на некоторые	1	1
487	само собой	2	1
488	рядом с	2	1
489	которые как	1	1
490	время как	5	1
491	в это	2	1
492	и даже	2	1
493	даже не	2	1
494	имеет место	3	1
495	и др	9	1
496	на ней	1	1
497	месте и	1	1
498	притом не	1	1
499	ей не	1	1
500	не на	1	1
501	на весь	1	1
502	этой игры	1	1
503	при начале	1	1
504	и следовательно	4	1
505	на которые	1	1
506	в одно	3	1
507	также с	1	1
508	есть одно	1	1
509	может иметь	1	1
510	и вперед	1	1
511	свою судьбу	1	1
512	по случаю	1	1
513	и потому	3	1
514	в иных	1	1
515	к себе	4	1
516	одном ряду	1	1
517	по своему	1	1
518	существу не	2	1
519	смысле этого	1	1
520	всякой связи	1	1
521	он может	1	1
522	и основной	1	1
523	есть одна	1	1
524	в тех	1	1
525	в человеческом	1	1
526	свойства и	1	1
527	который он	1	1
528	литературе оно	1	1
529	и более	1	1
530	этого слова	1	1
531	и не	14	1
532	что касается	1	1
533	и тогда	1	1
534	вошла в	1	1
535	из ряда	1	1
536	третий день	1	1
537	же значение	1	1
538	при всем	1	1
539	становится ясным	1	1
540	случаях когда	1	1
541	она может	1	1
542	ее но	1	1
543	место для	3	1
544	магический характер	1	1
545	и вызывает	1	1
546	из различных	1	1
547	от него	1	1
548	не более	1	1
549	тем более	1	1
550	мы должны	2	1
551	его жизнь	1	1
552	которые в	1	1
553	или не	2	1
554	и воскресение	1	1
555	этих элементов	1	1
556	его к	1	1
557	этой же	1	1
558	в свою	2	1
559	это изображение	1	1
560	сказать что	3	1
561	они как	1	1
562	нет но	2	1
563	всех других	1	1
564	имеет существенного	1	1
565	можно наблюдать	1	1
566	время не	2	1
567	этим объясняется	1	1
568	день после	1	1
569	во всяком	3	1
570	и эта	2	1
