N	2gram	Tiupa_Anal_1	UchenyiS
208	строго говоря	1	1
209	в течение	1	1
210	в той	8	1
211	он может	2	1
212	в данном	2	1
213	этих слов	1	1
214	что же	2	1
215	понятие эстетического	1	1
216	не входит	1	1
217	того что	4	1
218	в которых	1	1
219	речи в	1	1
220	их в	1	1
221	произведения в	11	1
222	друг с	1	1
223	в наиболее	3	1
224	художественного впечатления	14	1
225	на его	2	1
226	форма в	1	1
227	нет и	2	1
228	за пределы	2	1
229	научному анализу	2	1
230	быть не	3	1
231	него не	1	1
232	определяется не	1	1
233	л толстой	1	1
234	его как	1	1
235	отнюдь не	15	1
236	счете только	1	1
237	еще раз	1	1
238	первый взгляд	1	1
239	нас самих	2	1
240	независимо от	1	1
241	его на	1	1
242	научное изучение	1	1
243	литературы как	2	1
244	большей или	4	1
245	рассматривать не	1	1
246	как нам	1	1
247	научного мышления	2	1
248	в большей	1	1
249	и все	3	1
250	по меньшей	1	1
251	художественного восприятия	7	1
252	произведения а	1	1
253	она должна	1	1
254	тот же	1	1
255	композицию как	1	1
256	более или	1	1
257	объекта и	3	1
258	всего лишь	4	1
259	он уже	1	1
260	т.д в	1	1
261	в которой	2	1
262	о котором	1	1
263	меньшей мере	1	1
264	бы ни	2	1
265	художественное впечатление	1	1
266	не было	1	1
267	он в	1	1
268	тогда когда	2	1
269	с одной	3	1
270	в качестве	31	1
271	то о	1	1
272	тем более	2	1
273	является специфическая	1	1
274	в известном	1	1
275	объекта в	1	1
276	не ставит	1	1
277	уже не	4	1
278	далеко не	6	1
279	имеем в	1	1
280	то и	1	1
281	же в	1	1
282	в процессе	2	1
283	быть по	1	1
284	в виде	1	1
285	широком смысле	2	1
286	в нем	3	1
287	на роль	2	1
288	или даже	1	1
289	эстетический объект	6	1
290	с другом	1	1
291	он не	3	1
292	произведение по	1	1
293	не значит	1	1
294	равно как	1	1
295	исходить из	1	1
296	реальности эстетического	1	1
297	данного произведения	3	1
298	он и	1	1
299	этот процесс	1	1
300	в понятии	1	1
301	нем но	1	1
302	в свое	2	1
303	в совокупности	1	1
304	может служить	2	1
305	но он	1	1
306	у него	1	1
307	эстетического восприятия	1	1
308	методологических позиций	1	1
309	поэтики в	1	1
310	ее в	1	1
311	анализа в	2	1
312	и эстетики	2	1
313	и эта	1	1
314	есть слово	1	1
315	о литературе	3	1
316	что в	5	1
317	в таком	3	1
318	все что	1	1
319	этот путь	1	1
