N	2gram	Kanaev_Sov_1	Morfolog
279	он называет	1	1
280	и развития	1	1
281	той или	1	1
282	что при	2	1
283	на это	1	1
284	только одну	2	1
285	ничего общего	1	1
286	то она	1	1
287	с ее	1	1
288	данном случае	1	1
289	с самого	3	1
290	приводит к	2	1
291	роль в	2	1
292	что такой	1	1
293	ее даже	1	1
294	те же	1	1
295	здесь нет	1	1
296	еще в	1	1
297	когда в	1	1
298	же просто	1	1
299	иное как	1	1
300	то они	1	1
301	но мы	3	1
302	бы то	1	1
303	их в	4	1
304	выбор и	1	1
305	элемента из	1	1
306	которое должен	1	1
307	функций в	1	1
308	в его	2	1
309	а потому	1	1
310	во всей	1	1
311	одна не	1	1
312	целом может	1	1
313	на которой	1	1
314	ли он	1	1
315	говорить о	2	1
316	и действительно	1	1
317	все они	1	1
318	со всеми	2	1
319	и у	1	1
320	мы получим	3	1
321	не дает	2	1
322	в данной	1	1
323	же они	1	1
324	всяком случае	2	1
325	в одном	3	1
326	у него	2	1
327	уже совершенно	1	1
328	только на	1	1
329	существо его	1	1
330	и даже	2	1
331	или иной	2	1
332	до сих	1	1
333	может ли	1	1
334	на ее	1	1
335	именно в	1	1
336	такое же	1	1
337	и несколько	1	1
338	от другого	1	1
339	ей не	1	1
340	на этот	2	1
341	на которых	1	1
342	же функцией	1	1
343	для их	1	1
344	все более	1	1
345	и начала	1	1
346	заставляя их	1	1
347	мы опять	1	1
348	в данном	1	1
349	в течение	1	1
350	они все	1	1
351	этим мы	3	1
352	хорошо можно	1	1
353	на некотором	1	1
354	друг с	2	1
355	это значит	1	1
356	такого случая	1	1
357	о жизни	2	1
358	что же	5	1
359	дело идет	1	1
360	еще раз	1	1
361	сих пор	1	1
362	не будем	2	1
363	всей совокупности	1	1
364	же самое	2	1
365	является ли	1	1
366	формы с	1	1
367	указать на	1	1
368	она может	2	1
369	действия в	1	1
370	или другой	1	1
371	не представляет	1	1
372	для нас	3	1
373	и все	3	1
374	и ни	1	1
375	разложена на	1	1
376	том случае	1	1
377	что следовательно	1	1
378	не будет	1	1
379	между ними	1	1
380	функций и	1	1
381	состоит из	3	1
382	равно как	1	1
383	же законам	1	1
384	не что	1	1
385	только о	1	1
386	таким же	1	1
387	эти частные	1	1
388	что необходимо	1	1
389	в таком	2	1
390	во всяком	2	1
