N	2gram	Vinokur_St_1	VerxiiNi
569	с толку	1	1
570	да и	3	1
571	отношения к	2	1
572	там где	5	1
573	получает свое	1	1
574	ли не	2	1
575	этого слова	2	1
576	основана на	1	1
577	и некоторые	1	1
578	является для	1	1
579	такой же	5	1
580	на которой	2	1
581	но это	6	1
582	в одних	1	1
583	но для	2	1
584	говорить что	1	1
585	кроме того	1	1
586	похоже на	1	1
587	в наше	1	1
588	не является	3	1
589	которых он	1	1
590	но такой	1	1
591	не существует	3	1
592	причем в	1	1
593	лишь о	1	1
594	которой можно	2	1
595	в настоящее	1	1
596	или иным	3	1
597	то не	2	1
598	эти проблемы	1	1
599	на камне	1	1
600	бы в	1	1
601	не повезло	1	1
602	тем более	4	1
603	всех прочих	1	1
604	но зато	1	1
605	пришлось бы	1	1
606	этот раз	2	1
607	на более	1	1
608	могли быть	1	1
609	состоит из	1	1
610	совершенно не	5	1
611	культуры в	3	1
612	в свое	2	1
613	в какой-то	1	1
614	в своих	2	1
615	они не	1	1
