N	2gram	Berdyaev_O_1	Myslijsy
241	когда он	3	1
242	о человеческой	4	1
243	но в	2	1
244	при чтении	2	1
245	то в	1	1
246	духа в	1	1
247	к чему	1	1
248	из жизни	1	1
249	существует лишь	1	1
250	все эти	4	1
251	одно время	1	1
252	не те	1	1
253	о человеке	29	1
254	в единстве	2	1
255	с чем	2	1
256	бы от	1	1
257	о божественном	1	1
258	после этого	1	1
259	единство в	1	1
260	он должен	1	1
261	есть та	1	1
262	в корне	1	1
263	и вот	3	1
264	которой нет	1	1
265	ни был	1	1
266	бы эта	1	1
267	к любви	1	1
268	в совершенно	1	1
269	в мире	1	1
270	том случае	1	1
271	его принадлежности	1	1
272	лишь в	7	1
273	заключается в	1	1
274	которого не	1	1
275	в глазах	1	1
276	это не	3	1
277	с вопросом	1	1
278	приходит в	1	1
279	в жизни	1	1
280	кажется что	1	1
281	только одно	3	1
282	она и	1	1
283	в самую	4	1
284	строгом смысле	1	1
285	ни с	7	1
286	человека тот	1	1
287	нисколько не	1	1
288	в этих	3	1
289	места в	1	1
290	для многих	1	1
291	но он	7	1
292	и более	1	1
293	любовь к	2	1
294	вообще но	1	1
295	вложена в	1	1
296	человека есть	2	1
297	чтобы иметь	1	1
298	ее с	1	1
299	в процессе	1	1
300	было не	1	1
301	ничего не	2	1
302	во всем	1	1
303	души но	3	1
304	на людей	1	1
305	с другом	1	1
306	с которой	2	1
307	начиная с	1	1
308	отличается от	1	1
309	стремлением к	1	1
310	он вечно	2	1
311	всего что	1	1
312	качества и	1	1
313	для его	1	1
314	с тою	1	1
315	он видит	1	1
316	быть назван	1	1
317	из всего	2	1
318	в виду	1	1
319	говорится что	1	1
320	человеческой и	1	1
321	свободу и	1	1
322	до самого	5	1
323	и когда	1	1
324	что у	2	1
325	не с	1	1
326	особенно в	1	1
327	и каждый	1	1
328	в силе	1	1
329	и действий	1	1
330	находится в	1	1
331	и здесь	1	1
332	и бесконечные	1	1
333	в глаза	1	1
334	после того	1	1
335	все его	1	1
336	вопросу о	1	1
337	в которую	1	1
338	но нет	1	1
339	пред собою	1	1
340	иметь право	1	1
341	бросается в	1	1
342	его собственная	1	1
343	и свобода	1	1
344	не идет	1	1
345	который в	1	1
346	между этими	1	1
347	и ее	3	1
348	и мысли	4	1
349	связанным с	1	1
350	человека с	1	1
351	и счастье	1	1
352	свою тайну	1	1
353	всего он	1	1
354	еще одну	1	1
355	а это	1	1
356	его и	1	1
357	ничего но	1	1
358	и бесконечно	2	1
359	должен был	2	1
360	лишь для	1	1
361	жизни в	2	1
362	тому кто	1	1
363	одном месте	1	1
364	и человека	1	1
365	как у	1	1
366	но есть	1	1
367	одного только	2	1
368	кто знает	1	1
369	может ли	1	1
370	на этот	1	1
371	стремится к	1	1
372	его как	1	1
373	было для	2	1
374	сердце в	3	1
375	под влиянием	1	1
376	но можно	1	1
377	природу и	1	1
378	видели в	1	1
379	в одной	1	1
380	человека к	2	1
381	форма художественного	1	1
382	этих словах	1	1
383	да и	1	1
384	друг с	1	1
385	и там	2	1
386	как например	1	1
387	видно что	1	1
388	тогда все	1	1
389	от человека	2	1
390	в силах	1	1
391	человек и	4	1
392	бы даже	1	1
393	тянется к	1	1
394	нужно видеть	1	1
395	еще ничего	1	1
396	и начинается	1	1
397	с ними	1	1
398	него в	5	1
399	в голову	1	1
400	это так	1	1
401	ее в	2	1
402	случае если	1	1
403	и эта	1	1
404	во всяком	1	1
