N	2gram	Nazirov_Tr_1	Myslijsy
324	конечно в	1	1
325	мысль он	1	1
326	с криком	1	1
327	на нечто	1	1
328	но если	1	1
329	на меня	2	1
330	было до	1	1
331	всем моим	1	1
332	это не	5	1
333	как много	1	1
334	и вот	1	1
335	жизнь и	3	1
336	при самом	1	1
337	без которой	1	1
338	во всем	1	1
339	в ребенке	1	1
340	имеет в	2	1
341	стало быть	1	1
342	что этот	2	1
343	говорит не	1	1
344	его собственная	1	1
345	роль играет	1	1
346	в самое	1	1
347	мог бы	3	1
348	в силах	2	1
349	отличие от	2	1
350	которым человек	1	1
351	повторяет в	1	1
352	в сфере	1	1
353	образ на	1	1
354	он с	1	1
355	что без	1	1
356	лишь в	1	1
357	понимание этого	1	1
358	он сказал	1	1
359	с такими	1	1
360	что на	1	1
361	как он	1	1
362	символическое значение	1	1
363	я в	1	1
364	слова нельзя	1	1
365	ее наслаждение	1	1
366	не за	2	1
367	значение этого	1	1
368	выражение лица	1	1
369	он был	2	1
370	в истории	1	1
371	к ним	1	1
372	по самой	1	1
373	в мыслях	1	1
374	был более	1	1
375	под влиянием	2	1
376	теперь и	2	1
377	ничего не	2	1
378	вызывает в	1	1
379	не встречает	1	1
380	именно такого	1	1
381	могло бы	1	1
382	с ними	1	1
383	и т.д	1	1
384	свою личную	1	1
385	даже не	1	1
386	мы бы	1	1
387	назовем ее	1	1
388	вряд ли	2	1
389	и прозе	1	1
390	из своих	2	1
391	и вне	1	1
392	отнимает у	1	1
393	ли мы	1	1
394	не вполне	1	1
395	но этого	2	1
396	сходство с	1	1
397	совершает в	1	1
398	чтобы не	1	1
399	самое мгновение	2	1
400	и которое	1	1
401	нет своего	1	1
402	внешней формы	1	1
403	в мире	3	1
404	ее собственной	1	1
405	в шутку	1	1
406	в результате	1	1
407	романа и	3	1
408	ее души	1	1
409	что сердце	1	1
410	но самое	1	1
411	время с	1	1
412	как у	2	1
413	мы понимаем	1	1
414	что противоречит	1	1
415	на них	1	1
416	встречается в	1	1
417	и зеленый	1	1
418	с его	2	1
419	вспомнить что	1	1
420	нужно для	1	1
421	однако есть	1	1
422	для чего	1	1
423	которую я	1	1
424	своей и	1	1
425	с самого	1	1
426	в такой	1	1
427	есть и	1	1
428	правда что	1	1
429	между этими	2	1
430	ее не	1	1
431	но в	6	1
432	чем он	2	1
433	в известной	2	1
434	самой своей	1	1
435	на этот	1	1
436	и смеялся	1	1
437	с такой	1	1
438	не думает	1	1
439	который в	2	1
440	чем же	1	1
441	ее содержание	1	1
442	знает что	2	1
443	раз и	2	1
444	сознает свою	1	1
445	понятно что	1	1
446	в глазах	2	1
447	необходимое условие	1	1
448	но эта	2	1
449	быть в	1	1
450	его за	2	1
451	еще ничего	1	1
452	носит в	1	1
453	и отношения	1	1
454	заключается в	1	1
455	не является	1	1
456	в понятие	1	1
457	в глаза	2	1
458	действия не	1	1
459	за то	1	1
460	на нее	1	1
461	в виду	1	1
462	и эта	1	1
463	несколько раз	1	1
464	это был	2	1
465	этим объясняется	2	1
466	судя по	1	1
467	итак для	1	1
468	что эти	2	1
469	в данном	2	1
470	к своей	1	1
471	теперь еще	1	1
472	приходит в	1	1
