N	2gram	Tiupa_Hudo_1	EvropaiC
359	жизни ее	1	1
360	на его	1	1
361	весьма сложного	1	1
362	роли в	4	1
363	в узком	3	1
364	в принципе	5	1
365	наших глазах	2	1
366	смертью в	1	1
367	произведения в	1	1
368	его можно	1	1
369	без исключения	4	1
370	одно и	3	1
371	в каждом	1	1
372	здесь мы	1	1
373	тем в	1	1
374	единое целое	2	1
375	несколько иной	1	1
376	все их	1	1
377	входит в	4	1
378	это было	1	1
379	с другими	4	1
380	лишь на	1	1
381	и тем	2	1
382	делает его	2	1
383	чаще всего	1	1
384	только лишь	1	1
385	самые различные	1	1
386	рядом с	1	1
387	сторону его	1	1
388	в своей	5	1
389	что такое	1	1
390	и помимо	1	1
391	строго говоря	1	1
392	но он	3	1
393	друг другу	1	1
394	состоит в	16	1
395	по крайней	1	1
396	более сложные	1	1
397	их в	3	1
398	однако в	4	1
399	с такими	1	1
400	человека но	1	1
401	случае мы	1	1
402	в отношении	3	1
403	к такой	2	1
404	культура есть	1	1
405	не имеет	1	1
406	на котором	1	1
407	принадлежат к	1	1
408	не своей	1	1
409	и притом	3	1
410	не по	1	1
411	в уме	1	1
412	иметь в	1	1
413	та или	1	1
414	вытекает из	2	1
415	нельзя не	1	1
416	дело в	1	1
417	не принадлежат	2	1
418	некий общий	1	1
419	и его	12	1
420	и свою	1	1
421	или ином	1	1
422	начиная с	2	1
423	числе и	1	1
424	является одним	1	1
425	всего что	1	1
426	частной жизни	2	1
427	к пониманию	1	1
428	для себя	2	1
429	здесь не	2	1
430	мысль о	1	1
431	или для	1	1
432	то время	1	1
433	так в	4	1
434	вопрос что	1	1
435	приводит к	5	1
436	роль в	1	1
437	в культуре	3	1
438	борющихся сторон	1	1
439	как с	1	1
440	и другими	1	1
441	можно только	1	1
442	что от	1	1
443	по признаку	1	1
444	или иной	7	1
445	имеются и	2	1
446	в состав	6	1
447	время в	1	1
448	за пределами	3	1
449	но мы	1	1
450	что каждый	2	1
451	в значительной	1	1
452	это была	1	1
453	всегда может	1	1
454	или иная	1	1
455	том или	1	1
456	во всей	3	1
457	только такие	1	1
458	крайней мере	1	1
459	в другой	1	1
460	целого а	1	1
461	которую в	1	1
462	у одного	2	1
463	на наших	2	1
464	крайними пределами	1	1
465	эти последние	1	1
466	что этому	1	1
467	на которой	1	1
468	один из	2	1
469	себе еще	1	1
470	мы видим	1	1
471	ценностей и	1	1
472	усматривая в	2	1
473	вступить в	1	1
474	зрения в	1	1
475	позиции и	1	1
476	самые разнообразные	1	1
477	бы ни	1	1
478	не происходит	1	1
479	по этому	1	1
480	окружающей его	1	1
481	а после	1	1
482	тот или	2	1
483	с которыми	1	1
484	в качестве	24	1
485	же и	1	1
486	с нею	1	1
487	он усматривает	1	1
488	уже не	4	1
489	жизни если	1	1
490	свидетельствует о	1	1
491	речь в	1	1
492	другими людьми	1	1
493	за ним	1	1
494	к каким	1	1
495	мы находим	1	1
496	и со	1	1
497	в прошлом	1	1
498	является именно	1	1
499	части и	1	1
500	для меня	2	1
501	ее не	1	1
502	не случайно	3	1
503	случае не	2	1
504	оно стало	1	1
505	тем что	1	1
506	вследствие этой	2	1
507	следует признать	1	1
508	но из	1	1
509	и даже	1	1
510	в данный	2	1
511	связаны с	1	1
512	а именно	2	1
513	к которому	4	1
514	это необходимо	1	1
515	еще и	1	1
516	и развития	1	1
517	к его	2	1
518	психики но	1	1
519	только к	1	1
520	и пр	1	1
521	а на	5	1
522	себе никаких	1	1
523	а не	9	1
524	зависит от	1	1
525	когда же	1	1
526	на которые	1	1
527	он и	1	1
528	как элемент	1	1
529	вступает в	1	1
530	на новую	1	1
531	но кто	1	1
532	общий признак	1	1
533	в область	1	1
534	к жизни	2	1
535	еще нет	1	1
536	могут быть	4	1
537	есть как	2	1
538	мыслится как	1	1
539	быть не	1	1
540	художественное произведение	1	1
541	над тем	1	1
542	открытие и	1	1
543	и самих	1	1
544	только для	1	1
545	вытекающей из	1	1
546	же самое	1	1
547	точно и	1	1
548	всего в	1	1
549	в более	1	1
550	отношении оказывается	1	1
551	жизнью в	1	1
552	на время	2	1
553	ибо без	1	1
554	которой я	1	1
555	своею и	1	1
556	его природы	1	1
557	чужой психики	1	1
558	с не	1	1
559	с ума	1	1
560	в равной	2	1
561	можно строить	1	1
562	над собою	1	1
563	жизни в	2	1
564	две стороны	1	1
565	сказать что	4	1
566	не быть	1	1
567	была бы	3	1
568	от всех	1	1
569	не принять	1	1
570	ее в	2	1
571	в своих	1	1
572	точно так	1	1
573	том числе	2	1
