N	2gram	Bakhtin_fo_1	KFilosof
187	по своему	1	3
188	от него	1	3
189	лишь как	2	3
190	и ни	1	3
191	не быть	1	3
192	в свою	2	3
193	в то	9	3
194	все остальное	1	2
195	и то	4	2
196	я и	1	2
197	он может	1	2
198	и бытие	1	2
199	и принципиально	2	2
200	а как	3	2
201	вопрос о	2	2
202	дан в	2	2
203	и конечно	1	2
204	с его	9	2
205	совсем не	2	2
206	в данном	2	2
207	жить и	1	2
208	свою жизнь	1	2
209	как в	6	2
210	в событие	1	2
211	и как	10	2
212	от этого	2	2
213	та же	1	2
214	в этой	1	2
215	нами в	1	2
216	и тот	1	2
217	имеем в	1	2
218	всей его	2	2
219	человек не	1	2
220	вследствие этого	3	2
221	как оно	2	2
222	есть именно	2	2
223	которого и	1	2
224	лишь с	1	2
225	ни был	1	2
226	так и	12	2
227	и может	2	2
228	конечно в	1	2
229	и оформления	1	2
230	он ни	1	2
231	в жизни	6	2
232	из нее	2	2
233	бытие и	1	2
234	соответствии с	2	2
235	с тем	3	2
236	место и	3	2
237	и само	1	2
238	жизни но	5	2
239	и того	6	2
240	что значит	1	2
241	где она	1	2
242	по себе	2	2
243	раз и	2	2
244	входит как	1	2
245	и время	2	2
246	дело не	1	2
247	дело в	2	2
248	в процессе	4	2
249	того чтобы	5	2
250	этом мире	2	2
251	же время	9	2
252	не нужен	1	2
253	к себе	4	2
254	пространство и	1	2
255	выход из	2	2
256	вошли в	1	2
257	его с	1	2
258	бы он	1	2
259	той или	2	2
260	оно не	2	2
261	где этот	1	2
262	чтобы быть	1	2
263	во главе	1	2
264	жизнь и	4	2
265	его жизни	8	2
266	единства и	2	2
267	или как	4	2
268	нем не	3	2
269	в ту	1	2
270	может иметь	1	2
271	в него	1	2
272	тот же	1	2
273	что он	1	2
274	каждый момент	1	2
275	всех его	1	2
276	со всеми	3	2
277	в качестве	3	2
278	события и	1	2
279	и других	3	2
280	его и	2	2
281	к содержанию	1	2
282	процесс и	1	2
283	не о	2	2
284	герой и	1	2
285	были бы	1	2
286	или иной	2	2
287	было и	4	2
288	себя и	3	2
289	лишь моментом	1	2
290	но есть	1	2
291	прежде всего	15	2
292	в соответствии	2	2
293	если не	1	2
294	для этой	1	2
295	и потому	3	2
296	подхода к	3	2
297	пространства и	4	2
298	его на	2	2
299	дело здесь	1	2
300	в это	2	2
301	и смерти	1	2
302	этого слова	1	2
303	но для	2	2
304	и видения	3	2
305	которой он	1	2
306	это уже	1	2
307	человек и	2	2
308	еще более	3	2
309	и смысл	1	2
310	он имеет	1	2
311	ни к	3	2
312	потому что	4	2
313	но всегда	1	2
314	видения и	2	2
315	его к	1	2
316	и эта	2	2
317	с моим	1	2
318	к этому	3	2
319	смысле слова	2	1
320	ту же	2	1
321	также и	2	1
322	в движение	3	1
323	человека и	11	1
324	функции в	1	1
325	и через	1	1
326	целого и	1	1
327	в стороне	2	1
328	в средние	1	1
329	тем же	1	1
330	здесь и	2	1
331	и до	5	1
332	моменты его	1	1
333	не имеют	3	1
334	ведь и	1	1
335	этих моментах	1	1
336	в зависимости	1	1
337	отношения к	3	1
338	свой мир	1	1
339	мы уже	11	1
340	той же	2	1
341	их и	2	1
342	из всех	1	1
343	со всех	1	1
344	не делает	1	1
345	единство и	1	1
346	науки и	1	1
347	именно к	1	1
348	его только	1	1
349	само слово	1	1
350	масштабы для	1	1
351	и ее	3	1
352	как я	1	1
353	конечно и	4	1
354	и он	1	1
355	всех сторон	1	1
356	событие как	1	1
357	не был	1	1
358	в различных	2	1
359	в нашем	2	1
360	как если	2	1
361	ибо оно	1	1
362	они имеют	1	1
363	мы будем	2	1
364	черты и	1	1
365	с собою	1	1
366	бы себя	1	1
367	определяется не	2	1
368	мира сам	1	1
369	в истории	2	1
370	с этим	6	1
371	его то	1	1
372	в единый	1	1
373	хотя и	3	1
374	и наконец	1	1
375	не являются	2	1
376	и к	2	1
377	и свою	1	1
378	в этот	2	1
379	где все	1	1
380	в самом	8	1
381	в которой	2	1
382	из жизни	1	1
383	а чисто	1	1
384	ни один	1	1
385	есть для	1	1
386	и принять	1	1
387	вообще а	1	1
388	продукта и	1	1
389	но его	1	1
390	на то	1	1
391	его но	3	1
392	этот процесс	5	1
393	с чем	1	1
394	к выводу	1	1
395	не следует	1	1
396	главным образом	1	1
397	по самому	2	1
398	сказать в	1	1
399	оно было	1	1
400	все другие	2	1
401	она становится	3	1
402	нее и	1	1
403	с нашим	1	1
404	не к	2	1
405	образом и	1	1
406	оно должно	1	1
407	их в	3	1
408	и определенных	1	1
409	его от	2	1
410	и по	2	1
411	будем говорить	1	1
412	план но	1	1
413	значительной степени	1	1
414	том же	2	1
415	пространстве его	1	1
416	этом ее	1	1
417	имеют в	1	1
418	об этом	2	1
419	и с	4	1
420	но ему	1	1
421	замкнут и	1	1
422	здесь то	1	1
423	то есть	33	1
424	это было	1	1
425	на почве	2	1
426	я для	1	1
427	специфическая особенность	1	1
428	говорить в	1	1
429	бы совершенно	2	1
430	причастен и	2	1
431	в конкретное	1	1
432	были в	2	1
433	его все	1	1
434	и уже	3	1
435	все моменты	2	1
436	чем в	2	1
437	из проявлений	1	1
438	в один	1	1
439	лучше всего	1	1
440	в этих	3	1
441	лежат в	2	1
442	он должен	2	1
443	не становится	1	1
444	всяком случае	1	1
445	на месте	1	1
446	его мире	2	1
447	цели и	1	1
448	не путем	1	1
449	значение для	1	1
450	является только	1	1
451	но он	2	1
452	в философии	1	1
453	чтобы затем	1	1
454	временного ряда	4	1
455	есть еще	1	1
456	в предыдущем	1	1
457	новое и	2	1
458	человека но	1	1
459	и очень	1	1
460	нет никакого	1	1
461	на один	2	1
462	в отношении	3	1
463	включен в	1	1
464	играть в	1	1
465	с которой	1	1
466	она не	1	1
467	как о	1	1
468	здесь лишь	1	1
469	одна из	2	1
470	здесь на	4	1
471	вообще никаких	1	1
472	смысле и	1	1
473	например что	1	1
474	бытия чем	1	1
475	ничто в	2	1
476	и имеет	1	1
477	к другим	1	1
478	нем в	2	1
479	определенного и	1	1
480	не могло	5	1
481	это с	1	1
482	следовательно и	1	1
483	нет места	1	1
484	которые могут	1	1
485	жизни не	3	1
486	находятся в	1	1
487	и познания	1	1
488	между прочим	1	1
489	по своей	1	1
490	самому своему	1	1
491	это слово	1	1
492	отдельного человека	1	1
493	мире и	2	1
494	здесь же	1	1
495	через эту	1	1
496	не является	2	1
497	определенность и	1	1
498	в трагедии	2	1
499	и времени	3	1
500	есть только	2	1
501	во все	2	1
502	и такие	1	1
503	зависимости от	1	1
504	отличается от	1	1
505	содержанием и	1	1
506	всего в	1	1
507	к тому	3	1
508	целом в	1	1
509	очутиться в	1	1
510	к настоящему	2	1
511	имеет место	3	1
512	него как	1	1
513	правда не	2	1
514	если мы	2	1
515	лежат вне	1	1
516	с ее	6	1
517	что все	2	1
518	свою очередь	1	1
519	всего этого	2	1
520	человек а	1	1
521	и от	1	1
522	характер и	7	1
523	некоторая примесь	1	1
524	и получает	1	1
525	возвращаться в	1	1
526	уже с	1	1
527	образом я	1	1
528	приводит к	1	1
529	и иные	2	1
530	как с	1	1
531	на том	1	1
532	с собой	1	1
533	активен и	1	1
534	здесь как	2	1
535	особенно в	1	1
536	моментом которого	1	1
537	живет в	1	1
538	и каждый	1	1
539	можно только	2	1
540	и даже	2	1
541	образом в	1	1
542	находится в	1	1
543	человек здесь	3	1
544	но к	1	1
545	и миром	1	1
546	все содержание	1	1
547	в значительной	2	1
548	и во	7	1
549	все в	1	1
550	он его	1	1
551	в данных	1	1
552	связь между	2	1
553	оказались бы	3	1
554	которой мы	1	1
555	от них	1	1
556	лишь путем	1	1
557	переходит в	1	1
558	во втором	2	1
559	когда оно	1	1
560	события его	1	1
561	но нет	1	1
562	но нельзя	1	1
563	всякое бытие	1	1
564	человека как	1	1
565	к ней	2	1
566	с нашей	3	1
567	в каких	1	1
568	в литературе	16	1
569	ровно ничего	1	1
570	один из	3	1
571	которой и	1	1
572	мы видим	3	1
573	одной из	3	1
574	целом с	2	1
575	оторвано от	1	1
576	глубоко различны	1	1
577	это очень	1	1
578	поэтому и	3	1
579	их не	1	1
580	а только	2	1
581	и разнообразие	1	1
582	нем нет	2	1
583	она лишь	1	1
584	бы один	1	1
585	же и	2	1
586	в большинстве	1	1
587	только на	3	1
588	и продукт	1	1
589	мир и	2	1
590	основе его	1	1
591	в данной	2	1
592	дает масштабы	1	1
593	только к	3	1
594	него нет	1	1
595	одно из	3	1
596	и насквозь	1	1
597	никто не	2	1
598	ведь это	1	1
599	не для	2	1
600	смысле этого	1	1
601	так как	6	1
602	друг друга	3	1
603	мы можем	1	1
604	к человеку	1	1
605	но уже	1	1
606	как раз	13	1
607	смерти и	1	1
608	единство целого	1	1
609	это будет	1	1
610	которые как	1	1
611	чувствует себя	2	1
612	именно как	4	1
613	и также	1	1
614	она и	1	1
615	говорим о	1	1
616	и т.п	4	1
617	с другим	1	1
618	осмысления и	1	1
619	мир все	1	1
620	на ее	1	1
621	всего человеческого	1	1
622	здесь в	2	1
623	миру и	1	1
624	временного целого	1	1
625	жизни события	1	1
626	и др	9	1
627	противоречие между	1	1
628	притом не	1	1
629	и своего	1	1
630	уже давно	1	1
631	и музыка	1	1
632	человеческой жизни	6	1
633	с которым	1	1
634	все сплошь	1	1
635	он становится	2	1
636	своей структуре	1	1
637	нашей точки	3	1
638	что мы	2	1
639	себя я	1	1
640	только я	2	1
641	нет ничего	4	1
642	не способна	1	1
643	вместе с	3	1
644	как жизнь	1	1
645	смысл который	1	1
646	этот временной	1	1
647	мы говорим	1	1
648	места для	1	1
649	себе самому	4	1
650	этого момента	2	1
651	из которых	1	1
652	месте и	1	1
653	когда мы	1	1
654	самого себя	1	1
655	и всей	2	1
656	жизни эти	1	1
657	вес в	2	1
658	все наше	1	1
659	случайно как	1	1
660	час и	1	1
661	слова и	2	1
662	жизни его	1	1
663	своей жизни	4	1
664	он вступает	1	1
665	должны быть	1	1
666	вне его	2	1
667	вообще есть	1	1
668	ее можно	1	1
669	одного и	5	1
670	и единого	1	1
671	и пространства	4	1
672	живет и	1	1
673	и сама	1	1
674	ее содержания	1	1
675	не существует	1	1
676	где и	2	1
677	она может	1	1
678	не подлежит	1	1
679	или в	3	1
680	но отнюдь	1	1
681	совершенно иной	3	1
682	в эту	1	1
683	не более	1	1
684	мы должны	2	1
685	ее основных	2	1
686	замкнутость и	1	1
687	все они	1	1
688	жизни что	1	1
689	или не	2	1
690	же в	3	1
691	но оно	2	1
692	между ними	3	1
693	с ней	1	1
694	средние века	1	1
695	была бы	2	1
696	равно как	2	1
697	есть кризис	1	1
698	того же	8	1
699	день и	1	1
700	является и	1	1
701	нет но	2	1
702	в последнем	1	1
703	конкретного и	1	1
704	бы его	1	1
705	культуры в	1	1
706	включает в	1	1
707	конкретный и	1	1
708	но эти	1	1
709	ее в	2	1
710	в искусстве	1	1
711	пространстве и	1	1
712	гораздо более	1	1
713	им и	1	1
714	во всяком	3	1
715	они не	3	1
