N	2gram	Berdyaev_V_1	PoTuStor
264	у самого	1	1
265	скрыто в	1	1
266	эти силы	1	1
267	в состоянии	1	1
268	в лицах	1	1
269	есть то	1	1
270	их во	1	1
271	так ли	1	1
272	мы скажем	1	1
273	да мы	1	1
274	ли они	1	1
275	которая в	1	1
276	я в	1	1
277	к ее	1	1
278	жизни в	1	1
279	нет ничего	3	1
280	является и	1	1
281	для нашего	1	1
282	в своих	1	1
283	и эта	1	1
284	это в	1	1
