N	2gram	Tiupa_Teor_1	RusskieA
155	и другими	1	2
156	что от	1	2
157	означает что	1	2
158	и поэтому	1	2
159	после того	1	2
160	в его	6	2
161	магический обряд	1	2
162	не случайно	5	2
163	в какой	2	2
164	их не	1	2
165	так что	1	2
166	в большинстве	2	2
167	не означает	1	2
168	в прошлом	1	2
169	не было	1	2
170	в особенности	1	2
171	себя и	1	2
172	с ней	1	2
173	равной степени	3	2
174	не на	2	2
175	а не	9	2
176	большинстве случаев	1	2
177	стоит в	1	2
178	в частности	16	2
179	в равной	3	2
180	и потому	2	2
181	на колени	1	2
182	быть и	2	2
183	между собой	3	2
184	мы видим	1	2
185	и для	2	2
186	тем и	1	2
187	или в	3	2
188	не что	1	2
189	у и	2	2
190	в своих	1	2
191	смысла не	1	1
192	ту же	1	1
193	в древнерусской	1	1
194	говоря о	3	1
195	также и	1	1
196	же как	1	1
197	чтобы не	1	1
198	значении этого	3	1
199	в первом	2	1
200	по преимуществу	4	1
201	на две	3	1
202	и ее	3	1
203	противном случае	1	1
204	включая и	1	1
205	несколько иной	1	1
206	и свободы	1	1
207	самые разнообразные	1	1
208	собой как	1	1
209	не во	1	1
210	вопрос о	1	1
211	из своих	1	1
212	этом не	1	1
213	говорить о	3	1
214	не вполне	2	1
215	этим словом	1	1
216	в одиночку	1	1
217	которое в	1	1
218	того же	3	1
219	в каждой	1	1
220	революции в	1	1
221	в отличие	6	1
222	на них	1	1
223	в чем	1	1
224	с его	5	1
225	этих случаях	1	1
226	особенно если	1	1
227	на основе	2	1
228	а только	3	1
229	целом ряде	1	1
230	одном и	1	1
231	не все	3	1
232	по отношению	4	1
233	не путем	1	1
234	отличие от	6	1
235	и соответствующих	1	1
236	в противном	1	1
237	перед нами	2	1
238	целый ряд	1	1
239	тем же	1	1
240	в которой	2	1
241	говорят о	1	1
242	из жизни	1	1
243	за это	1	1
244	в себе	9	1
245	в лес	1	1
246	на то	1	1
247	в случае	1	1
248	материал из	1	1
249	образ его	1	1
250	он не	3	1
251	с нашим	1	1
252	он должен	2	1
253	действительности которая	1	1
254	подобно тому	1	1
255	не бывает	1	1
256	русском языке	1	1
257	а затем	1	1
258	здесь мы	1	1
259	что все	1	1
260	жизнь но	1	1
261	значение в	1	1
262	о котором	1	1
263	те же	1	1
264	его в	2	1
265	на почве	4	1
266	но их	3	1
267	должен был	1	1
268	весь мир	1	1
269	и тем	3	1
270	ни в	2	1
271	нет в	1	1
272	в этой	3	1
273	выступать в	1	1
274	как видно	1	1
275	и того	3	1
276	одного и	3	1
277	себя внимание	1	1
278	никак не	1	1
279	и без	1	1
280	место в	5	1
281	не столько	1	1
282	ее на	1	1
283	но эта	1	1
284	которые в	1	1
285	теми же	1	1
286	не могли	1	1
287	две части	1	1
288	с такими	1	1
289	и наоборот	1	1
290	форму в	1	1
291	от своих	1	1
292	виду что	1	1
293	в то	6	1
294	дело не	2	1
295	дело в	2	1
296	не по	1	1
297	в основе	3	1
298	иметь в	1	1
299	вытекает из	1	1
300	народной жизни	1	1
301	слова как	3	1
302	этом так	1	1
303	в тексте	14	1
304	и его	8	1
305	и теперь	1	1
306	и сама	1	1
307	обращает на	1	1
308	окна и	1	1
309	труда а	1	1
310	ему не	1	1
311	тем это	1	1
312	прихода в	2	1
313	хранится в	1	1
314	в своего	1	1
315	служить и	1	1
316	слова с	1	1
317	быть назван	1	1
318	обычно в	1	1
319	для себя	1	1
320	и это	2	1
321	и о	4	1
322	у себя	1	1
323	в виду	5	1
324	данном случае	5	1
325	из окна	1	1
326	в собственном	1	1
327	как знак	1	1
328	всего два	1	1
329	то время	1	1
330	всей своей	1	1
331	однако эта	2	1
332	и сам	1	1
333	так слово	1	1
334	можно было	1	1
335	не ограничивается	2	1
336	видно из	1	1
337	из всего	1	1
338	каждого из	1	1
339	вошел в	1	1
340	своему происхождению	1	1
341	во второй	7	1
342	разного рода	1	1
343	жизнь и	1	1
344	быть может	1	1
345	если бы	3	1
346	собой и	1	1
347	из других	1	1
348	свидетельствует о	1	1
349	при котором	1	1
350	встреча не	1	1
351	что каждый	2	1
352	в глаза	2	1
353	можно сказать	3	1
354	и который	2	1
355	его труда	1	1
356	к нему	1	1
357	не могло	2	1
358	по типу	1	1
359	говорить об	1	1
360	во втором	3	1
361	в третьем	1	1
362	стоит и	1	1
363	во всей	1	1
364	в форме	2	1
365	наконец в	1	1
366	в центральной	1	1
367	о своих	1	1
368	было бы	1	1
369	развития но	1	1
370	на которой	1	1
371	д и	1	1
372	обе эти	1	1
373	совсем не	1	1
374	тот же	1	1
375	что он	1	1
376	соответствующих ему	1	1
377	даже если	1	1
378	до нас	1	1
379	который в	2	1
380	в область	1	1
381	бы ни	1	1
382	или его	1	1
383	жизни как	4	1
384	с которыми	1	1
385	это ни	1	1
386	есть в	2	1
387	обращения к	1	1
388	же явления	1	1
389	смысла в	1	1
390	только одно	1	1
391	не составляет	1	1
392	нуждается в	1	1
393	хозяина и	1	1
394	с этими	1	1
395	может служить	2	1
396	случае не	2	1
397	не могут	2	1
398	следует признать	1	1
399	в текстах	4	1
400	своем значении	1	1
401	как у	1	1
402	к которому	3	1
403	с той	1	1
404	еще и	1	1
405	тому как	1	1
406	что не	1	1
407	что для	1	1
408	говорит о	1	1
409	однако и	1	1
410	с которым	1	1
411	жизнь в	1	1
412	точек зрения	1	1
413	долгое время	1	1
414	первые два	1	1
415	различные системы	1	1
416	в одно	2	1
417	если не	1	1
418	и служит	1	1
419	представить себе	1	1
420	в иных	1	1
421	в пределах	5	1
422	обратил внимание	1	1
423	по своему	2	1
424	в данном	8	1
425	по поводу	1	1
426	в той	2	1
427	в первой	5	1
428	лишает их	1	1
429	и том	1	1
430	былинах и	1	1
431	к понятию	1	1
432	ближе к	1	1
433	не является	4	1
434	для такого	1	1
435	к пониманию	1	1
436	тот кто	2	1
437	в двух	1	1
438	из своего	1	1
439	не более	1	1
440	зрения в	1	1
441	нет никаких	1	1
442	нам не	1	1
443	на поле	1	1
444	слово в	1	1
445	между ними	4	1
446	на смену	4	1
447	не знает	3	1
448	сказать что	3	1
449	это на	1	1
450	отношению к	4	1
451	оно не	1	1
452	только о	1	1
453	к числу	1	1
454	и состоит	1	1
455	они не	1	1
456	можно назвать	1	1
457	точно так	1	1
458	все что	1	1
459	в роли	3	1
