N	2gram	Berdyaev_N_1	KulturaY
365	получает свое	1	1
366	том смысле	1	1
367	и формы	2	1
368	в смысле	2	1
369	она должна	1	1
370	и для	4	1
371	и от	2	1
372	формах и	1	1
373	всего что	1	1
374	понята как	1	1
375	или нет	1	1
376	всей нашей	1	1
377	будто бы	1	1
378	вот этот	1	1
379	есть уже	1	1
380	давно уже	1	1
381	от всякого	2	1
382	в период	1	1
383	в свою	1	1
384	лишь по	1	1
385	возможно лишь	1	1
386	культуры в	5	1
387	есть и	1	1
388	уже говорил	1	1
389	и вместе	1	1
390	политике и	1	1
391	к этой	1	1
392	чтобы эти	1	1
393	который не	1	1
394	все что	1	1
