N	2gram	Medvedev_F_1	VrazhdaK
353	в литературной	1	1
354	еще более	1	1
355	только что	1	1
356	в обоих	1	1
357	отношении к	2	1
358	а о	1	1
359	быть и	4	1
360	только как	2	1
361	другой стороны	1	1
362	далее он	1	1
363	автора в	1	1
364	из этого	1	1
365	жизни и	7	1
366	среде но	1	1
367	к этой	4	1
368	как на	4	1
369	они не	3	1
