N	2gram	Tiupa_Vved_1	Tragedij
256	того чтобы	1	1
257	однако ни	1	1
258	другой мир	1	1
259	его произведение	1	1
260	романе в	1	1
261	роль в	1	1
262	литературе это	1	1
263	природе своей	1	1
264	с собой	1	1
265	можно было	2	1
266	по природе	1	1
267	начала и	2	1
268	в последующих	1	1
269	когда в	2	1
270	какой она	1	1
271	а стало	1	1
272	похожим на	1	1
273	ситуации и	3	1
274	взрослого человека	1	1
275	в смерти	1	1
276	с того	1	1
277	и который	1	1
278	а также	8	1
279	и трое	1	1
280	восходит к	2	1
281	по слову	1	1
282	но которую	1	1
283	добра и	1	1
284	между тем	1	1
285	теперь уже	2	1
286	в форме	1	1
287	есть с	1	1
288	не сводится	4	1
289	развернута в	2	1
290	и она	1	1
291	в жизнь	1	1
292	в литературе	2	1
293	того что	6	1
294	он есть	1	1
295	мы видим	1	1
296	всю ее	1	1
297	только в	6	1
298	во всем	1	1
299	отчаянием и	1	1
300	с одной	5	1
301	есть в	2	1
302	он полагал	1	1
303	так можно	1	1
304	мы бы	1	1
305	только на	1	1
306	дело с	2	1
307	свидетельствует о	4	1
308	и чисто	1	1
309	него нет	1	1
310	и их	1	1
311	всяком случае	1	1
312	могло бы	3	1
313	слова в	2	1
314	ее не	2	1
315	глаза с	1	1
316	к ним	2	1
317	в особую	1	1
318	в особенности	1	1
319	до начала	1	1
320	на уровне	1	1
321	и внутренним	1	1
322	что не	1	1
323	объясняется тем	1	1
324	обратиться к	2	1
325	только по	1	1
326	не было	2	1
327	полагал что	1	1
328	а на	2	1
329	на этот	1	1
330	а не	15	1
331	власти и	1	1
332	этом случае	1	1
333	в связи	1	1
334	с помощью	1	1
335	вместе с	1	1
336	и особенно	1	1
337	и потому	1	1
338	в духе	1	1
339	умирают в	1	1
340	в моей	1	1
341	наряду с	2	1
342	в той	4	1
343	при которой	3	1
344	насмешка над	1	1
345	распадается на	1	1
346	и от	2	1
347	не является	3	1
348	известной степени	1	1
349	при таком	1	1
350	уже далеко	1	1
351	в результате	3	1
352	именно такого	1	1
353	тот кто	2	1
354	а к	3	1
355	в двух	1	1
356	бы в	3	1
357	за три	1	1
358	хотя бы	1	1
359	что ты	1	1
360	только что	1	1
361	обстоит дело	1	1
362	к ее	3	1
363	жизни в	4	1
364	в период	1	1
365	героя и	3	1
366	конфликт между	1	1
367	самой своей	1	1
368	к этой	1	1
369	во всяком	1	1
