N	2gram	Nazirov_Tv_2	Literetu
627	и вдруг	2	1
628	она продолжается	1	1
629	жизни в	3	1
630	в свою	1	1
631	в ходе	1	1
632	в романе	15	1
633	между ними	1	1
634	героя и	2	1
635	с ней	1	1
636	не знает	1	1
637	сказать что	1	1
638	только как	1	1
639	была бы	1	1
640	от всех	1	1
641	совершенно не	1	1
642	от собственной	1	1
643	впрочем весьма	1	1
644	которого человек	1	1
645	из этого	2	1
646	была провозглашена	1	1
647	мере можно	1	1
648	но эти	2	1
649	собой лишь	1	1
650	а я	2	1
651	вместе с	3	1
652	событий в	1	1
653	к этому	3	1
654	значение в	1	1
655	и особенно	1	1
656	от ее	2	1
657	том числе	1	1
658	бунта против	1	1
