N	2gram	Tiupa_Disk_2	Vvedenie
282	должна была	1	2
283	хотя в	1	2
284	заявляет что	1	2
285	одной и	1	2
286	из того	1	2
287	состоит в	16	2
288	исходный пункт	1	2
289	понятия в	1	2
290	жизни как	2	2
291	ни к	5	2
292	той или	3	2
293	античной культуры	1	2
294	ближе к	1	2
295	она была	1	2
296	и до	1	2
297	но это	3	2
298	во втором	1	2
299	для собственно	1	1
300	связи и	1	1
301	его от	1	1
302	может не	1	1
303	например и	1	1
304	показывает как	1	1
305	может и	2	1
306	ряде других	1	1
307	уже о	1	1
308	жизни а	3	1
309	данного текста	1	1
310	с самого	1	1
311	литературного рассказа	1	1
312	общения в	1	1
313	претендовать на	3	1
314	и того	3	1
315	но есть	1	1
316	не одно	1	1
317	одно и	2	1
318	но для	1	1
319	о ней	1	1
320	на деле	1	1
321	однако для	1	1
322	одновременно и	1	1
323	по словам	2	1
324	за ее	1	1
325	время и	1	1
326	в одно	1	1
327	же это	1	1
328	на всем	1	1
329	так называемого	1	1
330	в общих	1	1
331	человеческой личности	1	1
332	достоевского в	1	1
333	это и	1	1
334	бы то	1	1
335	было у	1	1
336	имеет своим	1	1
337	не была	1	1
338	случае не	1	1
339	говорится что	1	1
340	не должно	1	1
341	мышления и	1	1
342	себе не	1	1
343	к этим	1	1
344	ценностей а	1	1
345	сохраняет свое	1	1
346	как с	1	1
347	сообщение о	1	1
348	как такового	1	1
349	другие со	1	1
350	для читателя	1	1
351	действий в	1	1
352	и все	3	1
353	есть в	2	1
354	только о	1	1
355	оба они	1	1
356	автора с	1	1
357	я и	4	1
358	в некотором	1	1
359	в европейской	1	1
360	всем что	1	1
361	включает в	1	1
362	но здесь	2	1
363	при всей	7	1
364	можно только	1	1
365	а для	1	1
366	или иная	1	1
367	рассказа в	2	1
368	таким путем	1	1
369	прямо к	1	1
370	только то	1	1
371	о возможности	1	1
372	не дает	1	1
373	главе с	1	1
374	вследствие этого	2	1
375	что на	2	1
376	в ходе	2	1
377	что будет	2	1
378	во главе	1	1
379	или меньшую	1	1
380	на язык	1	1
381	того или	1	1
382	более того	1	1
383	то в	1	1
384	слова не	2	1
385	бытия и	2	1
386	заключает в	2	1
387	что входит	1	1
388	еще на	1	1
389	для первого	1	1
390	всего он	1	1
391	были бы	1	1
392	иначе говоря	3	1
393	и была	1	1
394	он должен	1	1
395	с которого	1	1
396	отношения между	2	1
397	xix столетия	1	1
398	оно не	1	1
399	говорит об	2	1
400	с той	2	1
401	все то	1	1
402	этом качестве	1	1
403	истории русской	1	1
404	особое отношение	1	1
405	уже было	1	1
406	здесь в	3	1
407	одного и	3	1
408	по слову	1	1
409	превращается в	1	1
410	из цикла	1	1
411	слова и	1	1
412	целое в	1	1
413	например в	3	1
414	содержания и	1	1
415	для него	5	1
416	этого типа	1	1
417	а через	1	1
418	раз в	1	1
419	как произведение	1	1
420	момент в	2	1
421	это были	1	1
422	она имела	1	1
423	в обоих	2	1
424	что ни	2	1
425	от содержания	1	1
426	имеем дело	1	1
427	если можно	1	1
428	и имеет	1	1
429	еще более	1	1
430	к своему	2	1
431	фактической истории	1	1
432	в центр	1	1
433	он представляет	1	1
434	этом и	1	1
435	в а	1	1
436	что русский	1	1
437	различие между	1	1
438	с позиций	3	1
439	одном и	1	1
440	мысли в	1	1
441	в противовес	5	1
442	себе самому	2	1
443	что этот	1	1
444	общая идея	1	1
445	в новом	1	1
446	иными словами	1	1
447	и прежде	2	1
448	слова а	1	1
449	подход к	3	1
450	и всегда	1	1
451	от времени	1	1
452	уже сказано	1	1
453	это бывает	1	1
454	как в	8	1
455	одного из	4	1
456	говорят о	1	1
457	в одних	1	1
458	утверждать что	1	1
459	на некоторое	1	1
460	отличие от	12	1
461	целого но	1	1
462	ее в	1	1
463	можно говорить	1	1
464	требует от	1	1
465	она во	1	1
466	что из	1	1
467	лишь в	1	1
468	на языке	2	1
469	и составляет	1	1
470	не на	2	1
471	в самых	1	1
472	то ни	1	1
473	и т.п	12	1
474	или по	2	1
475	не то	1	1
476	и от	1	1
477	и своим	1	1
478	можно назвать	4	1
479	с которыми	1	1
480	во всем	1	1
481	исторического бытия	3	1
482	но на	1	1
483	а между	1	1
484	конца xix	1	1
485	в культуре	1	1
486	качестве примера	2	1
487	и том	1	1
488	своим слушателям	1	1
489	а с	5	1
490	разумеется не	4	1
491	он был	1	1
492	сказанное можно	1	1
493	именно это	1	1
494	это требует	1	1
495	кто из	1	1
496	в эпоху	1	1
497	становления и	3	1
498	установка на	1	1
499	человек в	1	1
500	лишь на	1	1
501	отличается от	1	1
502	непосредственно и	2	1
503	художественного образа	1	1
504	и тех	1	1
505	к лицу	1	1
506	ни было	1	1
507	речь не	1	1
508	др в	1	1
509	не со	1	1
510	а к	2	1
511	также не	1	1
512	к данному	1	1
513	приходит к	1	1
514	чтобы не	1	1
515	для себя	2	1
516	в сторону	1	1
517	человек писать	1	1
518	памятников в	1	1
519	в которой	1	1
520	этой традиции	2	1
521	в полной	1	1
522	в отличие	12	1
523	она и	1	1
524	иного рода	1	1
525	в круг	1	1
526	общения и	2	1
527	xix-xx вв	1	1
528	но который	1	1
529	содержание и	1	1
530	на практике	1	1
531	которыми по	1	1
532	таковы например	1	1
533	в своих	6	1
534	к человеку	1	1
535	практически не	1	1
536	и другой	1	1
537	на две	1	1
538	образцом для	1	1
539	обратим внимание	1	1
540	в ряду	2	1
541	самого начала	1	1
542	которая в	2	1
543	в текст	1	1
544	мы его	1	1
545	большую или	1	1
546	ему не	1	1
547	та или	1	1
548	в такой	1	1
549	слова но	1	1
550	на свой	1	1
551	же в	1	1
552	или иного	2	1
553	не принадлежит	1	1
554	в таких	1	1
555	всего в	1	1
556	русской литературы	1	1
557	себя в	6	1
558	которая не	1	1
559	в специальном	2	1
560	лицом к	1	1
561	речи в	2	1
562	и картина	1	1
563	так понятие	1	1
564	гораздо менее	2	1
565	любви и	1	1
566	должно было	1	1
567	никак не	1	1
568	обнаруживаются в	1	1
569	самого по	1	1
570	ее становления	3	1
571	мира в	3	1
572	просто как	1	1
573	не быть	1	1
574	из важнейших	2	1
575	от той	1	1
576	не совпадает	1	1
577	в практике	1	1
578	и могут	1	1
579	втором случае	1	1
580	человека в	4	1
581	значении этого	2	1
582	состоять в	1	1
583	еще в	3	1
584	которое возникает	1	1
585	общих чертах	2	1
586	объект и	1	1
587	речь идет	1	1
588	были с	1	1
589	и более	1	1
590	и другого	2	1
