N	2gram	Propp_Russ_2	PoTuStor
118	на основе	1	2
119	и этим	1	2
120	в пределах	1	2
121	по аналогии	1	2
122	для этого	5	2
123	и вообще	1	2
124	с ним	1	2
125	находится в	1	2
126	о том	9	2
127	аналогии с	1	2
128	для нас	6	2
129	какое значение	1	2
130	что и	2	2
131	во всей	1	2
132	может иметь	1	2
133	один из	2	2
134	сделать это	1	2
135	что он	1	2
136	и действительно	1	2
137	и так	1	2
138	есть в	2	2
139	с нею	1	2
140	не можем	2	2
141	на этих	1	2
142	и других	3	2
143	к ним	1	2
144	оно не	1	2
145	а на	9	2
146	смерти но	1	2
147	не на	1	2
148	в развитии	1	2
149	в одно	1	2
150	так же	4	2
151	в область	1	2
152	ненависть к	1	2
153	с этой	2	2
154	но это	1	2
155	и таким	1	2
156	и для	2	2
157	не удается	1	2
158	нет никаких	2	2
159	все остальные	1	2
160	всех других	1	2
161	есть и	1	2
162	а может	1	2
163	ее в	8	2
164	к этому	5	2
165	этим как	1	1
166	человека и	1	1
167	мы здесь	2	1
168	и то	2	1
169	он может	1	1
170	это и	2	1
171	смерть в	1	1
172	что эти	1	1
173	в году	3	1
174	полагает что	2	1
175	очень широко	1	1
176	мы имеем	6	1
177	что между	1	1
178	что если	1	1
179	вопрос о	4	1
180	на место	1	1
181	так чтобы	2	1
182	из того	1	1
183	не совсем	2	1
184	и представлениями	1	1
185	в ней	1	1
186	он был	1	1
187	иное как	2	1
188	не был	2	1
189	что его	1	1
190	этим не	1	1
191	здесь имеем	2	1
192	их так	1	1
193	оно совершенно	1	1
194	но не	5	1
195	же на	1	1
196	не входит	1	1
197	значение и	1	1
198	иногда и	2	1
199	право на	2	1
200	что они	1	1
201	к сожалению	1	1
202	для объяснения	2	1
203	это самое	1	1
204	в течение	2	1
205	первый взгляд	1	1
206	некоторое время	1	1
207	она как	2	1
208	все же	2	1
209	хотя и	1	1
210	когда он	1	1
211	что по	4	1
212	не являются	1	1
213	его к	1	1
214	всего как	1	1
215	увидим что	1	1
216	сомнений в	1	1
217	этой цели	2	1
218	есть ли	1	1
219	от этого	1	1
220	уже не	4	1
221	та же	2	1
222	под ним	2	1
223	и связанных	1	1
224	или во	1	1
225	не оставляет	1	1
226	как он	1	1
227	во многих	9	1
228	что она	3	1
229	не следует	1	1
230	главным образом	3	1
231	освобождение от	1	1
232	различные формы	1	1
233	есть та	1	1
234	iii но	1	1
235	но вместе	2	1
236	жизни рождение	1	1
237	подобно тому	3	1
238	силу от	1	1
239	по его	1	1
240	от нее	1	1
241	а вместе	1	1
242	что никакого	1	1
243	на все	1	1
244	входит в	1	1
245	уже знаем	1	1
246	за ней	1	1
247	еще одно	1	1
248	не ясно	2	1
249	для них	2	1
250	с тем	6	1
251	несмотря на	1	1
252	мир в	1	1
253	их на	1	1
254	оно же	1	1
255	и еще	2	1
256	но если	3	1
257	что есть	1	1
258	приводящая к	2	1
259	его мнению	1	1
260	к такой	1	1
261	но эта	1	1
262	выше мы	3	1
263	не будем	3	1
264	которые в	1	1
265	так называемое	1	1
266	однако в	1	1
267	на всю	1	1
268	общего не	1	1
269	а иногда	2	1
270	тогда когда	4	1
271	дело в	1	1
272	одна из	11	1
273	каждый день	1	1
274	что иное	2	1
275	того чтобы	6	1
276	вытекает из	1	1
277	не имеет	3	1
278	в коем	1	1
279	ничего не	1	1
280	того в	2	1
281	во всем	2	1
282	связи с	2	1
283	более позднее	2	1
284	в виду	2	1
285	мы и	1	1
286	в духе	1	1
287	и такие	1	1
288	для его	1	1
289	как некое	1	1
290	что при	2	1
291	она не	3	1
292	погребение в	1	1
293	ничего общего	1	1
294	в применении	1	1
295	который только	1	1
296	из всего	1	1
297	всем этим	1	1
298	говорит и	1	1
299	без всякого	1	1
300	на другой	2	1
301	данном случае	7	1
302	приводит к	1	1
303	и что	5	1
304	в другом	1	1
305	можно было	2	1
306	мог бы	1	1
307	еще в	2	1
308	к тем	1	1
309	это только	1	1
310	если бы	1	1
311	из одного	1	1
312	и здесь	1	1
313	нас в	1	1
314	этот момент	1	1
315	но нет	1	1
316	не более	1	1
317	в другой	1	1
318	в свете	3	1
319	все время	1	1
320	и мир	1	1
321	это приводит	1	1
322	к нему	4	1
323	что здесь	3	1
324	но так	1	1
325	о двух	1	1
326	тот же	1	1
327	на другие	1	1
328	мы увидим	1	1
329	к их	1	1
330	с одной	2	1
331	в качестве	3	1
332	же и	1	1
333	уже в	1	1
334	то и	4	1
335	а это	1	1
336	в борьбу	1	1
337	не будут	1	1
338	в конце	1	1
339	в землю	13	1
340	ее не	1	1
341	как его	1	1
342	случае не	1	1
343	и им	1	1
344	заметить что	2	1
345	как раз	1	1
346	этом отношении	1	1
347	они становятся	1	1
348	для того	6	1
349	образом к	1	1
350	она начинает	1	1
351	без всякой	1	1
352	имеет и	1	1
353	с другой	2	1
354	здесь в	2	1
355	в свою	1	1
356	а с	2	1
357	на которые	1	1
358	что для	3	1
359	говорит о	2	1
360	месте и	1	1
361	близко к	1	1
362	в некоторых	9	1
363	связано с	2	1
364	у нас	4	1
365	одной стороны	2	1
366	его смерти	1	1
367	а наоборот	3	1
368	зависит от	1	1
369	а не	4	1
370	в руках	2	1
371	такие представления	2	1
372	не всегда	3	1
373	становится ясным	1	1
374	в момент	2	1
375	связь с	3	1
376	этой же	1	1
377	и особенно	1	1
378	в углу	1	1
379	многих случаях	2	1
380	предположить что	4	1
381	в данном	6	1
382	применении к	1	1
383	тому как	3	1
384	формы погребения	1	1
385	и основной	1	1
386	а потом	1	1
387	быть только	2	1
388	в человеческом	1	1
389	в состоянии	1	1
390	быть не	1	1
391	человека который	2	1
392	с последним	1	1
393	их во	1	1
394	и действия	1	1
395	этом и	2	1
396	под названием	2	1
397	да по	1	1
398	она может	1	1
399	и другими	1	1
400	в эту	3	1
401	мы должны	1	1
402	только что	1	1
403	же в	6	1
404	к ее	1	1
405	сон в	1	1
406	жизни в	2	1
407	и начинается	1	1
408	в угол	1	1
409	в период	1	1
410	их сложности	1	1
411	с ней	5	1
412	сделать некоторые	1	1
413	в точности	1	1
414	что такие	2	1
415	не что	2	1
416	ко всему	1	1
417	и жизнь	1	1
418	в своих	2	1
419	и эта	1	1
420	это в	2	1
421	как на	1	1
