N	2gram	Savitsky_P_1	FransuaR
271	обратиться к	1	1
272	выступает в	1	1
273	различных формах	1	1
274	и силы	1	1
275	и некоторых	1	1
276	на фоне	1	1
277	нет ничего	1	1
278	в частности	2	1
279	не были	1	1
280	все основные	1	1
281	и особенно	1	1
282	эта идея	2	1
283	они стремятся	1	1
284	xix века	6	1
285	развитие в	1	1
286	знать что	2	1
287	применении к	1	1
288	мира с	2	1
289	будущее в	1	1
290	в мир	1	1
291	в тот	2	1
292	из этой	1	1
293	образом на	2	1
294	многих других	1	1
295	совершенно явственно	1	1
296	в гораздо	4	1
297	в основном	1	1
298	между прочим	2	1
299	в начале	2	1
300	и где	1	1
301	кто не	1	1
302	в одно	1	1
303	культуры и	1	1
304	она может	1	1
305	его нет	1	1
306	и слова	1	1
307	степени чем	1	1
308	тем более	2	1
309	философии стоицизма	1	1
310	всеми его	1	1
311	может и	2	1
312	из тех	1	1
313	в трех	1	1
314	в каком	1	1
315	сильны и	1	1
316	именно здесь	1	1
317	на библейские	1	1
318	как на	2	1
319	они не	1	1
