N	2gram	Savitsky_E_1	Mirosoze
235	определяется в	1	1
236	пути не	1	1
237	из всех	3	1
238	мы не	4	1
239	которое именуется	1	1
240	установить что	1	1
241	среды и	1	1
242	обращенный к	1	1
243	в деле	3	1
244	бы ни	3	1
245	то это	1	1
246	свободы то	1	1
247	не способен	1	1
248	меньше чем	2	1
249	бы еще	1	1
250	в последних	1	1
251	что люди	1	1
252	во всех	6	1
253	тем как	1	1
254	то мы	1	1
255	друг к	1	1
256	недавно вышедшей	1	1
257	россии и	3	1
258	к области	1	1
259	твердой земной	1	1
260	к которой	1	1
261	в сторону	2	1
262	тех же	1	1
263	если в	2	1
264	отличие от	1	1
265	в свои	2	1
266	россия есть	2	1
267	которые не	1	1
268	показать в	1	1
269	же мало	2	1
270	мира в	4	1
271	более чем	2	1
272	что во	1	1
273	в одной	1	1
274	его на	2	1
275	как последняя	1	1
276	ней в	1	1
277	может найти	1	1
278	мира к	1	1
279	его к	1	1
280	к культуре	1	1
281	россии не	2	1
282	сфере как	1	1
283	что же	2	1
284	не заключается	1	1
285	разных точек	1	1
286	во многих	4	1
287	имеет для	1	1
288	в явлении	1	1
289	потребности в	1	1
290	что россия	2	1
291	всех этих	1	1
292	в силу	2	1
293	с таким	1	1
294	европейской культуры	3	1
295	отцов и	1	1
296	бытия это	1	1
297	своей духовной	1	1
298	ли своя	1	1
299	значительной степени	1	1
300	как они	1	1
301	в состоянии	1	1
302	нормальное и	1	1
303	они должны	1	1
304	значение в	1	1
305	том случае	1	1
306	к другу	1	1
307	своей потребности	1	1
308	еще большей	1	1
309	весь мир	1	1
310	в иные	1	1
311	кажется что	2	1
312	и рядом	2	1
313	новый мир	2	1
314	культурных ценностей	6	1
315	одна и	2	1
316	всегда и	1	1
317	с такой	1	1
318	и различие	1	1
319	с еще	1	1
320	к тем	1	1
321	в такой	1	1
322	она в	3	1
323	в отличие	1	1
324	и ту	2	1
325	ответить на	1	1
326	творчества и	1	1
327	и более	2	1
328	только те	2	1
329	войти в	1	1
330	и наоборот	1	1
331	россии так	2	1
332	вовсе не	6	1
333	к мировому	5	1
334	почти все	1	1
335	если и	1	1
336	в отношении	32	1
337	не менее	1	1
338	вплоть до	1	1
339	культурной жизни	4	1
340	в обоих	1	1
341	россии но	6	1
342	мы все	1	1
343	казалось бы	1	1
344	находятся в	1	1
345	может в	1	1
346	многих отношениях	1	1
347	такая же	1	1
348	во всем	1	1
349	мире и	1	1
350	исторического процесса	1	1
351	в области	11	1
352	но все-таки	1	1
353	от того	1	1
354	заключается ли	1	1
355	xx века	1	1
356	реальности это	1	1
357	одну и	2	1
358	людей в	1	1
359	все еще	1	1
360	оно не	1	1
361	и явление	1	1
362	всегда в	1	1
363	приходит к	1	1
364	из всего	1	1
365	и о	1	1
366	указывать на	1	1
367	мир к	1	1
368	существует только	1	1
369	культуры и	2	1
370	в пределах	25	1
371	культурной традиции	2	1
372	ставить и	1	1
373	и сам	1	1
374	можно было	3	1
375	так и	10	1
376	по природе	1	1
377	когда его	1	1
378	к западной	1	1
379	бы признать	1	1
380	является в	1	1
381	поэтому в	1	1
382	и даже	6	1
383	мире в	1	1
384	в содержании	2	1
385	означает что	1	1
386	об этом	1	1
387	в разных	1	1
388	связанная с	1	1
389	своеобразный мир	1	1
390	а к	1	1
391	единственно с	1	1
392	именно потому	2	1
393	но нужно	2	1
394	все ли	1	1
395	мира если	1	1
396	и поэтому	2	1
397	в революции	1	1
398	как кошмар	1	1
399	и та	2	1
400	одного из	1	1
401	это потому	1	1
402	в значительной	2	1
403	начале xx	1	1
404	нас в	1	1
405	связанной с	1	1
406	заключается в	2	1
407	среды если	1	1
408	от них	3	1
409	творчества культуры	1	1
410	и всякая	1	1
411	когда дело	1	1
412	найдут в	1	1
413	во всей	2	1
414	и только	3	1
415	в другой	2	1
416	которая должна	1	1
417	и можно	2	1
418	также в	2	1
419	более сложный	1	1
420	и наконец	2	1
421	в сферу	2	1
422	xix век	1	1
423	быть и	1	1
424	в новой	1	1
425	речи о	1	1
426	одной из	5	1
427	этот вопрос	2	1
428	ли он	1	1
429	для одних	1	1
430	что как	1	1
431	между тем	8	1
432	и ее	1	1
433	мира то	2	1
434	то и	1	1
435	завершения в	1	1
436	античного мира	1	1
437	оно всегда	1	1
438	участие в	2	1
439	с традиционной	1	1
440	себе в	3	1
441	бы тот	1	1
442	всяком случае	3	1
443	ценность в	2	1
444	в одном	2	1
445	к ним	3	1
446	как его	1	1
447	но из	1	1
448	свои границы	1	1
449	рядом с	1	1
450	выходит за	1	1
451	влияние на	2	1
452	русской жизни	1	1
453	по своим	3	1
454	а именно	2	1
455	будет ли	2	1
456	к которому	1	1
457	с той	1	1
458	еще большее	1	1
459	которая утверждает	1	1
460	русской истории	1	1
461	что не	1	1
462	с большей	1	1
463	обратиться к	1	1
464	говорит о	3	1
465	древнего востока	5	1
466	а на	1	1
467	у других	1	1
468	не на	4	1
469	власти и	1	1
470	и зле	2	1
471	свое собственное	1	1
472	и тут	2	1
473	ближе к	1	1
474	если не	1	1
475	культуры он	1	1
476	все более	9	1
477	и связанной	1	1
478	в частности	5	1
479	суждений о	1	1
480	в старом	1	1
481	одна возможность	1	1
482	в европе	1	1
483	и человеческую	1	1
484	отношений между	2	1
485	если так	1	1
486	в столь	1	1
487	к жизни	1	1
488	сравнению с	2	1
489	из явлений	1	1
490	она есть	1	1
491	эмпирической действительности	2	1
492	в течение	5	1
493	наряду с	2	1
494	духа его	1	1
495	западной европе	4	1
496	для понимания	2	1
497	потому и	1	1
498	приблизиться к	1	1
499	что мы	1	1
500	но это	1	1
501	в смысле	9	1
502	время для	1	1
503	только одна	1	1
504	перед собой	1	1
505	новое слово	3	1
506	не отрицает	1	1
507	но также	2	1
508	то не	2	1
509	но когда	1	1
510	особого рода	1	1
511	целый ряд	2	1
512	из себя	1	1
513	еще более	2	1
514	тем более	4	1
515	не знающие	1	1
516	миру который	1	1
517	русская революция	2	1
518	силы в	2	1
519	потребность в	3	1
520	к какому	1	1
521	существование и	1	1
522	культуры как	2	1
523	не быть	1	1
524	но этот	1	1
525	ко всему	2	1
526	культуры в	4	1
527	русском народе	1	1
528	та же	1	1
529	есть то	1	1
530	в строе	2	1
531	можно назвать	1	1
532	случае если	1	1
533	в своих	2	1
534	идеологию и	1	1
535	и эта	2	1
536	так же	9	1
537	во всяком	3	1
538	смысле что	1	1
