N	2gram	Kanaev_Sov_1	VLabPisa
125	он в	3	2
126	у каждого	3	2
127	ни одна	2	2
128	как он	3	2
129	этот процесс	1	2
130	что она	3	2
131	он не	1	2
132	человека в	1	2
133	в каждом	8	2
134	а затем	1	2
135	в другом	1	2
136	только о	1	2
137	само собою	3	2
138	необходимость в	1	2
139	и для	1	2
140	задача эта	2	2
141	что такое	2	2
142	всяком случае	2	2
143	знаем что	2	2
144	и значит	1	2
145	от его	1	2
146	которые в	1	2
147	по крайней	1	2
148	если бы	1	2
149	по себе	1	2
150	не менее	2	2
151	в науке	2	2
152	только не	1	2
153	наблюдения и	2	2
154	на язык	1	2
155	в области	3	2
156	ли это	1	2
157	отличается от	3	2
158	же самое	2	2
159	что при	2	2
160	на это	1	2
161	и может	1	2
162	роль в	2	2
163	он сам	1	2
164	и даже	2	2
165	во всяком	2	2
166	может не	3	2
167	во всей	1	2
168	крайней мере	1	2
169	вообще и	1	2
170	каждом отдельном	5	2
171	значит что	1	2
172	с одной	2	2
173	одной из	1	2
174	вовсе не	1	2
175	много и	1	2
176	одной стороны	1	2
177	или иной	2	2
178	до сих	1	2
179	как у	1	2
180	от различных	1	2
181	нет никаких	1	2
182	и потому	3	2
183	из которых	2	2
184	в течение	1	2
185	объективная действительность	1	2
186	как например	1	2
187	сих пор	1	2
188	но для	1	2
189	можно было	1	2
190	не подлежит	3	2
191	ни одного	1	2
192	все они	1	2
193	а в	4	2
194	в системе	3	2
195	а о	1	2
196	между ними	1	2
197	не быть	1	2
198	нет единства	1	2
199	отметить что	1	2
200	в своих	1	2
201	они не	1	2
202	которая не	1	2
203	новое время	1	1
204	можно говорить	1	1
205	с жизнью	1	1
206	ним или	1	1
207	самом деле	2	1
208	все его	1	1
209	между всеми	2	1
210	почти не	1	1
211	тот или	2	1
212	оно может	1	1
213	все те	2	1
214	без труда	1	1
215	деятельность как	1	1
216	как мы	2	1
217	путь для	1	1
218	это что	1	1
219	вопрос о	4	1
220	именно к	1	1
221	мы получаем	3	1
222	свою очередь	2	1
223	чем отличается	1	1
224	очень сложную	1	1
225	между собой	3	1
226	именно эти	1	1
227	быть в	1	1
228	его развития	3	1
229	в известном	1	1
230	опирается на	1	1
231	этого развития	1	1
232	для их	1	1
233	кроме того	1	1
234	и наконец	5	1
235	в социальном	1	1
236	и свою	1	1
237	роль играет	1	1
238	уже в	3	1
239	одним замечательным	1	1
240	всего необходимо	1	1
241	так сказать	2	1
242	и если	1	1
243	на его	2	1
244	очень важную	1	1
245	и еще	1	1
246	необходимо для	1	1
247	уже не	2	1
248	на этом	2	1
249	заключает в	1	1
250	и речи	1	1
251	те или	1	1
252	при которой	1	1
253	этом смысле	1	1
254	что один	1	1
255	в новое	1	1
256	в ином	1	1
257	говорим о	2	1
258	к области	1	1
259	для них	1	1
260	роли и	1	1
261	хотим сказать	1	1
262	свести все	1	1
263	этого не	1	1
264	которой он	2	1
265	несмотря на	1	1
266	на этот	2	1
267	обратимся к	1	1
268	понятия и	1	1
269	их на	1	1
270	то своеобразное	1	1
271	он должен	2	1
272	иного типа	1	1
273	и благодаря	1	1
274	его мнению	1	1
275	вот к	1	1
276	является только	1	1
277	и той	1	1
278	время нет	1	1
279	процесса и	1	1
280	так называемое	1	1
281	зрения и	1	1
282	роли каждого	1	1
283	о значении	2	1
284	что эта	1	1
285	ему принадлежит	1	1
286	мысли в	1	1
287	без остатка	1	1
288	но только	1	1
289	не имеет	1	1
290	жизни не	1	1
291	это то	1	1
292	же процесс	1	1
293	видим что	1	1
294	его значения	1	1
295	опыта и	1	1
296	ничего общего	1	1
297	данной области	1	1
298	и это	1	1
299	своего развития	1	1
300	с ее	1	1
301	данном случае	1	1
302	нет нужды	1	1
303	в дальнейшем	4	1
304	естественнонаучного исследования	1	1
305	на другом	2	1
306	по аналогии	1	1
307	каждого из	2	1
308	мы в	1	1
309	поэтому в	1	1
310	с ним	1	1
311	и та	1	1
312	и что	2	1
313	для нас	3	1
314	аналогии с	1	1
315	подлежит сомнению	2	1
316	или как	1	1
317	и во	2	1
318	приводит и	1	1
319	в ту	1	1
320	быть и	2	1
321	быть при	1	1
322	которых она	1	1
323	но этим	1	1
324	или иные	1	1
325	в какой	1	1
326	целого и	1	1
327	что свои	1	1
328	конечно не	1	1
329	природы не	1	1
330	каким же	1	1
331	только на	1	1
332	в следующих	1	1
333	в виде	2	1
334	в начале	1	1
335	и чисто	1	1
336	не дает	2	1
337	в данной	1	1
338	конечно нет	1	1
339	его и	1	1
340	машины в	1	1
341	который как	2	1
342	себе в	1	1
343	и из	1	1
344	ни в	1	1
345	сами по	1	1
346	но что	1	1
347	не случайно	1	1
348	сказать еще	1	1
349	всеми этими	1	1
350	остается подвести	1	1
351	развития в	2	1
352	в свою	2	1
353	от общей	1	1
354	процесс его	1	1
355	в живом	2	1
356	каждый актер	1	1
357	поскольку она	1	1
358	и составляет	1	1
359	на эту	1	1
360	самого начала	3	1
361	очень часто	1	1
362	говорить только	1	1
363	может иметь	2	1
364	многих его	1	1
365	и особенно	1	1
366	мы говорим	1	1
367	в духе	1	1
368	выражение таким	1	1
369	в данном	1	1
370	образом на	1	1
371	это значит	1	1
372	должно быть	1	1
373	единства в	1	1
374	еще раз	1	1
375	благодаря этому	1	1
376	но это	1	1
377	поэтому что	1	1
378	случае он	1	1
379	мы видим	2	1
380	конечно нельзя	1	1
381	это как	1	1
382	не представляет	1	1
383	и все	3	1
384	той или	1	1
385	еще более	2	1
386	и ни	1	1
387	наконец все	1	1
388	сомнению что	1	1
389	которых он	1	1
390	еще в	1	1
391	она продолжается	1	1
392	науке и	1	1
393	состоит из	3	1
394	его таким	1	1
395	совершенно не	2	1
396	при определенных	1	1
397	работы в	1	1
398	есть то	1	1
399	в заключение	1	1
400	можно назвать	2	1
401	в таком	2	1
