N	2gram	Nazirov_Tv_1	Poddanst
112	эта идея	1	2
113	не столько	2	2
114	в а	1	2
115	и достоевского	1	2
116	не менее	6	2
117	все это	10	2
118	между прочим	1	2
119	на этих	1	2
120	одна из	2	2
121	сколько бы	1	2
122	мысль о	2	2
123	да и	1	2
124	в полной	1	2
125	еще более	2	2
126	тем более	1	2
127	заключает в	1	2
128	может и	1	2
129	в частности	2	2
130	в недрах	1	2
131	не исчезнет	1	1
132	от этой	1	1
133	также и	1	1
134	в русских	1	1
135	же как	1	1
136	и через	1	1
137	связана с	1	1
138	как известно	1	1
139	понять в	1	1
140	как по	1	1
141	в себя	2	1
142	культуры и	1	1
143	по преимуществу	2	1
144	к жизни	2	1
145	выражается в	1	1
146	был и	1	1
147	за то	2	1
148	особенно в	1	1
149	по природе	6	1
150	века как	1	1
151	и среди	2	1
152	еще в	2	1
153	бы что	1	1
154	развитие в	1	1
155	в эпоху	1	1
156	для этого	1	1
157	в собственном	1	1
158	мир с	2	1
159	не вполне	1	1
160	на себя	1	1
161	с ее	3	1
162	и ее	1	1
163	и здесь	1	1
164	может не	2	1
165	не означает	2	1
166	настоящее время	2	1
167	он пришел	1	1
168	и что	1	1
169	еще не	1	1
170	и на	7	1
171	она всегда	1	1
172	он был	1	1
173	с того	1	1
174	с его	11	1
175	вопросу о	1	1
176	это имеет	1	1
177	восходит к	1	1
178	связь между	1	1
179	грань между	1	1
180	момента и	1	1
181	внутреннего разложения	1	1
182	не все	1	1
183	что и	2	1
184	отличие от	2	1
185	может исчезнуть	1	1
186	и достоевский	2	1
187	выступает как	1	1
188	перед тем	2	1
189	в истории	1	1
190	государства и	1	1
191	и мир	2	1
192	в современной	1	1
193	известном смысле	1	1
194	все же	5	1
195	и где	1	1
196	в отрыве	1	1
197	действие в	1	1
198	в какой	1	1
199	в народе	1	1
200	в чистоте	1	1
201	в самом	3	1
202	только то	1	1
203	в которой	3	1
204	во времени	3	1
205	бы и	1	1
206	что это	1	1
207	их не	1	1
208	формы в	1	1
209	вопрос об	1	1
210	представляет собой	3	1
211	чуть ли	1	1
212	если мы	1	1
213	в эти	1	1
214	человека с	2	1
215	себя в	1	1
216	отчасти и	2	1
217	в известном	1	1
218	единению с	1	1
219	переходит в	2	1
220	и любви	1	1
221	и будущее	2	1
222	что его	2	1
223	сливаются в	1	1
224	уже в	3	1
225	только на	2	1
226	в жертву	1	1
227	если он	1	1
228	но на	1	1
229	и специальной	1	1
230	р г	2	1
231	наш взгляд	1	1
232	в мир	2	1
233	т д	1	1
234	из этой	1	1
235	многие русские	2	1
236	выражена в	1	1
237	мы знаем	1	1
238	к единению	1	1
239	социализма в	1	1
240	одно из	1	1
241	идеи и	1	1
242	к ним	1	1
243	должен стремиться	1	1
244	на наш	1	1
245	и по	3	1
246	для мировоззрения	1	1
247	значительной части	1	1
248	в каждом	3	1
249	представляют собой	1	1
250	а затем	2	1
251	связанные с	1	1
252	из всех	4	1
253	развития в	1	1
254	на этой	1	1
255	его в	1	1
256	в душе	1	1
257	живет в	2	1
258	времени так	1	1
259	весь мир	1	1
260	было и	1	1
261	а с	1	1
262	возвращением к	1	1
263	что не	2	1
264	где он	2	1
265	далеко не	3	1
266	в этой	5	1
267	личности не	2	1
268	в действии	1	1
269	как и	12	1
270	и уже	1	1
271	с которым	2	1
272	бы ее	1	1
273	и я	1	1
274	ведет к	2	1
275	в одно	2	1
276	настоящее и	1	1
277	всемирной истории	1	1
278	отрыве от	1	1
279	что если	1	1
280	в творчестве	6	1
281	творчестве достоевского	5	1
282	люди и	1	1
283	так же	3	1
284	ощущение что	1	1
285	к предмету	1	1
286	место в	3	1
287	в отличие	2	1
288	мысли и	4	1
289	в данном	2	1
290	как одна	1	1
291	времени с	1	1
292	он живет	1	1
293	куда в	1	1
294	как к	2	1
295	и более	1	1
296	от не	1	1
297	с величайшим	1	1
298	стремления к	2	1
299	в историческом	1	1
300	время есть	1	1
301	этой области	1	1
302	в основном	4	1
303	эта мысль	1	1
304	стремление к	2	1
305	что эта	1	1
306	она не	1	1
307	что с	1	1
308	входят в	1	1
309	в сферу	1	1
310	обратившись к	1	1
311	не имеет	1	1
312	никогда не	3	1
313	казалось бы	1	1
314	о котором	2	1
315	в настоящее	1	1
316	как образчик	1	1
317	находятся в	1	1
318	что называют	1	1
319	иными словами	2	1
320	и притом	2	1
321	как она	1	1
322	что по	1	1
323	другой стороны	1	1
324	только что	2	1
325	в этих	2	1
326	не одну	1	1
327	чем оно	1	1
328	от века	1	1
329	значило бы	1	1
330	давно уже	1	1
331	всеми его	1	1
332	гоголя и	2	1
333	в движении	2	1
334	в философии	1	1
335	только как	1	1
336	и внутренне	1	1
337	в момент	4	1
338	иных планет	1	1
339	будущее в	1	1
340	средство к	2	1
341	относиться к	1	1
342	традиции в	2	1
343	одновременно и	2	1
344	что все	3	1
345	есть признак	1	1
346	и жизнь	1	1
347	ли не	1	1
348	в других	1	1
349	мы все	1	1
350	что оно	1	1
351	к сожалению	1	1
352	к этой	1	1
353	ни на	3	1
354	реально и	1	1
355	и другие	3	1
356	пришел в	1	1
357	не есть	1	1
358	вместе с	2	1
359	именно здесь	1	1
360	это в	3	1
361	темы и	1	1
362	ее по	2	1
363	гоголь и	1	1
364	русской литературы	2	1
365	гораздо более	2	1
366	и личности	1	1
