N	2gram	Propp_Morf_1	OGranits
145	не имеет	2	2
146	форм и	1	2
147	функцию в	1	2
148	собственно говоря	1	2
149	во всем	1	2
150	а в	7	2
151	еще в	1	2
152	в материал	1	2
153	и к	4	2
154	могут быть	16	2
155	к тому	4	2
156	форм мы	1	1
157	обычно в	1	1
158	можно говорить	1	1
159	эти функции	2	1
160	оно может	3	1
161	не думает	1	1
162	одним из	1	1
163	также и	4	1
164	и уж	1	1
165	решить задачу	1	1
166	при разных	1	1
167	в виду	1	1
168	в некоторых	3	1
169	что до	1	1
170	это и	2	1
171	в собственном	3	1
172	и есть	2	1
173	новые функции	1	1
174	проявляются в	1	1
175	ту же	2	1
176	и до	1	1
177	можно лишь	1	1
178	ведь и	1	1
179	собственном смысле	3	1
180	вспомнить о	1	1
181	в образе	4	1
182	можно было	2	1
183	здесь нет	1	1
184	что изучение	2	1
185	или на	3	1
186	мы имеем	9	1
187	к морфологии	1	1
188	когда в	1	1
189	на первом	1	1
190	может входить	1	1
191	всегда связана	1	1
192	вопрос о	7	1
193	не отвечает	1	1
194	как то	2	1
195	связанное с	1	1
196	с ее	1	1
197	ему в	1	1
198	то это	3	1
199	не совсем	1	1
200	затем если	1	1
201	с большим	1	1
202	следовательно в	1	1
203	начинается уже	1	1
204	и что	2	1
205	что существуют	1	1
206	еще не	3	1
207	пр на	1	1
208	в различных	2	1
209	ли кто-нибудь	1	1
210	тем как	1	1
211	то мы	4	1
212	к нему	3	1
213	на самом	4	1
214	совсем не	3	1
215	но не	4	1
216	придется остановиться	1	1
217	образом лишь	1	1
218	может и	1	1
219	отношение к	1	1
220	или иное	1	1
221	в другой	1	1
222	на то	2	1
223	язык есть	1	1
224	изучения но	1	1
225	в одной	1	1
226	не зная	1	1
227	до его	1	1
228	ряд вопросов	1	1
229	что касается	1	1
230	один из	5	1
231	тех случаях	2	1
232	и как	5	1
233	еще тем	1	1
234	этого материала	1	1
235	одной из	1	1
236	этот вопрос	2	1
237	если наконец	1	1
238	что он	4	1
239	более или	2	1
240	мы определяем	2	1
241	который в	2	1
242	не приходится	1	1
243	или же	6	1
244	его роль	1	1
245	со всеми	1	1
246	ни одна	4	1
247	в этой	2	1
248	для всех	1	1
249	слушателя и	1	1
250	само собой	1	1
251	и тот	1	1
252	можно установить	1	1
253	не можем	1	1
254	и у	1	1
255	изучены и	1	1
256	только на	1	1
257	если он	1	1
258	себя и	2	1
259	в нашей	1	1
260	этот момент	3	1
261	что она	2	1
262	исторических разысканий	1	1
263	на эту	1	1
264	постановка вопроса	1	1
265	его и	2	1
266	превращаются в	1	1
267	этой школы	4	1
268	стороны оно	1	1
269	одно из	1	1
270	а вовсе	1	1
271	никто не	3	1
272	состоит в	2	1
273	в виде	2	1
274	как их	2	1
275	точного и	1	1
276	одном случае	1	1
277	здесь для	1	1
278	подобно тому	6	1
279	и никогда	1	1
280	отличие от	1	1
281	на этом	3	1
282	его можно	1	1
283	лишь с	2	1
284	этим же	1	1
285	или иных	1	1
286	не должно	1	1
287	для того	2	1
288	же не	1	1
289	в особенности	1	1
290	в совершенно	1	1
291	что такой	1	1
292	его определение	1	1
293	может возникнуть	1	1
294	бы быть	1	1
295	к разрешению	1	1
296	на все	1	1
297	говорить не	1	1
298	и здесь	5	1
299	его в	2	1
300	материала к	2	1
301	тем мы	1	1
302	она создает	1	1
303	целая система	1	1
304	ко второму	1	1
305	если только	1	1
306	и иных	2	1
307	в предисловии	1	1
308	представляет собою	6	1
309	как же	2	1
310	еще одно	1	1
311	что мы	2	1
312	образом мы	5	1
313	из нее	1	1
314	о которых	1	1
315	а на	3	1
316	которые не	1	1
317	из членов	3	1
318	далеко не	5	1
319	из наиболее	1	1
320	и определяет	1	1
321	не всегда	9	1
322	переходим к	1	1
323	и вне	3	1
324	же самый	1	1
325	должно быть	1	1
326	такой же	1	1
327	не смог	1	1
328	и тогда	1	1
329	если не	1	1
330	связаны между	1	1
331	момента в	1	1
332	с первых	1	1
333	или менее	2	1
334	которую он	1	1
335	вступает в	1	1
336	но если	7	1
337	быть объяснено	1	1
338	как все	1	1
339	к истории	1	1
340	но там	1	1
341	наконец даже	1	1
342	как это	3	1
343	за которым	2	1
344	то можно	2	1
345	о возможности	1	1
346	или нет?	1	1
347	в которых	2	1
348	она есть	1	1
349	к этому	3	1
350	нашу задачу	1	1
351	тому как	5	1
352	и вот	1	1
353	для данного	1	1
354	и там	1	1
355	вне этой	1	1
356	тем не	5	1
357	и более	1	1
358	их в	1	1
359	в ряду	1	1
360	и наоборот	4	1
361	реакция может	1	1
362	в последнем	2	1
363	может идти	1	1
364	к следующему	1	1
365	быть не	1	1
366	что такое	3	1
367	тому что	4	1
368	быть и	2	1
369	же представляет	1	1
370	нашей работе	1	1
371	о помощи	2	1
372	вплоть до	1	1
373	но это	6	1
374	в начале	3	1
375	к двум	1	1
376	точно и	1	1
377	в то	3	1
378	одна из	4	1
379	hoc и	1	1
380	тех или	1	1
381	вопрос в	2	1
382	весь этот	1	1
383	случаях когда	2	1
384	связанная с	1	1
385	ними и	1	1
386	того чтобы	3	1
387	в самых	2	1
388	иметь в	1	1
389	не существует	3	1
390	и становится	1	1
391	или в	4	1
392	на одном	1	1
393	пр с	1	1
394	всего дает	1	1
395	того как	2	1
396	то не	1	1
397	лишь как	1	1
398	или как	1	1
399	в основе	1	1
400	важное значение	1	1
401	от него	1	1
402	за исключением	1	1
403	исследователя но	1	1
404	только что	2	1
405	потому что	3	1
406	бы по	1	1
407	связи с	10	1
408	все функции	3	1
409	этом отношении	1	1
410	их по	3	1
411	не вполне	1	1
412	об этом	4	1
413	и несколько	1	1
414	две формы	1	1
415	не знает	1	1
416	сказать что	2	1
417	уже говорить	1	1
418	он называет	1	1
419	работы и	1	1
420	равно как	1	1
421	материала или	1	1
422	не входит	1	1
423	когда мы	1	1
424	с его	2	1
425	только о	1	1
426	указать на	1	1
427	же самое	1	1
428	должны быть	1	1
429	этого и	1	1
430	например в	2	1
431	что при	2	1
432	они не	1	1
