N	2gram	Propp_Morf_1	Tragedij
206	в ход	1	1
207	на все	1	1
208	это было	3	1
209	обоих случаях	2	1
210	и сердце	1	1
211	быть не	1	1
212	лишь на	2	1
213	из первых	2	1
214	повод для	1	1
215	в них	1	1
216	в высшей	1	1
217	этого не	2	1
218	и вне	3	1
219	с такой	1	1
220	ведет к	1	1
221	очень важный	1	1
222	все как	1	1
223	или вообще	1	1
224	не выдерживает	1	1
225	но если	7	1
226	собой более	1	1
227	и при	1	1
228	в своей	1	1
229	этой связи	1	1
230	к истории	1	1
231	наших дней	2	1
232	где мы	1	1
233	и посвящена	1	1
234	не столько	1	1
235	сама собой	1	1
236	значение для	1	1
237	и вот	1	1
238	но он	1	1
239	тем не	5	1
240	вырастает в	1	1
241	тому что	4	1
242	не менее	5	1
243	вплоть до	1	1
244	и художественной	1	1
245	на работу	2	1
246	что эта	2	1
247	она не	2	1
248	и начинает	1	1
249	в обоих	2	1
250	отнимает у	1	1
251	самого начала	1	1
252	на котором	3	1
253	того как	2	1
254	как его	1	1
255	не вызывает	1	1
256	нельзя ли	1	1
257	в полночь	1	1
258	значение этого	1	1
259	этой схемы	1	1
260	это мы	1	1
261	как во	1	1
262	или как	1	1
263	со стариком	1	1
264	его перед	1	1
265	иными словами	1	1
266	и притом	1	1
267	к ней	1	1
268	она хочет	1	1
269	камень и	2	1
270	для нас	2	1
271	связи с	10	1
272	является ли	1	1
273	в области	1	1
274	перед ним	1	1
275	и далее	1	1
276	один раз	1	1
277	в момент	1	1
278	могут быть	16	1
279	уже было	1	1
280	на улицу	1	1
281	не есть	1	1
282	своей жертвы	1	1
283	что при	2	1
284	утверждать что	3	1
285	как мы	6	1
286	того чтобы	3	1
287	людей в	1	1
288	всего этого	1	1
289	с самого	1	1
290	по спине	1	1
291	вспомнить о	1	1
292	с собой	3	1
293	можно было	2	1
294	он именно	1	1
295	когда в	1	1
296	заставляет ее	1	1
297	того начала	1	1
298	в последней	1	1
299	а по	3	1
300	на вопрос	2	1
301	но мы	3	1
302	после того	1	1
303	с того	3	1
304	а также	4	1
305	нет это	1	1
306	от него	1	1
307	он возвращается	1	1
308	доходит до	1	1
309	между тем	5	1
310	в форме	6	1
311	если за	2	1
312	в настоящей	1	1
313	и она	1	1
314	того что	3	1
315	в третий	1	1
316	в новой	1	1
317	мы видим	13	1
318	с ними	1	1
319	что даже	1	1
320	только в	2	1
321	во всем	1	1
322	как нечто	1	1
323	дочь и	2	1
324	встречается только	1	1
325	с одной	1	1
326	только на	1	1
327	дело с	1	1
328	на ковре	1	1
329	характерно что	1	1
330	одно из	1	1
331	и их	2	1
332	всяком случае	2	1
333	могло бы	1	1
334	с этими	1	1
335	ее не	1	1
336	в карты	3	1
337	это по	1	1
338	в особую	1	1
339	в особенности	1	1
340	даже не	3	1
341	с другим	1	1
342	что не	1	1
343	а на	3	1
344	на этот	1	1
345	а не	11	1
346	на поиски	1	1
347	на смерть	1	1
348	одну из	1	1
349	не смог	1	1
350	этом случае	8	1
351	в связи	9	1
352	с помощью	1	1
353	более чем	1	1
354	до этого	1	1
355	исходит от	2	1
356	незадолго до	2	1
357	всех людей	1	1
358	мы опять	1	1
359	видит в	1	1
360	наряду с	5	1
361	в той	1	1
362	не удалось	1	1
363	по плечу	1	1
364	нам еще	2	1
365	с этой	1	1
366	не является	3	1
367	известной степени	1	1
368	из дома	9	1
369	тем и	2	1
370	третий раз	1	1
371	в результате	7	1
372	и простое	1	1
373	и совершенно	1	1
374	все события	1	1
375	проблемы проблемы	1	1
376	у которого	1	1
377	случае и	1	1
378	хотя бы	4	1
379	только что	2	1
380	обстоит дело	1	1
381	за этим	1	1
382	имеет целью	1	1
383	совершенно не	1	1
384	в точности	3	1
385	т е	21	1
386	что под	1	1
387	есть и	4	1
388	может ли	1	1
389	в голову	1	1
390	к этой	1	1
391	во всяком	2	1
