N	2gram	Vinokur_Ku_2	Morfolog
301	явлений и	1	1
302	ответ на	2	1
303	отношение к	1	1
304	отличие от	2	1
305	она есть	1	1
306	или иное	3	1
307	сущности к	1	1
308	имеют целью	1	1
309	более чем	1	1
310	в рамках	1	1
311	данный момент	3	1
312	вот как	1	1
313	дает нам	2	1
314	так скоро	1	1
315	мы имели	1	1
316	далее мы	1	1
317	более и	1	1
318	что касается	2	1
319	в противном	1	1
320	явление это	1	1
321	считать вообще	1	1
322	дает себя	1	1
323	говорит что	1	1
324	случаях перед	1	1
325	по пути	1	1
326	его к	2	1
327	от вопроса	1	1
328	образом они	1	1
329	чем задача	1	1
330	это определение	2	1
331	этой цели	2	1
332	другом случае	1	1
333	в которой	1	1
334	привести к	1	1
335	не считаться	1	1
336	из этих	1	1
337	что так	1	1
338	не в	8	1
339	в этой	6	1
340	идут в	1	1
341	выше было	1	1
342	нами в	1	1
343	интересно что	2	1
344	во многих	1	1
345	но ведь	1	1
346	на то	4	1
347	относятся такие	1	1
348	самая постановка	1	1
349	пример дает	1	1
350	вообще не	1	1
351	что она	3	1
352	главным образом	3	1
353	предположение если	1	1
354	слова а	1	1
355	всех этих	3	1
356	д это	1	1
357	он пользуется	1	1
358	и вот	5	1
359	отца а	1	1
360	ни были	3	1
361	предложения и	1	1
362	быть поставлен	1	1
363	для данной	2	1
364	лишь с	2	1
365	общие основания	2	1
366	русском языке	10	1
367	по его	1	1
368	в каждом	1	1
369	здесь мы	2	1
370	то ни	1	1
371	укладываются в	1	1
372	связанные с	2	1
373	в совершенно	1	1
374	к другу	1	1
375	на все	2	1
376	те или	1	1
377	и дает	1	1
378	например с	1	1
379	и тем	5	1
380	даже в	1	1
381	постановка вопроса	1	1
382	кажется что	1	1
383	в это	1	1
384	нет в	1	1
385	о которых	3	1
386	превращаются в	1	1
387	между собою	1	1
388	оно имеет	1	1
389	чем в	3	1
390	и некоторые	1	1
391	нисколько не	3	1
392	и становится	1	1
393	в наши	1	1
394	и их	1	1
395	лежат в	1	1
396	в их	2	1
397	их значения	1	1
398	этому же	1	1
399	указать что	1	1
400	в первый	3	1
401	могло бы	1	1
402	что я	4	1
403	значение для	1	1
404	и уж	1	1
405	бежать за	1	1
406	время я	1	1
407	наука о	1	1
408	для данного	2	1
409	которые в	1	1
410	при этом	2	1
411	но он	1	1
412	все это	5	1
413	не должно	2	1
414	где нет	1	1
415	бы быть	1	1
416	для нее	1	1
417	тому что	1	1
418	она не	2	1
419	роль играют	1	1
420	лишь к	1	1
421	же представляет	1	1
422	стоит в	2	1
423	ему хочется	1	1
424	для меня	1	1
425	самого начала	1	1
426	это дает	2	1
427	того как	2	1
428	дело не	2	1
429	иметь в	2	1
430	значение этого	1	1
431	а сама	1	1
432	на анализе	1	1
433	же время	3	1
434	приведены в	1	1
435	действительно в	1	1
436	на те	1	1
437	как на	1	1
438	по земле	1	1
439	е не	1	1
440	это один	1	1
441	у нас	12	1
442	такие же	1	1
443	во вторых	2	1
444	но там	1	1
445	должны быть	2	1
446	всего в	3	1
447	к тому	4	1
448	области изучения	1	1
449	не есть	1	1
450	все еще	1	1
451	на это	3	1
452	где он	1	1
453	ничего общего	1	1
454	в деревне	1	1
455	первом месте	1	1
456	то она	1	1
457	с ее	1	1
458	как не	3	1
459	что там	1	1
460	без всякого	1	1
461	некоторые другие	1	1
462	данном случае	2	1
463	общим признаком	1	1
464	они ни	1	1
465	теперь может	1	1
466	что подобные	1	1
467	пр таким	1	1
468	с самого	1	1
469	ряду с	1	1
470	приводит к	5	1
471	роль в	2	1
472	речи т	1	1
473	те же	3	1
474	здесь как	1	1
475	в плоскости	2	1
476	здесь нет	1	1
477	мог бы	1	1
478	когда в	2	1
479	и с	7	1
480	что от	1	1
481	ниже не	1	1
482	не отвечает	1	1
483	практически это	1	1
484	находится в	1	1
485	иное как	1	1
486	не ходить	1	1
487	то они	1	1
488	на вопрос	1	1
489	бы то	1	1
490	и просто	1	1
491	того или	2	1
492	их в	1	1
493	том или	1	1
494	за этим	2	1
495	два типа	1	1
496	в его	5	1
497	а потому	1	1
498	словами не	1	1
499	язык есть	1	1
500	приемов и	2	1
501	ее можно	1	1
502	в него	1	1
503	теряет свою	2	1
504	но так	2	1
505	д и	1	1
506	функций которые	1	1
507	с ними	2	1
508	за другой	1	1
509	вплотную к	1	1
510	говорить о	4	1
511	очень много	1	1
512	это видно	1	1
513	знает где	1	1
514	это ограничение	1	1
515	случаи когда	3	1
516	средства и	1	1
517	все они	2	1
518	в предисловии	1	1
519	же и	2	1
520	есть в	3	1
521	можно на	1	1
522	видели выше	1	1
523	и у	2	1
524	борьбы с	1	1
525	в нашей	4	1
526	что не	6	1
527	должны привести	1	1
528	каким образом	1	1
529	е на	2	1
530	их как	1	1
531	не так	1	1
532	быть заменена	1	1
533	понимает что	1	1
534	всяком случае	5	1
535	в одном	1	1
536	ее не	1	1
537	у него	3	1
538	при отсутствии	2	1
539	и никогда	1	1
540	между прочим	2	1
541	для решения	1	1
542	не носит	1	1
543	в особую	1	1
544	уже совершенно	1	1
545	к двум	1	1
546	и целые	1	1
547	и даже	2	1
548	со стороны	4	1
549	или иной	1	1
550	себе представить	1	1
551	до сих	1	1
552	может и	1	1
553	вообще с	1	1
554	которые можно	1	1
555	именно в	3	1
556	а именно	2	1
557	в каких	1	1
558	я был	1	1
559	еще и	2	1
560	борьба в	1	1
561	самыми разнообразными	1	1
562	от другого	1	1
563	на этот	2	1
564	их следует	1	1
565	не на	2	1
566	непосредственно к	1	1
567	на ряду	1	1
568	нужно иметь	1	1
569	здесь следует	2	1
570	могут рассматриваться	2	1
571	все более	1	1
572	но оно	2	1
573	такими словами	1	1
574	в некое	1	1
575	смысл который	1	1
576	так мы	2	1
577	по своему	1	1
578	предположить что	1	1
579	в данном	4	1
580	что за	2	1
581	не дают	1	1
582	ведет к	1	1
583	и там	1	1
584	вне этой	1	1
585	до его	1	1
586	отношения к	2	1
587	в ряду	1	1
588	как будто	2	1
589	быть не	2	1
590	что же	5	1
591	с этой	2	1
592	еще раз	1	1
593	какие же	1	1
594	сих пор	1	1
595	только для	2	1
596	всей совокупности	1	1
597	у вас	1	1
598	помнить что	1	1
599	эти могут	1	1
600	здесь прежде	1	1
601	из ряда	1	1
602	с большой	1	1
603	является ли	2	1
604	такое требование	1	1
605	отвечает на	1	1
606	указать на	1	1
607	что очень	1	1
608	она может	1	1
609	которые хотя	1	1
610	пр с	1	1
611	в голову	1	1
612	не представляет	1	1
613	то не	2	1
614	для нас	4	1
615	могли бы	2	1
616	и все	2	1
617	лишь как	1	1
618	бы в	1	1
619	в круг	1	1
620	том случае	2	1
621	бы на	2	1
622	таковая не	1	1
623	не будет	1	1
624	первый раз	1	1
625	между ними	1	1
626	же относится	1	1
627	это на	1	1
628	или что-либо	1	1
629	не что	1	1
630	только о	2	1
631	бьют по	1	1
632	таким же	2	1
633	случае если	2	1
634	предполагает уже	1	1
635	на приветствие	1	1
636	во всяком	5	1
