N	2gram	Medvedev_U_1	Dialekti
278	в порядке	1	1
279	надо было	2	1
280	определенного времени	1	1
281	отдельности и	1	1
282	по существу	2	1
283	друг с	1	1
284	форма в	1	1
285	только для	1	1
286	но для	1	1
287	оно по	1	1
288	месте в	1	1
289	вне его	1	1
290	уже значительно	1	1
291	творчество и	1	1
292	в его	2	1
293	еще раз	1	1
294	тем более	1	1
295	конце концов	2	1
296	мы не	2	1
297	все они	2	1
298	состоит из	1	1
299	существует в	1	1
300	что угодно	1	1
301	равно как	1	1
302	сколько угодно	2	1
303	религии и	1	1
304	в отдельности	1	1
305	в свое	1	1
306	на своем	1	1
307	и эта	1	1
308	это в	1	1
309	поэзии же	1	1
310	невозможна без	1	1
311	как на	1	1
312	все что	1	1
