N	2gram	Berdyaev_O_1	Vladivir
111	как это	1	4
112	указать на	1	4
113	на самом	1	3
114	и тут	1	3
115	и был	1	3
116	не все	2	3
117	уже в	2	3
118	с их	1	3
119	в нем	10	3
120	раз навсегда	1	3
121	в россии	5	3
122	том случае	1	3
123	это было	3	3
124	это не	3	3
125	бытие и	1	3
126	нисколько не	1	3
127	не в	11	3
128	что есть	2	3
129	и против	2	3
130	того чтобы	4	3
131	отличается от	1	3
132	всегда есть	4	3
133	в виду	1	3
134	с каким	1	3
135	если бы	1	3
136	находится в	1	3
137	к нему	3	3
138	говорит в	1	3
139	вот что	1	3
140	ни с	7	3
141	был бы	1	3
142	не так	1	3
143	всяком случае	1	3
144	само по	1	3
145	человека и	10	3
146	но о	1	3
147	как бы	3	3
148	и для	2	3
149	ее в	2	3
150	и эта	1	3
151	во всяком	1	3
152	в этот	2	2
153	сам по	1	2
154	не хочет	1	2
155	не имеют	1	2
156	должна быть	1	2
157	есть не	1	2
158	мы не	1	2
159	в сущности	1	2
160	не вполне	1	2
161	он был	8	2
162	он сам	4	2
163	к богу	1	2
164	себе и	1	2
165	есть просто	1	2
166	и к	2	2
167	от этого	1	2
168	не очень	2	2
169	в которой	2	2
170	он всегда	7	2
171	что она	1	2
172	он ни	1	2
173	же это	2	2
174	в силу	1	2
175	случае если	1	2
176	же не	1	2
177	в другом	2	2
178	должен был	2	2
179	в жизни	1	2
180	в это	1	2
181	в этих	3	2
182	все и	1	2
183	оказывается что	1	2
184	дается в	1	2
185	и более	1	2
186	с чего	2	2
187	можно ли	2	2
188	она не	1	2
189	человека от	1	2
190	в разных	1	2
191	она должна	1	2
192	по своей	1	2
193	бог и	1	2
194	не могут	3	2
195	он никогда	1	2
196	не существует	1	2
197	его творчества	1	2
198	в мире	1	2
199	но у	1	2
200	его в	2	2
201	бы в	1	2
202	бросается в	1	2
203	который в	1	2
204	из них	1	2
205	за границу	1	2
206	для того	3	2
207	был даже	1	2
208	никогда и	2	2
209	со стороны	1	2
210	выше всякого	1	2
211	его всегда	1	2
212	но оно	1	2
213	нет ничего	7	2
214	выше всего	2	2
215	для тех	1	2
216	как например	1	2
217	в одно	1	2
218	и ни	2	2
219	ни к	1	2
220	этом отношении	1	2
221	но можно	1	2
222	совершенно не	1	2
223	к его	1	2
224	жизни а	1	2
225	с его	4	2
226	же и	1	2
227	но еще	1	2
228	к этой	2	2
229	к этому	2	2
230	могут и	1	1
231	например в	1	1
232	нельзя потому	1	1
233	чтобы не	1	1
234	от самой	1	1
235	не делает	1	1
236	науки о	1	1
237	он хотел	1	1
238	и есть	3	1
239	вот оказывается	1	1
240	из самых	1	1
241	человеческой души	6	1
242	и больше	1	1
243	из всех	1	1
244	он знает	1	1
245	та же	1	1
246	идею он	1	1
247	движение в	2	1
248	раз уже	2	1
249	был еще	2	1
250	себе что	1	1
251	него совершенно	1	1
252	и нигде	1	1
253	вечной жизни	1	1
254	иных случаях	1	1
255	того чтоб	1	1
256	в откровении	1	1
257	к которой	1	1
258	в новом	1	1
259	всегда хотел	1	1
260	существование в	1	1
261	и чем	1	1
262	что они	2	1
263	и свободное	1	1
264	как в	1	1
265	внимание его	1	1
266	человеческая личность	1	1
267	в плоти	1	1
268	когда он	3	1
269	сознания в	1	1
270	духа и	1	1
271	чтобы то	1	1
272	не быть	1	1
273	к чему	1	1
274	он в	2	1
275	думать что	1	1
276	люди а	1	1
277	человек не	7	1
278	больше всего	1	1
279	сказать в	1	1
280	о которой	2	1
281	и имя	1	1
282	к одному	1	1
283	в корне	1	1
284	и вот	3	1
285	через свою	1	1
286	на земле	4	1
287	очень важные	1	1
288	различие между	3	1
289	и заключается	1	1
290	этом он	2	1
291	распадается на	1	1
292	его не	2	1
293	лишь в	7	1
294	заключается в	1	1
295	ума и	2	1
296	особенное значение	1	1
297	растворяется в	1	1
298	в свой	1	1
299	истории и	1	1
300	связанным с	1	1
301	после этого	1	1
302	в них	1	1
303	стремился к	1	1
304	бога и	1	1
305	и почему	1	1
306	со всей	1	1
307	которую он	2	1
308	другой его	1	1
309	и без	1	1
310	всего только	1	1
311	ли так	1	1
312	природы но	3	1
313	эта не	1	1
314	мир и	1	1
315	но он	7	1
316	оба они	1	1
317	что сам	1	1
318	свобода и	2	1
319	представляется ему	1	1
320	любви и	1	1
321	захватывает и	1	1
322	с которой	2	1
323	этого нужно	1	1
324	начинает с	1	1
325	одна из	1	1
326	все есть	1	1
327	что их	1	1
328	в науке	1	1
329	него была	1	1
330	он еще	1	1
331	было у	1	1
332	того как	1	1
333	и весь	1	1
334	в форму	1	1
335	в процессе	1	1
336	всякий кто	2	1
337	как будто	1	1
338	есть у	1	1
339	всему этому	1	1
340	бытия как	1	1
341	в космосе	1	1
342	начиная с	1	1
343	и всех	1	1
344	всех произведений	1	1
345	всего в	2	1
346	он вечно	2	1
347	бы он	1	1
348	для его	1	1
349	указывает на	1	1
350	все еще	2	1
351	и он	8	1
352	можно и	1	1
353	в ее	2	1
354	нет никакой	1	1
355	говорится что	1	1
356	свое учение	1	1
357	свободу и	1	1
358	стремиться к	1	1
359	и сам	1	1
360	что ведь	2	1
361	особенно в	1	1
362	и каждый	1	1
363	что уж	1	1
364	бытие не	1	1
365	подойти к	2	1
366	том как	1	1
367	и природной	1	1
368	собственно в	1	1
369	в самой	9	1
370	преодолеть его	1	1
371	для целей	1	1
372	красоты в	1	1
373	с того	1	1
374	самому себе	1	1
375	все та	1	1
376	вопросу о	1	1
377	все в	4	1
378	что люди	1	1
379	но ничего	1	1
380	доходит до	1	1
381	человек был	3	1
382	там и	1	1
383	а потому	1	1
384	нуждается в	1	1
385	отметить что	1	1
386	в глазах	1	1
387	вообще и	1	1
388	у обоих	1	1
389	других его	1	1
390	же можно	2	1
391	с той	1	1
392	один из	1	1
393	что только	1	1
394	будто бы	1	1
395	начало в	1	1
396	и гармонии	1	1
397	их не	2	1
398	в ранге	1	1
399	в эти	1	1
400	самом деле	1	1
401	и положительное	1	1
402	человеческой личности	6	1
403	нигде и	1	1
404	системы и	1	1
405	него и	4	1
406	а это	1	1
407	на этих	1	1
408	боге то	1	1
409	и скорее	1	1
410	в душе	2	1
411	и других	1	1
412	бытия но	1	1
413	а ведь	1	1
414	только их	1	1
415	и никогда	2	1
416	притом не	1	1
417	что пишет	1	1
418	и из	2	1
419	на примере	1	1
420	что человек	3	1
421	и прежде	1	1
422	он во	1	1
423	всякого человека	1	1
424	что для	2	1
425	к человеку	9	1
426	был в	1	1
427	на этот	1	1
428	о чем	1	1
429	него не	2	1
430	в творчестве	5	1
431	в частности	1	1
432	и никакая	1	1
433	в иных	1	1
434	в строгом	1	1
435	было для	2	1
436	и проблема	1	1
437	в человеке	9	1
438	строгом смысле	1	1
439	он говорит	1	1
440	но сам	1	1
441	есть на	1	1
442	для человека	2	1
443	чистой духовности	1	1
444	то к	2	1
445	которым он	1	1
446	этого слова	1	1
447	и нет	2	1
448	сторон его	1	1
449	своей жизни	2	1
450	все это	6	1
451	видно что	1	1
452	ближе к	1	1
453	ничего кроме	2	1
454	всего для	1	1
455	и после	1	1
456	бы даже	1	1
457	интерес к	1	1
458	еще более	1	1
459	к раскрытию	1	1
460	я хочу	1	1
461	есть уже	1	1
462	отношении к	1	1
463	и начинается	1	1
464	это все	1	1
465	всего мира	1	1
466	состоит из	1	1
467	бог в	1	1
468	природе и	1	1
469	для нашего	1	1
470	ко всему	1	1
471	этот свой	1	1
472	сила и	1	1
473	огромное значение	1	1
474	жизни и	1	1
475	человека к	2	1
476	все что	3	1
