N	2gram	Tiupa_Disk_1	UchenyiS
149	не то	1	1
150	тем более	1	1
151	независимо от	1	1
152	в известном	1	1
153	данном случае	2	1
154	их специфической	1	1
155	она сводится	1	1
156	или даже	2	1
157	иначе говоря	2	1
158	чем то	1	1
159	в период	1	1
160	можно сказать	5	1
161	литературы в	2	1
162	или меньшей	2	1
163	о котором	2	1
164	сказать что	3	1
165	о нем	2	1
166	мы можем	1	1
167	о том	8	1
168	не существует	1	1
169	его как	2	1
170	что же	2	1
171	было и	1	1
172	определяется не	2	1
173	и потому	3	1
174	но по	1	1
175	анализа в	1	1
176	ее к	1	1
177	и вся	1	1
178	даже не	1	1
179	что в	4	1
180	эстетический объект	1	1
181	жанра но	1	1
182	для себя	4	1
183	может служить	1	1
184	того что	3	1
185	литературы как	1	1
186	которых она	1	1
187	с одной	9	1
188	той же	1	1
189	на своем	1	1
190	а.н веселовского	2	1
191	в исторической	1	1
192	в большей	1	1
193	уже не	4	1
194	в которых	4	1
195	к этому	2	1
196	не делает	1	1
197	говорить не	1	1
198	так и	8	1
199	в таком	1	1
200	претендует на	4	1
201	или менее	2	1
202	и действительно	1	1
203	в виде	1	1
204	мы имеем	2	1
205	по мнению	1	1
206	большей или	2	1
207	искусства в	1	1
208	более или	2	1
209	литературного произведения	3	1
210	стихотворений и	1	1
211	в той	1	1
212	нет и	1	1
213	только при	1	1
214	и все	2	1
215	исходить из	1	1
216	в г	2	1
217	сюда же	1	1
218	и это	1	1
219	отказаться от	1	1
220	не было	7	1
221	в эстетический	1	1
222	и др	2	1
223	на то	1	1
224	сам по	1	1
225	одной стороны	9	1
226	со своими	1	1
227	никогда не	2	1
228	он в	1	1
229	и даже	3	1
230	впрочем в	1	1
231	в котором	5	1
232	в понятии	1	1
233	быть в	1	1
234	к лицу	1	1
235	как таковая	1	1
236	в пределах	2	1
237	в произведении	3	1
238	его на	1	1
239	и вне	1	1
240	строго говоря	2	1
241	что с	2	1
242	во мне	3	1
243	и делает	1	1
244	авторской индивидуальности	1	1
245	этом случае	1	1
246	за пределы	2	1
247	от самых	1	1
248	в нем	9	1
249	вообще по	1	1
250	искусства не	1	1
251	и прежде	1	1
252	сводятся к	1	1
253	это в	2	1
254	но также	1	1
255	далеко не	10	1
256	то есть	20	1
257	впрочем не	1	1
258	он уже	1	1
259	не вполне	1	1
260	в отдельности	1	1
261	жанра в	4	1
262	они в	1	1
263	имеет свою	3	1
264	но для	1	1
265	в своем	6	1
266	в данном	5	1
267	на слово	1	1
268	исторической поэтики	1	1
