N	2gram	Berdyaev_V_1	RusskieA
193	оно не	3	1
194	iv в	1	1
195	с ним	2	1
196	превращается в	3	1
197	отношение к	1	1
198	для него	2	1
199	что он	4	1
200	сделать это	1	1
201	о которой	1	1
202	не так	2	1
203	когда дух	1	1
204	и очень	1	1
205	кто же	1	1
206	идет по	1	1
207	это только	1	1
208	в первый	3	1
209	в нашу	1	1
210	хотя и	5	1
211	этому же	1	1
212	ее но	1	1
213	их не	1	1
214	происхождении и	2	1
215	и мир	1	1
216	превращаются в	2	1
217	детскую игру	1	1
218	что есть	5	1
219	на него	1	1
220	превратились в	2	1
221	и не	20	1
222	нет и	2	1
223	чтобы сделать	2	1
224	до того	2	1
225	тот же	3	1
226	от людей	1	1
227	как религия	1	1
228	и чем	1	1
229	и своим	1	1
230	на этих	2	1
231	на пути	1	1
232	находится в	1	1
233	мы увидим	1	1
234	основана на	1	1
235	это самое	1	1
236	и потому	7	1
237	смертью и	1	1
238	ничего не	1	1
239	же и	1	1
240	не надо	1	1
241	он был	1	1
242	к ним	1	1
243	и за	2	1
244	то это	3	1
245	вера в	2	1
246	много места	1	1
247	что все	4	1
248	него в	1	1
249	человеку не	1	1
250	не будут	1	1
251	с ними	1	1
252	там он	1	1
253	другой стороны	1	1
254	помогают от	1	1
255	для христианства	1	1
256	и есть	4	1
257	этого слова	1	1
258	в его	4	1
259	в двух	1	1
260	мы и	2	1
261	на которых	1	1
262	в самом	1	1
263	таким же	1	1
264	человек с	1	1
265	им не	1	1
266	и если	1	1
267	и совершают	1	1
268	только в	2	1
269	найти в	1	1
270	их во	1	1
271	не просто	1	1
272	же они	1	1
273	есть уже	2	1
274	ли он	1	1
275	это еще	4	1
276	когда в	2	1
277	есть одна	1	1
278	презрением к	1	1
279	в мировом	1	1
280	тот кто	2	1
281	есть и	1	1
282	но нет	1	1
283	в число	2	1
284	все что	4	1
285	и до	1	1
286	уже в	1	1
287	него не	1	1
288	природу его	1	1
289	ненависть к	1	1
290	что личность	1	1
291	и это	2	1
292	а потом	1	1
293	их на	1	1
294	говорят что	1	1
295	еще с	1	1
296	и эта	1	1
297	но все	1	1
298	и тогда	2	1
299	от них	1	1
300	человека и	6	1
301	и всех	1	1
302	но это	3	1
303	в своем	1	1
304	для чего	1	1
