N	2gram	Medvedev_V_1	RusskieA
542	всех других	3	1
543	одновременно и	1	1
544	религии и	1	1
545	него в	3	1
546	есть и	1	1
547	в заключение	1	1
548	более полное	1	1
549	быть признана	1	1
550	во всяком	1	1
551	как на	3	1
552	и особенно	1	1
