N	2gram	Nazirov_Tr_1	Problema
378	стояли на	1	1
379	в двойнике	1	1
380	не сводится	1	1
381	какой-то мере	1	1
382	по своей	1	1
383	не случайно	2	1
384	оказалось что	1	1
385	он стал	1	1
386	к сожалению	1	1
387	что даже	1	1
388	в самое	1	1
389	который в	2	1
390	нечто не	1	1
391	в голове	1	1
392	это же	1	1
393	сводится только	1	1
394	вот что	1	1
395	всем его	1	1
396	записках из	3	1
397	чтобы он	1	1
398	но самое	1	1
399	не из	1	1
400	в душе	2	1
401	является ее	1	1
402	и их	1	1
403	ко всей	1	1
404	могло бы	1	1
405	чтобы она	1	1
406	ее не	1	1
407	друг друга	2	1
408	братьях карамазовых	1	1
409	вещи с	1	1
410	значение только	1	1
411	глава i	1	1
412	даже не	1	1
413	в записках	2	1
414	чем он	2	1
415	времени в	2	1
416	личности героя	1	1
417	встречался с	1	1
418	в стиле	1	1
419	позиции в	1	1
420	со мной	2	1
421	с которым	1	1
422	в россии	1	1
423	под влиянием	2	1
424	с первого	2	1
425	из трех	1	1
426	в разговоре	1	1
427	xix века	1	1
428	для искусства	2	1
429	что за	3	1
430	наряду с	1	1
431	и начинает	1	1
432	время такое	1	1
433	понял что	1	1
434	для понимания	1	1
435	в понятие	1	1
436	в бесах	9	1
437	который он	1	1
438	с этой	1	1
439	еще к	1	1
440	в основном	3	1
441	развернута в	1	1
442	это выражение	1	1
443	она должна	2	1
444	уже ни	1	1
445	всегда будет	1	1
446	что я	4	1
447	и от	1	1
448	от него	1	1
449	из себя	1	1
450	у достоевского	5	1
451	в ресторане	2	1
452	романа и	3	1
453	еще ничего	1	1
454	герое этого	1	1
455	в период	1	1
456	в романе	10	1
457	из тех	1	1
458	не быть	1	1
459	мы начинаем	1	1
460	петра степановича	3	1
461	свидригайлова в	1	1
462	сама и	1	1
463	ко всему	1	1
464	т е	1	1
465	что под	1	1
466	в такое	1	1
467	к этой	1	1
468	разговоре с	1	1
469	а я	5	1
470	и эта	1	1
471	это понятие	1	1
