N	2gram	Vinokur_Vv_1	UchenyiS
251	изучение этого	1	1
252	что с	3	1
253	но для	1	1
254	имеет свою	2	1
255	в большей	7	1
256	широком и	1	1
257	и все	1	1
258	обе эти	2	1
259	того как	3	1
260	по меньшей	2	1
261	тот же	1	1
262	было у	1	1
263	на элемент	1	1
264	есть ли	1	1
265	не существует	2	1
266	о методах	1	1
267	эпоху к	1	1
268	в точном	1	1
269	так много	1	1
270	почему в	1	1
271	т.д в	1	1
272	в которой	1	1
273	о котором	8	1
274	меньшей мере	2	1
275	истории искусств	2	1
276	это то	1	1
277	не было	1	1
278	так или	4	1
279	находятся в	2	1
280	науки об	2	1
281	тогда когда	3	1
282	с одной	4	1
283	с которыми	1	1
284	в качестве	7	1
285	то о	2	1
286	без этого	1	1
287	тем более	2	1
288	в известном	3	1
289	можем его	1	1
290	вообще в	2	1
291	что по	1	1
292	бы только	1	1
293	литературы в	3	1
294	уже не	5	1
295	на одно	1	1
296	имеем в	1	1
297	но также	14	1
298	же в	1	1
299	направлено на	1	1
300	в виде	4	1
301	широком смысле	8	1
302	в нем	13	1
303	точном смысле	1	1
304	или даже	1	1
305	методологии истории	1	1
306	но если	3	1
307	месте в	1	1
308	методе и	1	1
309	о которой	2	1
310	а для	1	1
311	сказать что	5	1
312	только как	6	1
313	состоит из	1	1
314	история литературы	2	1
315	и истории	2	1
316	вопрос построения	1	1
317	впервые в	1	1
318	одно из	5	1
319	не значит	1	1
320	он называет	1	1
321	и так	1	1
322	менее заметным	1	1
323	природе и	2	1
324	особую науку	1	1
325	он и	2	1
326	содержания и	1	1
327	этот процесс	3	1
328	содержание и	1	1
329	в свое	2	1
330	с каждым	1	1
331	в совокупности	2	1
332	есть наука	1	1
333	самое что	2	1
334	время не	1	1
335	может служить	3	1
336	но он	1	1
337	но что	3	1
338	у него	1	1
339	само по	3	1
340	этого и	1	1
341	мы можем	2	1
342	ее в	1	1
343	находит себе	2	1
344	принципа в	1	1
345	и эта	1	1
346	это в	2	1
347	а это	1	1
348	к проблемам	2	1
349	что при	1	1
350	к этому	3	1
351	что в	11	1
352	существование в	1	1
353	все что	1	1
