N	2gram	Propp_Russ_2	Tragedij
298	и дело	2	1
299	с ними	1	1
300	только в	1	1
301	во всем	2	1
302	iii эта	1	1
303	с одной	2	1
304	есть в	2	1
305	он полагал	1	1
306	он очень	1	1
307	только на	1	1
308	на столе	1	1
309	одно из	2	1
310	на первую	1	1
311	всяком случае	1	1
312	могло бы	1	1
313	чтобы она	1	1
314	и должна	1	1
315	ее не	1	1
316	к ним	1	1
317	ту сторону	1	1
318	это слова	1	1
319	это по	1	1
320	в особую	1	1
321	рядом с	1	1
322	в особенности	1	1
323	таком виде	2	1
324	и возвращается	1	1
325	даже не	1	1
326	с другим	2	1
327	и эту	1	1
328	именно в	4	1
329	из сибири	1	1
330	не было	2	1
331	а на	9	1
332	всему что	1	1
333	а не	4	1
334	на смерть	1	1
335	не я	1	1
336	играют никакой	1	1
337	точности соответствует	1	1
338	в и	3	1
339	этом случае	6	1
340	эти слова	1	1
341	вместе с	6	1
342	и особенно	1	1
343	и начинают	2	1
344	исходит от	1	1
345	и потому	1	1
346	эта связь	2	1
347	в духе	1	1
348	несколько раз	1	1
349	смысле этого	1	1
350	применении к	1	1
351	вызвать к	1	1
352	который он	1	1
353	этого слова	1	1
354	с этой	2	1
355	и от	3	1
356	с последним	1	1
357	это выражение	1	1
358	не является	1	1
359	на улице	1	1
360	тем и	2	1
361	тот кто	1	1
362	а к	2	1
363	в двух	1	1
364	из себя	1	1
365	и совершенно	1	1
366	но у	1	1
367	только что	1	1
368	очень хорошо	1	1
369	за этим	2	1
370	к ее	1	1
371	жизни в	2	1
372	к числу	2	1
373	имеет целью	2	1
374	в период	1	1
375	совершенно не	2	1
376	в точности	1	1
377	ко всему	1	1
378	т е	24	1
379	и жизнь	1	1
380	есть и	1	1
381	к этой	1	1
382	в сибири	2	1
383	и эта	1	1
384	это в	2	1
385	во всяком	1	1
