N	2gram	Nazirov_Vr_1	formyVre
111	и даже	6	3
112	не было	5	3
113	о чем	2	3
114	с помощью	1	3
115	в это	2	3
116	к вопросу	1	3
117	тем более	2	3
118	в этих	1	3
119	а в	2	3
120	к этому	3	3
121	этого романа	1	2
122	и есть	1	2
123	эти не	1	2
124	говорить о	1	2
125	роман в	1	2
126	он был	3	2
127	первый план	1	2
128	не был	1	2
129	и т.п	2	2
130	совсем не	1	2
131	если в	1	2
132	к ним	2	2
133	то в	1	2
134	всего романа	1	2
135	в этой	2	2
136	как он	1	2
137	не могла	1	2
138	о смерти	1	2
139	после этого	2	2
140	по всем	1	2
141	людей и	1	2
142	смеха и	1	2
143	в париже	3	2
144	далеко не	3	2
145	которой он	1	2
146	представление о	1	2
147	далее в	1	2
148	одном из	1	2
149	но он	3	2
150	в той	2	2
151	вплоть до	1	2
152	более что	1	2
153	в роман	2	2
154	этом отношении	1	2
155	в духе	1	2
156	могут быть	1	2
157	во все	1	2
158	похож на	1	2
159	и это	2	2
160	и о	3	2
161	и от	1	2
162	не мог	2	2
163	это не	4	2
164	все в	1	2
165	в литературе	1	2
166	быть и	1	2
167	один из	1	2
168	в литературу	1	2
169	и детей	4	2
170	до того	1	2
171	в конце	3	2
172	каждый из	1	2
173	рядом с	2	2
174	до сих	1	2
175	с другой	1	2
176	именно в	1	2
177	было бы	1	2
178	романа в	1	2
179	до конца	1	2
180	и самый	1	2
181	человек в	1	2
182	во франции	1	2
183	за обедом	1	2
184	не может	2	2
185	так же	4	2
186	по своему	1	2
187	наряду с	3	2
188	сих пор	1	2
189	сказал что	1	2
190	ее и	1	2
191	но это	2	2
192	равно как	1	2
193	как на	1	2
194	во всяком	1	2
195	все что	1	2
196	которых не	1	1
197	себя как	1	1
198	можно говорить	1	1
199	связан с	1	1
200	и то	2	1
201	это и	1	1
202	идет о	1	1
203	так при	1	1
204	которую они	1	1
205	по преимуществу	1	1
206	свое место	1	1
207	он всегда	1	1
208	их и	1	1
209	ему нужно	1	1
210	на лету	5	1
211	говорил с	1	1
212	что уже	1	1
213	на место	2	1
214	он как	1	1
215	начинается с	1	1
216	в полной	1	1
217	в числе	1	1
218	это время	1	1
219	в ней	4	1
220	он сам	2	1
221	в чем	3	1
222	с его	3	1
223	мне все	1	1
224	и всего	1	1
225	и речи	1	1
226	как говорит	1	1
227	первый взгляд	1	1
228	его на	2	1
229	что как	1	1
230	в него	2	1
231	он часто	1	1
232	состояло в	1	1
233	и отчасти	1	1
234	роль играет	1	1
235	человеком в	1	1
236	в самом	1	1
237	в письмах	2	1
238	мотивы и	2	1
239	романа это	1	1
240	так в	2	1
241	выражение в	1	1
242	еще один	1	1
243	у женщин	1	1
244	у людей	1	1
245	же это	1	1
246	эпизоду в	1	1
247	христа и	1	1
248	никому не	1	1
249	одно и	1	1
250	об этом	5	1
251	это же	1	1
252	этой традиции	1	1
253	в будущее	1	1
254	это было	1	1
255	как тот	1	1
256	дома и	1	1
257	как пример	1	1
258	все равно	1	1
259	а за	1	1
260	анекдот о	1	1
261	он и	1	1
262	ключ к	1	1
263	герои романа	1	1
264	такой же	1	1
265	он сказал	1	1
266	одного и	1	1
267	в своей	2	1
268	в поэме	1	1
269	без всяких	1	1
270	однако в	1	1
271	времени а	1	1
272	что есть	3	1
273	них много	1	1
274	не имеет	1	1
275	одна из	2	1
276	и уже	3	1
277	через него	1	1
278	правда в	1	1
279	как новый	1	1
280	и лишь	1	1
281	он хочет	1	1
282	такая же	1	1
283	за исключением	1	1
284	п в	2	1
285	во всем	1	1
286	словом весь	1	1
287	было в	1	1
288	приехал в	2	1
289	в стиле	1	1
290	среди них	1	1
291	один эпизод	1	1
292	начиная с	2	1
293	сама жизнь	1	1
294	его с	2	1
295	с ее	1	1
296	свою очередь	1	1
297	но при	1	1
298	в ее	1	1
299	то время	1	1
300	и сам	1	1
301	считаем что	1	1
302	роман сервантеса	1	1
303	этого как	1	1
304	идти вперед	1	1
305	еще в	1	1
306	имеется в	1	1
307	и вообще	1	1
308	автора к	1	1
309	и т.д	1	1
310	но мы	1	1
311	и что	8	1
312	там же	2	1
313	раз и	1	1
314	доходит до	1	1
315	между тем	5	1
316	этот момент	2	1
317	я вижу	1	1
318	в другую	1	1
319	тех пор	1	1
320	по своей	1	1
321	романа и	1	1
322	ли он	1	1
323	в разные	1	1
324	и ее	2	1
325	литературе и	1	1
326	был также	1	1
327	себя в	1	1
328	тогда же	1	1
329	внимание в	1	1
330	для всех	1	1
331	с нею	2	1
332	а это	1	1
333	высокой оценке	1	1
334	ни с	1	1
335	резко отличают	1	1
336	того в	1	1
337	там за	1	1
338	никого не	1	1
339	на свое	1	1
340	что тот	1	1
341	в бою	1	1
342	после смерти	2	1
343	типичен для	1	1
344	характерно для	1	1
345	близок к	1	1
346	такое же	1	1
347	души и	1	1
348	на этот	1	1
349	более того	1	1
350	в рассказе	1	1
351	другой стороны	1	1
352	одну из	1	1
353	под влиянием	1	1
354	несмотря на	4	1
355	но как	2	1
356	не знал	1	1
357	и никому	1	1
358	с тех	1	1
359	свою книгу	1	1
360	да и	1	1
361	в условиях	1	1
362	оба они	1	1
363	между прочим	1	1
364	имел в	3	1
365	из него	1	1
366	уже на	1	1
367	котором он	1	1
368	это как	1	1
369	бы в	1	1
370	конце концов	1	1
371	хотя в	1	1
372	не являются	1	1
373	нам не	1	1
374	в свою	2	1
375	они как	1	1
376	больших и	1	1
377	смешные черты	1	1
378	мы считаем	1	1
379	для создания	1	1
380	в таком	1	1
381	они не	1	1
