N	2gram	Propp_Morf_1	SlovoVZh
215	так если	2	1
216	ли кто-нибудь	1	1
217	во всех	4	1
218	образом мы	5	1
219	положения и	1	1
220	то мы	4	1
221	не требует	1	1
222	друг к	2	1
223	то в	3	1
224	это бывает	1	1
225	коем случае	1	1
226	образом лишь	1	1
227	особой формой	1	1
228	что они	2	1
229	он или	1	1
230	и уж	1	1
231	и она	1	1
232	в одной	1	1
233	если она	2	1
234	в лице	1	1
235	что именно	1	1
236	не зная	1	1
237	что здесь	1	1
238	как например	2	1
239	предметы и	1	1
240	на которой	1	1
241	ряд вопросов	1	1
242	все остальные	1	1
243	перед нами	10	1
244	следует ли	1	1
245	в новой	1	1
246	хотя и	3	1
247	может получить	1	1
248	на другие	2	1
249	мы увидим	8	1
250	ли он	1	1
251	более или	2	1
252	следующим образом	3	1
253	увидим что	1	1
254	пор не	1	1
255	как нечто	1	1
256	случае она	1	1
257	его место	1	1
258	тому как	5	1
259	может дать	1	1
260	что это	1	1
261	в целом	3	1
262	формы в	1	1
263	особую форму	5	1
264	если мы	5	1
265	в эти	1	1
266	себя в	1	1
267	что совсем	1	1
268	им в	1	1
269	определяет его	1	1
270	бы только	1	1
271	не можем	1	1
272	во многих	1	1
273	в большинстве	3	1
274	значение и	1	1
275	в виде	2	1
276	что она	2	1
277	противном случае	1	1
278	слова не	1	1
279	при помощи	9	1
280	или просто	2	1
281	его и	2	1
282	является следствием	1	1
283	формы но	1	1
284	одно из	1	1
285	и их	2	1
286	этого нельзя	2	1
287	всяком случае	2	1
288	он пользуется	1	1
289	все вопросы	1	1
290	в одном	1	1
291	и вот	1	1
292	вовсе не	4	1
293	ни были	1	1
294	ничего общего	1	1
295	у нее	1	1
296	друг друга	3	1
297	как его	1	1
298	у него	1	1
299	из нее	1	1
300	подобно тому	6	1
301	кто же	1	1
302	на этом	3	1
303	она имеет	1	1
304	в окно	1	1
305	природой и	1	1
306	это один	1	1
307	или иных	1	1
308	мы берем	1	1
309	это по	1	1
310	герой и	3	1
311	само собой	1	1
312	бы они	2	1
313	здесь мы	3	1
314	найти его	1	1
315	они должны	1	1
316	в другом	2	1
317	другого и	1	1
318	ни одной	1	1
319	каковы будут	1	1
320	должно быть	1	1
321	входит в	2	1
322	одна форма	2	1
323	она создает	1	1
324	ко второму	1	1
325	деле в	1	1
326	и иных	2	1
327	было бы	3	1
328	и создает	1	1
329	героя может	1	1
330	и тем	2	1
331	многое что	1	1
332	кажется что	1	1
333	но есть	3	1
334	предметами и	1	1
335	а с	2	1
336	не знает	1	1
337	далеко не	5	1
338	не на	2	1
339	непосредственно к	1	1
340	не всегда	9	1
341	он имеет	1	1
342	и вне	3	1
343	несмотря на	4	1
344	о чем	1	1
345	на эту	1	1
346	этом основании	1	1
347	всех других	1	1
348	же не	1	1
349	и некоторые	1	1
350	и тогда	1	1
351	для этой	3	1
352	и становится	1	1
353	или менее	2	1
354	все более	1	1
355	вступает в	1	1
356	но если	7	1
357	в частности	2	1
358	художественных приемов	1	1
359	он вдруг	1	1
360	именно и	1	1
361	это делает	1	1
362	относятся к	2	1
363	она в	2	1
364	положения в	1	1
365	не могут	4	1
366	он выбирает	1	1
367	только об	1	1
368	так мы	1	1
369	и независимо	1	1
370	наряду с	5	1
371	нашу задачу	1	1
372	нельзя было	2	1
373	формы является	1	1
374	формы могут	1	1
375	но эта	1	1
376	и тот	1	1
377	которые в	1	1
378	из этой	1	1
379	не должно	1	1
380	мы еще	1	1
381	на эти	1	1
382	может идти	1	1
383	что например	1	1
384	для нее	1	1
385	что до	1	1
386	можно наблюдать	3	1
387	на другое	1	1
388	бы отдаленно	1	1
389	оно по	1	1
390	но прежде	1	1
391	как необходимая	1	1
392	только для	1	1
393	и таким	2	1
394	в высшей	1	1
395	в который	1	1
396	точно и	1	1
397	она могла	1	1
398	в обоих	2	1
399	в противном	1	1
400	самого начала	1	1
401	в русской	1	1
402	форма не	1	1
403	более и	1	1
404	она должна	1	1
405	тех или	1	1
406	весь этот	1	1
407	не является	3	1
408	в основе	1	1
409	время как	3	1
410	материала в	1	1
411	какую-нибудь иную	1	1
412	автором по	1	1
413	потому не	1	1
414	того чтобы	3	1
415	не существует	3	1
416	это мы	1	1
417	рассматривать как	1	1
418	в результате	7	1
419	в коем	1	1
420	только и	1	1
421	в качестве	5	1
422	связанные со	1	1
423	как особая	2	1
424	от него	1	1
425	быть изучена	1	1
426	как явление	1	1
427	теряет свою	1	1
428	мы должны	3	1
429	дана в	1	1
430	же оно	2	1
431	следующий момент	1	1
432	же он	1	1
433	бы по	1	1
434	связи с	10	1
435	обстоит дело	1	1
436	здесь же	3	1
437	это уже	3	1
438	важное значение	1	1
439	как будто	2	1
440	этом отношении	1	1
441	него но	1	1
442	в области	1	1
443	может и	1	1
444	у нас	2	1
445	материала но	2	1
446	является то	1	1
447	равно как	1	1
448	когда мы	1	1
449	и героев	1	1
450	героя в	4	1
451	должны быть	1	1
452	которые имеют	1	1
453	можно сравнить	2	1
454	другими формами	1	1
455	но эти	1	1
456	в таком	1	1
457	во всяком	2	1
458	они не	1	1
459	к тому	4	1
