N	2gram	Berdyaev_V_1	Tvorches
351	его совесть	1	1
352	то и	1	1
353	достоинства и	1	1
354	по законам	1	1
355	но с	1	1
356	на этих	2	1
357	слова не	1	1
358	его и	2	1
359	свою свободу	1	1
360	возможно в	1	1
361	самоутверждение личности	1	1
362	в одном	1	1
363	личного и	2	1
364	к ним	1	1
365	совместима с	1	1
366	но что	1	1
367	тем что	2	1
368	добру а	1	1
369	не было	3	1
370	видим что	1	1
371	не надо	1	1
372	как сам	1	1
373	что бог	1	1
374	а с	2	1
375	души и	1	1
376	себя и	1	1
377	о красоте	1	1
378	с презрением	2	1
379	что бы	1	1
380	превращается в	3	1
381	свободы от	3	1
382	на которых	1	1
383	не верит	3	1
384	сознания от	2	1
385	жизнь в	1	1
386	о чем	1	1
387	и я	4	1
388	него не	1	1
389	всемирной истории	3	1
390	связь с	1	1
391	него в	1	1
392	и впрямь	1	1
393	как это	1	1
394	всех людей	3	1
395	о возможности	1	1
396	смерть но	1	1
397	в изображении	1	1
398	ненависть к	1	1
399	времени с	1	1
400	самого себя	2	1
401	слияние с	1	1
402	человек с	1	1
403	это значит	1	1
404	и смерти	1	1
405	же за	1	1
406	в средство	3	1
407	и тогда	2	1
408	и сам	2	1
409	уже на	2	1
410	гораздо шире	1	1
411	человек и	1	1
412	от него	2	1
413	человечества а	2	1
414	конце концов	1	1
415	можно вывести	1	1
416	именем и	1	1
417	я в	1	1
418	в искусстве	1	1
419	человека не	1	1
420	давно уже	2	1
421	может и	1	1
422	это все	2	1
423	наконец не	1	1
424	путями к	1	1
425	что свобода	1	1
426	к людям	6	1
