N	2gram	Bakhtin_KF_1	OGranits
133	том что	4	2
134	от своего	1	2
135	и ее	2	2
136	в отношении	1	2
137	но такое	1	2
138	слова и	1	2
139	интонации в	1	2
140	не менее	3	2
141	что эта	2	2
142	не имеет	5	2
143	сознания и	3	2
144	на язык	3	2
145	во всем	7	2
146	а в	4	2
147	нет ничего	1	2
148	и к	1	2
149	имеет место	1	2
150	элемента в	1	2
151	могут быть	3	2
152	в своих	3	2
153	к тому	1	2
154	данной области	1	1
155	и это	12	1
156	можно говорить	1	1
157	оно может	1	1
158	также и	1	1
159	своего развития	1	1
160	функции в	1	1
161	себя как	2	1
162	при разных	1	1
163	в виду	3	1
164	того же	1	1
165	на нем	2	1
166	поэтому столь	1	1
167	в эстетике	1	1
168	едином акте	1	1
169	на основе	7	1
170	в напряженном	1	1
171	это и	2	1
172	жили и	1	1
173	должен овладеть	1	1
174	и есть	9	1
175	в себя	7	1
176	ту же	1	1
177	включает в	2	1
178	и до	1	1
179	не имеют	1	1
180	ведь и	1	1
181	на том	1	1
182	едва ли	2	1
183	мышления но	1	1
184	осталась бы	1	1
185	не дано	1	1
186	для которой	3	1
187	своей научной	1	1
188	особенно в	1	1
189	к психологизму	1	1
190	значения как	1	1
191	отсюда и	3	1
192	здесь нет	2	1
193	осуществляется в	1	1
194	мы имеем	5	1
195	на первом	2	1
196	содержания в	1	1
197	остается только	1	1
198	и о	1	1
199	вопрос о	2	1
200	и всякого	1	1
201	другое дело	2	1
202	для этого	2	1
203	по себе	2	1
204	в определенной	2	1
205	но может	1	1
206	подхода к	2	1
207	с ее	2	1
208	сводится к	2	1
209	его действительного	1	1
210	ему в	2	1
211	подлежит ведению	1	1
212	в действительной	4	1
213	как свой	1	1
214	в мире	6	1
215	он пытается	1	1
216	и он	1	1
217	слово не	3	1
218	другими словами	1	1
219	своей истории	2	1
220	не имеем	3	1
221	еще не	4	1
222	столь же	1	1
223	осмысления и	1	1
224	в различных	1	1
225	не могу	3	1
226	ли кто-нибудь	1	1
227	тем как	3	1
228	в конечном	1	1
229	к нему	12	1
230	на самом	3	1
231	совсем не	2	1
232	но не	12	1
233	что язык	1	1
234	сознания не	2	1
235	него все	1	1
236	отношение к	5	1
237	и место	1	1
238	к телу	1	1
239	в едином	9	1
240	нет и	3	1
241	или иное	2	1
242	в оценке	1	1
243	эти возможности	1	1
244	смысловой и	1	1
245	на то	1	1
246	даже для	1	1
247	один и	1	1
248	в истории	1	1
249	его эстетической	1	1
250	мы оказались	1	1
251	познания в	2	1
252	мышление и	2	1
253	должен сказать	2	1
254	в своем	16	1
255	как из	1	1
256	то или	2	1
257	по своей	1	1
258	один из	2	1
259	и как	2	1
260	его к	2	1
261	одной из	1	1
262	учитывает и	1	1
263	что он	2	1
264	оказывается с	1	1
265	его конечно	1	1
266	есть его	2	1
267	или иную	1	1
268	в значительной	1	1
269	и оба	1	1
270	под ним	2	1
271	со всеми	2	1
272	момент как	1	1
273	ни одна	2	1
274	в этой	2	1
275	события и	1	1
276	обоснование в	1	1
277	и тот	1	1
278	была действительно	1	1
279	конечно не	7	1
280	можно установить	1	1
281	не можем	1	1
282	жизнь как	6	1
283	только на	1	1
284	в действительном	6	1
285	если он	1	1
286	перевести его	1	1
287	себя и	2	1
288	вследствие этого	2	1
289	этот момент	6	1
290	и чисто	1	1
291	что она	1	1
292	не из	2	1
293	и других	2	1
294	в теоретических	6	1
295	единая и	3	1
296	его и	2	1
297	конечном счете	1	1
298	ту или	1	1
299	одно из	1	1
300	и обосновать	1	1
301	никто не	1	1
302	в виде	2	1
303	содержания и	2	1
304	ни была	1	1
305	и должна	3	1
306	одном случае	1	1
307	особенно часто	1	1
308	осуществляются в	1	1
309	только с	3	1
310	из него	3	1
311	и никогда	1	1
312	на этом	1	1
313	людей и	2	1
314	лишь с	2	1
315	ее жизни	3	1
316	не должно	3	1
317	и всякое	1	1
318	для того	3	1
319	этим самым	1	1
320	предмету но	1	1
321	ни о	1	1
322	оторванные от	2	1
323	же не	1	1
324	что мир	1	1
325	в чисто	1	1
326	его определение	1	1
327	может возникнуть	1	1
328	значимое в	1	1
329	бы быть	5	1
330	на все	1	1
331	и здесь	7	1
332	его в	5	1
333	как к	2	1
334	этим путем	2	1
335	и иных	1	1
336	и эстетические	1	1
337	между отдельными	1	1
338	лежит в	1	1
339	и находит	1	1
340	в живом	1	1
341	что мы	1	1
342	только к	1	1
343	только одно	1	1
344	больше и	1	1
345	произведения не	1	1
346	из нее	1	1
347	не было	8	1
348	она и	1	1
349	поскольку она	2	1
350	все равно	1	1
351	он действительно	1	1
352	которой он	2	1
353	он и	2	1
354	когда я	3	1
355	и застывшее	1	1
356	отнюдь не	6	1
357	понятие о	1	1
358	систему и	1	1
359	из проявлений	1	1
360	должно быть	6	1
361	менее всего	6	1
362	выбора все	1	1
363	такой же	1	1
364	если не	2	1
365	момента в	1	1
366	но при	1	1
367	вступает в	3	1
368	связь с	1	1
369	ведь только	1	1
370	себе в	1	1
371	эти слова	1	1
372	художественного творчества	1	1
373	как все	1	1
374	но там	1	1
375	как это	1	1
376	путь от	1	1
377	возможности в	2	1
378	о возможности	1	1
379	всей полноте	1	1
380	себе а	2	1
381	мысли и	1	1
382	бы что	1	1
383	к этому	2	1
384	вообще ни	1	1
385	где она	1	1
386	каждой данной	1	1
387	и связанных	1	1
388	тем не	2	1
389	чтобы затем	1	1
390	их в	1	1
391	в последнем	1	1
392	неизбежно влечет	1	1
393	к следующему	1	1
394	быть не	2	1
395	этого слова	2	1
396	в контексте	5	1
397	тому что	2	1
398	быть и	3	1
399	чуждым ей	1	1
400	до конца	3	1
401	и развивается	2	1
402	но это	6	1
403	к двум	1	1
404	в то	3	1
405	как о	1	1
406	мысли в	1	1
407	к другим	1	1
408	сознании и	1	1
409	одна из	1	1
410	пространство и	2	1
411	которых он	1	1
412	связанная с	1	1
413	того чтобы	2	1
414	само по	1	1
415	но такой	1	1
416	при таком	1	1
417	не существует	1	1
418	или в	1	1
419	находятся в	1	1
420	ее и	6	1
421	же время	2	1
422	лишь как	2	1
423	или как	2	1
424	оказались бы	1	1
425	в основе	5	1
426	от него	3	1
427	за исключением	1	1
428	а лишь	3	1
429	это слово	1	1
430	только что	1	1
431	творчества но	1	1
432	потому что	2	1
433	общего не	2	1
434	бы по	1	1
435	его философских	1	1
436	до того	1	1
437	быть понята	1	1
438	об этом	1	1
439	не знает	5	1
440	и ценностная	2	1
441	ритма и	1	1
442	равно как	1	1
443	мы здесь	2	1
444	и именно	2	1
445	когда мы	1	1
446	во все	1	1
447	с его	1	1
448	же самое	1	1
449	должны быть	1	1
450	всего в	1	1
451	вместе с	1	1
452	и приходится	1	1
453	к живому	1	1
454	по поводу	1	1
455	разрыва между	1	1
456	им и	1	1
457	они не	1	1
