N	2gram	Nazirov_Tr_1	Formalny
136	в году	9	2
137	а как	2	2
138	вопрос о	2	2
139	литературы и	1	2
140	за пределы	1	2
141	чем же	1	2
142	эта связь	1	2
143	стиля и	1	2
144	впечатление что	2	2
145	он в	1	2
146	этот образ	4	2
147	не могла	1	2
148	и если	1	2
149	и вот	1	2
150	но все	2	2
151	это не	5	2
152	с начала	1	2
153	начала и	1	2
154	ни в	2	2
155	в самую	2	2
156	с тем	2	2
157	не так	2	2
158	почти не	1	2
159	значение для	1	2
160	роман и	1	2
161	на всю	1	2
162	раз и	2	2
163	и художественной	1	2
164	только не	1	2
165	ничего не	2	2
166	одна из	2	2
167	в самой	1	2
168	в противовес	1	2
169	к ней	1	2
170	во всем	1	2
171	своей книге	1	2
172	его с	1	2
173	от нее	1	2
174	не есть	1	2
175	всего этого	1	2
176	на нее	1	2
177	еще в	2	2
178	с ним	3	2
179	часто и	1	2
180	и должно	1	2
181	и что	4	2
182	все в	1	2
183	между тем	1	2
184	что и	2	2
185	не сводится	1	2
186	нет он	1	2
187	ее к	2	2
188	только в	1	2
189	уже не	2	2
190	чтобы он	1	2
191	и чисто	1	2
192	в душе	2	2
193	могло бы	1	2
194	в одном	2	2
195	и должна	1	2
196	вопрос об	1	2
197	все время	1	2
198	под влиянием	2	2
199	вместе с	1	2
200	и особенно	1	2
201	ко всем	1	2
202	в результате	1	2
203	жизни в	1	2
204	но эта	2	2
205	от литературы	1	2
206	а между	1	1
207	сохраняет свое	1	1
208	ту же	1	1
209	эффект и	1	1
210	например в	1	1
211	и есть	1	1
212	в первом	2	1
213	из самых	2	1
214	также что	1	1
215	высшей степени	1	1
216	той же	1	1
217	в и	1	1
218	х годов	1	1
219	вместо того	1	1
220	ему в	1	1
221	из ее	1	1
222	xix века	1	1
223	не был	2	1
224	в чем	1	1
225	и развить	1	1
226	в данном	2	1
227	тогда как	1	1
228	вызывает в	1	1
229	опирается на	1	1
230	вот как	1	1
231	за этим	1	1
232	романа или	1	1
233	первостепенное значение	1	1
234	перед нами	2	1
235	так обстоит	1	1
236	то в	1	1
237	в условиях	1	1
238	бы и	2	1
239	самой природе	1	1
240	роль его	1	1
241	оно начинает	1	1
242	как он	1	1
243	что без	1	1
244	идей и	1	1
245	по-видимому не	1	1
246	тем не	1	1
247	чтобы установить	1	1
248	не значит	1	1
249	к одному	1	1
250	социального типа	1	1
251	что нужно	1	1
252	ее своей	1	1
253	вообще не	1	1
254	так часто	1	1
255	и по	1	1
256	на этом	1	1
257	последнее слово	1	1
258	прекрасное и	1	1
259	и чтобы	1	1
260	заключается в	1	1
261	при которой	1	1
262	этом романе	1	1
263	характерный для	1	1
264	лишь на	1	1
265	который сам	1	1
266	но уже	1	1
267	нет в	2	1
268	в высшей	1	1
269	этого не	1	1
270	его перед	1	1
271	он и	2	1
272	не мог	2	1
273	и ко	1	1
274	или вообще	1	1
275	к истории	1	1
276	в такой	1	1
277	в котором	1	1
278	не столько	1	1
279	в отличие	2	1
280	своего рода	3	1
281	как своего	1	1
282	не понимает	1	1
283	но он	1	1
284	превратиться в	1	1
285	тому что	1	1
286	действительности от	1	1
287	в обоих	1	1
288	самого начала	1	1
289	этими двумя	2	1
290	не имеет	2	1
291	на котором	1	1
292	и притом	1	1
293	облекается в	1	1
294	но только	1	1
295	того чтобы	1	1
296	на себя	1	1
297	но главная	1	1
298	в русском	2	1
299	по своей	1	1
300	жизни на	1	1
301	потому что	2	1
302	что на	1	1
303	в духе	1	1
304	вопросу об	1	1
305	не могут	2	1
306	встречается в	1	1
307	могут быть	1	1
308	свое значение	1	1
309	что при	1	1
310	он противопоставляет	1	1
311	и о	1	1
312	людей в	1	1
313	данном случае	2	1
314	с самого	1	1
315	роль в	1	1
316	в образе	6	1
317	было в	2	1
318	по природе	1	1
319	в борьбе	1	1
320	в последующих	1	1
321	мог бы	3	1
322	во многом	1	1
323	и всегда	1	1
324	по сравнению	1	1
325	за этими	1	1
326	понятно что	1	1
327	с литературными	1	1
328	создается впечатление	2	1
329	в другом	1	1
330	а также	1	1
331	теме в	1	1
332	связь между	1	1
333	уже чисто	1	1
334	в форме	1	1
335	проблемы проблемы	1	1
336	для самого	1	1
337	к нему	3	1
338	в двух	1	1
339	романа и	3	1
340	мы видим	1	1
341	согласиться с	1	1
342	от всего	2	1
343	могло быть	1	1
344	который в	2	1
345	по мнению	2	1
346	между этими	2	1
347	именно на	1	1
348	так что	2	1
349	слова в	1	1
350	в виде	2	1
351	а это	1	1
352	в понятие	1	1
353	за счет	1	1
354	никто не	3	1
355	с этими	1	1
356	как его	1	1
357	у него	6	1
358	во взглядах	1	1
359	отличие от	2	1
360	тургеневского романа	1	1
361	для отрицания	1	1
362	даже не	1	1
363	как у	2	1
364	к роману	1	1
365	когда его	1	1
366	что не	1	1
367	полагал что	1	1
368	а на	1	1
369	думается нам	1	1
370	одну из	1	1
371	несмотря на	5	1
372	только теперь	1	1
373	бессмысленной и	1	1
374	русской литературы	2	1
375	для искусства	2	1
376	по поводу	2	1
377	сравнению с	1	1
378	с такой	1	1
379	наряду с	1	1
380	в той	1	1
381	деятельность не	1	1
382	они сами	1	1
383	в это	2	1
384	нее самой	1	1
385	романа с	1	1
386	между собой	1	1
387	в недрах	1	1
388	не является	1	1
389	что оно	1	1
390	том что	4	1
391	это уже	2	1
392	для нас	1	1
393	романа в	1	1
394	справедливы в	1	1
395	из себя	1	1
396	только что	1	1
397	обстоит дело	1	1
398	в становлении	1	1
399	гораздо больше	1	1
400	совершенно не	1	1
401	большое значение	1	1
402	о себе	1	1
403	есть и	1	1
404	труда в	1	1
405	и эта	1	1
406	это в	1	1
407	это понятие	1	1
