N	2gram	Medvedev_F_2	UchenyiS
141	не есть	3	2
142	этом отношении	7	2
143	фактов и	1	2
144	всех этих	3	2
145	представляется нам	1	2
146	их и	1	2
147	не могут	7	2
148	метода как	1	2
149	могут быть	6	2
150	в конце	2	2
151	смысле этого	1	2
152	а о	3	2
153	материал не	1	2
154	как раз	6	2
155	тем что	8	2
156	таким образом	20	2
157	художественного задания	1	2
158	даже и	4	2
159	литературного факта	1	1
160	для себя	1	1
161	и это	2	1
162	тем в	1	1
163	чем рассказывается	1	1
164	художественным произведением	1	1
165	на лингвистику	3	1
166	от произведения	1	1
167	жирмунский в	1	1
168	литературы а	1	1
169	себя содержание	1	1
170	поэзии и	1	1
171	же как	3	1
172	связанных с	1	1
173	в этот	1	1
174	даже не	2	1
175	на материал	1	1
176	в виду	2	1
177	сам по	3	1
178	говорить не	2	1
179	входит в	4	1
180	данном случае	1	1
181	или иначе	1	1
182	только при	1	1
183	формалистов на	1	1
184	сюда же	1	1
185	с самим	1	1
186	и прежде	3	1
187	наука о	1	1
188	или меньшей	1	1
189	метода он	1	1
190	от смысла	3	1
191	было и	2	1
192	в произведении	1	1
193	идет не	1	1
194	изучения литературы	2	1
195	установка на	2	1
196	степени и	1	1
197	в пределах	12	1
198	смысла слов	1	1
199	и др	3	1
200	слова у	1	1
201	из первых	1	1
202	и случилось	1	1
203	что для	2	1
204	объясняется и	1	1
205	приемов так	1	1
206	как данность	1	1
207	никогда не	2	1
208	к созданию	1	1
209	полагаем что	1	1
210	литературного произведения	3	1
211	эйхенбаума и	1	1
212	произведение как	2	1
213	так и	8	1
214	одной стороны	1	1
215	той же	1	1
216	историю литературы	1	1
217	и лингвистика	2	1
218	столько же	1	1
219	до конца	2	1
220	с тем	11	1
221	мы имеем	1	1
222	сдвиг в	1	1
223	место и	2	1
224	книги об	1	1
225	к вопросам	1	1
226	такое понимание	1	1
227	искусство как	3	1
228	и вне	1	1
229	именно этот	1	1
230	эйхенбаума о	1	1
231	до крайности	2	1
232	определений и	1	1
233	представлений и	1	1
234	как целого	1	1
235	ориентации поэтики	1	1
236	он становится	3	1
237	в словах	1	1
238	и даже	4	1
239	должно быть	2	1
240	любопытно что	1	1
241	степени характерно	1	1
242	правило форма	1	1
243	у формалистов	12	1
244	метода в	2	1
245	обычное правило	1	1
246	по теории	3	1
247	остается в	1	1
248	слишком часто	2	1
249	формализма в	4	1
250	можно сказать	1	1
251	восприятия и	4	1
252	смысле и	1	1
253	не вполне	1	1
254	или менее	1	1
255	формалистов вся	1	1
256	о нем	1	1
257	и направлено	1	1
258	произведения как	2	1
259	общее правило	1	1
260	в порядке	1	1
261	материал и	3	1
262	как на	1	1
263	приводит к	2	1
264	о том	1	1
265	в ней	6	1
266	в котором	2	1
267	для формального	1	1
268	исследовательской работе	1	1
269	литературного ряда	1	1
270	он был	2	1
271	первый план	2	1
272	изучаемого объекта	3	1
273	но такое	1	1
274	в различных	1	1
275	единства и	2	1
276	в значительной	3	1
277	содержания в	1	1
278	и литературного	2	1
279	литературные произведения	1	1
280	где же	1	1
281	которых так	1	1
282	как таковая	2	1
283	слово как	2	1
284	строго говоря	1	1
285	слагается из	1	1
286	формалистов к	2	1
287	все в	1	1
288	о литературном	1	1
289	является только	1	1
290	в той	2	1
291	словами как	1	1
292	пишет в	1	1
293	не метод	1	1
294	он вводит	1	1
295	отказ от	1	1
296	в данном	1	1
297	формалистов оказывается	1	1
298	что же	5	1
299	поэтика должна	1	1
300	не то	3	1
301	бы в	5	1
302	не входит	3	1
303	того что	3	1
304	друг другу	1	1
305	поскольку он	2	1
306	и приемы	2	1
307	образом на	1	1
308	речи в	1	1
309	их в	2	1
310	произведения в	2	1
311	говорит он	5	1
312	тому чтобы	2	1
313	оно является	1	1
314	язык в	2	1
315	за пределы	1	1
316	случилось с	1	1
317	на то	1	1
318	работах формалистов	1	1
319	к изучению	1	1
320	него самая	1	1
321	и вся	1	1
322	его как	2	1
323	отнюдь не	8	1
324	она не	2	1
325	задачи и	3	1
326	этом случае	1	1
327	лингвистику в	1	1
328	данное время	1	1
329	полагая что	1	1
330	независимо от	4	1
331	отношении статья	1	1
332	принципов и	1	1
333	его представителей	1	1
334	основные понятия	5	1
335	литературы как	1	1
336	формалистов для	1	1
337	как элементы	3	1
338	поэтика и	1	1
339	большей или	1	1
340	в своем	1	1
341	изучение этого	1	1
342	создает для	1	1
343	рассматривать не	1	1
344	но для	1	1
345	формальном методе	3	1
346	в большей	1	1
347	широком и	1	1
348	и все	3	1
349	художественного восприятия	1	1
350	произведения а	3	1
351	этой тенденции	1	1
352	тот же	1	1
353	р якобсон	2	1
354	сколько и	1	1
355	в поэтическом	7	1
356	на своем	1	1
357	ошибок но	1	1
358	более или	1	1
359	склонен рассматривать	1	1
360	как таковое	4	1
361	и действительно	1	1
362	форма создает	1	1
363	не существует	1	1
364	о методах	1	1
365	сторону от	1	1
366	он уже	1	1
367	метода не	1	1
368	прием без	1	1
369	вводит понятие	1	1
370	метод должен	2	1
371	как литературные	1	1
372	в которой	2	1
373	сожалению и	1	1
374	это то	1	1
375	поэмы гг	1	1
376	не было	6	1
377	так или	1	1
378	как психологические	1	1
379	в данное	1	1
380	он в	2	1
381	с одной	1	1
382	в качестве	2	1
383	то о	1	1
384	но именно	3	1
385	дифференциация его	1	1
386	вообще в	1	1
387	мировоззрения и	1	1
388	литературы в	1	1
389	живого человека	1	1
390	уже не	7	1
391	далеко не	1	1
392	имеем в	1	1
393	постулирует историческую	1	1
394	ее как	2	1
395	то и	3	1
396	на выражение	4	1
397	самый прием	1	1
398	же в	1	1
399	шкловского в	5	1
400	направлено на	1	1
401	в процессе	9	1
402	в виде	1	1
403	широком смысле	2	1
404	не обладает	1	1
405	для формалистов	5	1
406	в нем	13	1
407	связанные с	1	1
408	или даже	2	1
409	или просто	1	1
410	и конструктивное	1	1
411	но если	1	1
412	он не	6	1
413	методе и	1	1
414	предмете изучения	2	1
415	сказать что	2	1
416	слово является	3	1
417	только как	1	1
418	история литературы	1	1
419	отношении очень	2	1
420	они в	1	1
421	равно как	2	1
422	конструктивное значение	8	1
423	и так	1	1
424	он и	3	1
425	вопрос идет	1	1
426	мы полагаем	1	1
427	о лермонтове	1	1
428	в понятии	2	1
429	система приемов	1	1
430	не для	1	1
431	историческую индивидуальность	1	1
432	содержание и	1	1
433	у толстого	2	1
434	время не	1	1
435	но он	1	1
436	их система	1	1
437	но что	1	1
438	является одним	1	1
439	этого и	1	1
440	ориентация на	1	1
441	психологические документы	1	1
442	так то	1	1
443	явлением и	1	1
444	методах изучения	1	1
445	раннего формализма	3	1
446	ее в	2	1
447	о необходимости	1	1
448	поэзия говорит	1	1
449	и эта	1	1
450	о литературе	3	1
451	к этому	4	1
452	что в	7	1
453	в таком	2	1
