N	2gram	Berdyaev_M_2	VLabPisa
291	с ним	3	1
292	в какой	1	1
293	процесса не	1	1
294	верно и	1	1
295	все герои	1	1
296	быть названо	1	1
297	и во	3	1
298	его и	1	1
299	это в	1	1
300	личности и	2	1
301	боролся с	1	1
302	самом деле	1	1
303	судьба человека	6	1
304	один путь	1	1
305	уже из	1	1
306	всего этого	1	1
307	и без	1	1
308	или иная	1	1
309	в социальном	1	1
310	не дает	1	1
311	а между	1	1
312	данте и	1	1
313	ничего и	1	1
314	из моментов	1	1
315	которой он	1	1
316	жизнь в	6	1
317	если он	2	1
318	то в	2	1
319	мало чем	1	1
320	есть и	3	1
321	на протяжении	1	1
322	в которые	2	1
323	же не	1	1
324	имеет тут	1	1
325	по которой	1	1
326	быть при	1	1
327	как стихия	2	1
328	отношение к	8	1
329	оно входит	1	1
330	потому что	12	1
331	смысла в	1	1
332	до этой	1	1
333	как не	1	1
334	для такого	1	1
335	было еще	1	1
336	дело и	1	1
337	приходят к	1	1
338	ответить на	1	1
339	в той	1	1
340	которые должны	1	1
341	к религии	1	1
342	к ней	2	1
343	сознания в	1	1
344	не для	3	1
345	его над	1	1
346	еще более	2	1
347	и характер	1	1
348	о достоевском	1	1
349	жизнь и	4	1
350	в этих	2	1
351	духовной жизни	1	1
352	и той	2	1
353	нельзя построить	1	1
354	свою идею	1	1
355	сама по	1	1
356	что есть	2	1
357	и сам	1	1
358	от начала	1	1
359	не имеет	4	1
360	легенды о	1	1
361	и ему	1	1
362	привести к	5	1
363	как в	7	1
364	с анной	1	1
365	пор не	1	1
366	уже есть	1	1
367	говорят о	1	1
368	что если	1	1
369	их работать	1	1
370	и других	2	1
371	на почве	3	1
372	идея на	1	1
373	связанная с	1	1
374	это обычно	1	1
375	есть то	1	1
376	таинственной силой	1	1
377	что у	4	1
378	каждого человека	3	1
379	у этого	1	1
380	приводит в	1	1
381	братьях карамазовых	2	1
382	жизни не	2	1
383	видим в	1	1
384	с этой	1	1
385	и если	2	1
386	только с	3	1
387	не все	1	1
388	к этой	1	1
389	что наконец	1	1
390	ни в	3	1
391	да и	2	1
392	но на	2	1
393	уже в	2	1
394	находится в	1	1
395	как будто	2	1
396	и поэтому	2	1
397	и оттенков	1	1
398	к какому	1	1
399	в каком-то	1	1
400	должно быть	2	1
401	невозможно и	1	1
402	он был	9	1
403	тем что	3	1
404	лишь его	1	1
405	и кровь	1	1
406	к более	1	1
407	же и	2	1
408	по замыслу	1	1
409	уже не	4	1
410	это с	1	1
411	французской революции	1	1
412	в основе	2	1
413	или у	1	1
414	для достижения	1	1
415	опыт и	1	1
416	лежит в	1	1
417	по своему	1	1
418	к идее	1	1
419	в русском	4	1
420	сам по	2	1
421	для этого	4	1
422	дальше он	1	1
423	во взглядах	1	1
424	и та	2	1
425	формы в	1	1
426	а к	1	1
427	в сфере	2	1
428	того как	3	1
429	приходит к	2	1
430	только тогда	1	1
431	но ни	1	1
432	вне себя	1	1
433	в п	1	1
434	себя и	3	1
435	же о	1	1
436	и менее	1	1
437	и что	2	1
438	у достоевского	34	1
439	если есть	3	1
440	в планах	1	1
441	ее и	2	1
442	что всякий	3	1
443	процесс этот	1	1
444	без остатка	1	1
445	нет ничего	3	1
446	и никогда	3	1
447	не случайно	2	1
448	всего может	1	1
449	речи о	1	1
450	эта мысль	2	1
451	друг друга	12	1
452	до последних	2	1
453	быть и	2	1
454	признать что	1	1
455	достоевский в	3	1
456	происходит в	1	1
457	та или	1	1
458	но что	1	1
459	не нашли	1	1
460	мы из	1	1
461	в духе	5	1
462	не был	2	1
463	а также	1	1
464	но по	1	1
465	мы видим	2	1
466	доходит до	6	1
467	целый ряд	1	1
468	которые не	1	1
469	или как	1	1
470	бы его	2	1
471	он должен	1	1
472	связано с	3	1
473	то все	2	1
474	художник и	1	1
475	их что	1	1
476	на себя	1	1
477	которых он	1	1
478	ницше и	1	1
479	и толстой	1	1
480	борьбы и	1	1
481	если все	1	1
482	один же	1	1
483	и это	5	1
484	только над	1	1
485	о природе	1	1
486	действия не	1	1
487	плоти и	1	1
488	толстой и	1	1
489	быть в	1	1
490	себе и	2	1
491	идет дальше	3	1
492	и то	1	1
493	не способен	5	1
494	своего собственного	1	1
495	на чувственное	1	1
496	дальше и	2	1
497	еще в	2	1
498	с традицией	1	1
499	е в	2	1
500	от родины	1	1
501	мира в	1	1
502	раскрывается в	1	1
503	об их	1	1
504	но это	8	1
505	той или	1	1
506	в свою	4	1
