N	2gram	Berdyaev_O_1	PoTuStor
227	и острота	1	1
228	необходим для	1	1
229	жизни ни	1	1
230	любви к	1	1
231	всего и	2	1
232	свой метод	1	1
233	человек был	3	1
234	но нет	1	1
235	отметить что	1	1
236	и можно	1	1
237	во внешнем	1	1
238	все время	1	1
239	человека как	1	1
240	и мир	1	1
241	в которую	1	1
242	к нему	3	1
243	он что	1	1
244	что только	1	1
245	себе даже	2	1
246	человека все	2	1
247	может привести	1	1
248	бы ни	1	1
249	же и	1	1
250	уже в	2	1
251	а это	1	1
252	растворяется в	1	1
253	его и	1	1
254	ведь это	2	1
255	в конце	1	1
256	ничего но	1	1
257	вовсе не	1	1
258	не случайно	1	1
259	этом отношении	1	1
260	идеологических построениях	1	1
261	даже и	2	1
262	для того	3	1
263	со стороны	1	1
264	и прежде	1	1
265	у многих	1	1
266	а с	1	1
267	него из	1	1
268	что для	2	1
269	говорит о	1	1
270	месте и	1	1
271	нужно искать	5	1
272	у нас	1	1
273	на этот	1	1
274	и самый	1	1
275	а не	11	1
276	но никогда	2	1
277	чем на	3	1
278	для человека	2	1
279	связь с	1	1
280	в человеке	9	1
281	что же	2	1
282	у самого	1	1
283	друг с	1	1
284	в человеческом	2	1
285	человеческой психики	1	1
286	быть не	1	1
287	их во	1	1
288	о его	5	1
289	нужно отметить	1	1
290	вовлекающее в	2	1
291	есть метод	1	1
292	тянется к	1	1
293	особого рода	1	1
294	это часто	1	1
295	интерес к	1	1
296	еще более	1	1
297	и ни	2	1
298	но всегда	1	1
299	жизни в	2	1
300	и начинается	1	1
301	нет ничего	7	1
302	противоречий и	1	1
303	а ведь	1	1
304	от всех	1	1
305	для нашего	1	1
306	ко всему	1	1
307	на своем	1	1
308	в своих	3	1
309	и эта	1	1
