N	2gram	Berdyaev_O_1	Narrotol
131	до конца	7	2
132	его и	1	2
133	в конце	1	2
134	и даже	1	2
135	как у	1	2
136	было и	1	2
137	что не	4	2
138	к его	1	2
139	да и	1	2
140	о его	5	2
141	и от	3	2
142	хотя бы	3	2
143	жизни в	2	2
144	сказать что	2	2
145	все что	3	2
146	во всяком	1	2
147	чтобы не	1	1
148	сам по	1	1
149	на самом	1	1
150	и есть	3	1
151	за все	2	1
152	и до	1	1
153	он указывает	1	1
154	из всех	1	1
155	например в	1	1
156	в первый	1	1
157	бессмертии души	1	1
158	и много	2	1
159	он был	8	1
160	природы и	2	1
161	его собственным	1	1
162	тот сам	1	1
163	не все	2	1
164	человеческих отношений	4	1
165	христа в	1	1
166	отношение к	5	1
167	преступление и	1	1
168	глаза что-то	1	1
169	и я	1	1
170	и лишь	1	1
171	когда он	3	1
172	и к	2	1
173	самом начале	1	1
174	за собой	1	1
175	знаменательно что	1	1
176	в которой	2	1
177	из жизни	1	1
178	что это	1	1
179	это за	3	1
180	за это	1	1
181	свой особый	1	1
182	человек не	7	1
183	что она	1	1
184	прошел через	1	1
185	главное в	1	1
186	в силу	1	1
187	и пережил	1	1
188	в корне	1	1
189	в человеческой	1	1
190	на земле	4	1
191	друг с	1	1
192	людей и	1	1
193	во внешнем	1	1
194	чувствует и	1	1
195	том случае	1	1
196	его в	2	1
197	бытия но	1	1
198	лишь на	1	1
199	он восклицает	2	1
200	стремился к	1	1
201	в ее	2	1
202	с тем	2	1
203	ведет к	1	1
204	нисколько не	1	1
205	в котором	1	1
206	оказывается что	1	1
207	мир и	1	1
208	идти в	1	1
209	что было	1	1
210	творчества это	1	1
211	заглянуть в	1	1
212	он выступает	1	1
213	любовь к	2	1
214	любви и	1	1
215	глубину как	1	1
216	можно ли	2	1
217	так как	2	1
218	в потоке	1	1
219	того как	1	1
220	было не	1	1
221	жизни не	1	1
222	по своей	1	1
223	во всем	1	1
224	это от	1	1
225	с другом	1	1
226	всех действующих	1	1
227	могут быть	3	1
228	отличается от	1	1
229	для его	1	1
230	указывает на	1	1
231	было для	2	1
232	и открывает	1	1
233	в виду	1	1
234	различие между	3	1
235	и когда	1	1
236	и сам	1	1
237	в другом	2	1
238	не с	1	1
239	и каждый	1	1
240	чем у	1	1
241	том как	1	1
242	но у	1	1
243	один человек	1	1
244	и здесь	1	1
245	в глаза	1	1
246	все та	1	1
247	ее и	1	1
248	самому себе	1	1
249	которая представляется	1	1
250	а потому	1	1
251	нуждается в	1	1
252	что и	2	1
253	чем и	1	1
254	все время	1	1
255	человека как	1	1
256	к ней	2	1
257	же можно	2	1
258	с той	1	1
259	сразу же	2	1
260	речь о	1	1
261	ли он	1	1
262	между этими	1	1
263	бы ни	1	1
264	их не	2	1
265	и мысли	4	1
266	со всеми	1	1
267	к одному	1	1
268	но о	1	1
269	уже в	2	1
270	в душе	2	1
271	что сама	1	1
272	только одно	3	1
273	внутренней жизни	1	1
274	не случайно	1	1
275	само по	1	1
276	тем что	2	1
277	и всякий	1	1
278	момент в	2	1
279	и ему	1	1
280	а именно	1	1
281	лица в	1	1
282	а с	1	1
283	на людей	1	1
284	что для	2	1
285	говорит о	1	1
286	на этот	1	1
287	стремится к	1	1
288	его как	1	1
289	но никогда	2	1
290	ближе к	1	1
291	проникновения в	1	1
292	связь с	1	1
293	в творчестве	5	1
294	и потому	2	1
295	в строгом	1	1
296	и наказание	1	1
297	в человеке	9	1
298	есть на	1	1
299	о человеке	29	1
300	образ и	1	1
301	человеке в	5	1
302	ней не	1	1
303	бросается в	1	1
304	лет назад	1	1
305	своей жизни	2	1
306	но это	1	1
307	все это	6	1
308	отношениях к	1	1
309	указать на	1	1
310	в пределе	1	1
311	человек и	4	1
312	в голову	1	1
313	но еще	1	1
314	интерес к	1	1
315	еще более	1	1
316	будто бы	1	1
317	о бессмертии	4	1
318	отношении к	1	1
319	это все	1	1
320	всего мира	1	1
321	была бы	1	1
322	речи и	1	1
323	совершенно не	1	1
324	в свое	1	1
325	к этой	2	1
326	за границу	1	1
327	случае если	1	1
328	от которой	1	1
329	к этому	2	1
330	русской литературы	1	1
