1	в мире	10	19
206	определяющее значение	2	1
207	всю жизнь	4	1
208	человеческая личность	1	1
209	отношение человека	1	1
210	любовь и	1	1
211	к знанию	1	1
212	открывается в	2	1
213	только и	3	1
214	ту же	1	1
215	жизни ее	1	1
216	и вся	1	1
217	отречение от	1	1
218	добро и	3	1
219	к нему	7	1
220	и поэтому	1	1
221	и их	3	1
222	в динамике	3	1
223	можно лишь	1	1
224	вся она	1	1
225	входит в	2	1
226	к одному	1	1
227	писателя в	1	1
228	свободы как	2	1
229	не что	1	1
230	границы человеческой	4	1
231	все что	2	1
232	это еще	1	1
233	целый ряд	1	1
234	также в	1	1
235	стоит в	1	1
236	искусство никогда	1	1
237	духовной жизни	3	1
238	вокруг него	1	1
239	и свободы	4	1
240	о жизни	1	1
241	ближе к	1	1
242	о его	1	1
243	так что	1	1
244	ее как	1	1
245	а внутри	1	1
246	с одним	1	1
247	лишь для	1	1
248	не совпадает	1	1
249	одного из	1	1
250	все с	1	1
251	тем что	4	1
252	случае если	1	1
253	вести к	1	1
254	его природы	2	1
255	есть не	4	1
256	и до	1	1
257	но во	1	1
258	образа в	1	1
259	того чтобы	2	1
260	с нею	1	1
261	два полюса	1	1
262	говорят о	1	1
263	впервые в	1	1
264	одним словом	1	1
265	еще большей	1	1
266	– оно	1	1
267	до последнего	1	1
268	по типу	1	1
269	восходит к	1	1
270	не столько	1	1
271	но у	1	1
272	в другой	1	1
273	мира и	5	1
274	к ним	1	1
275	о мире	2	1
276	том случае	1	1
277	нет в	4	1
278	они не	1	1
279	между этими	1	1
280	тем более	1	1
281	для того	2	1
282	широк человек	1	1
283	рода это	1	1
284	связана с	2	1
285	его с	2	1
286	во всей	1	1
287	в сторону	1	1
288	границы личности	1	1
289	но из	1	1
290	в одной	1	1
291	он мог	2	1
292	с той	1	1
293	и сама	2	1
294	от мира	2	1
295	на это	1	1
296	от его	2	1
297	оно не	1	1
298	такова что	1	1
299	– только	1	1
300	о судьбе	1	1
301	долгое время	2	1
302	у нее	1	1
303	и те	2	1
304	мы говорим	1	1
305	сам же	1	1
306	и др	1	1
307	всегда остается	2	1
308	можно назвать	1	1
309	своей свободы	1	1
310	если нет	5	1
311	говорит о	1	1
312	не путем	1	1
313	зрения герои	1	1
314	свобода и	6	1
315	реальности это	1	1
316	на земле	2	1
317	бы в	2	1
318	себя и	3	1
319	если не	1	1
320	и состоит	1	1
321	она не	4	1
322	и наоборот	1	1
323	– от	1	1
324	к пониманию	1	1
325	бытия не	1	1
326	же я	1	1
327	не должно	1	1
328	остается лишь	2	1
329	что он	10	1
330	и достоевского	2	1
331	в иных	3	1
332	собой в	1	1
333	и зло	1	1
334	должно быть	3	1
335	что достоевский	4	1
336	мировой жизни	1	1
337	чем человек	1	1
338	и я	5	1
339	нет никаких	2	1
340	он в	2	1
341	в силу	1	1
342	из всего	1	1
343	восстает против	1	1
344	и свою	1	1
345	явлена в	1	1
346	герой из	1	1
347	бы быть	1	1
348	ведь это	2	1
349	во всех	1	1
350	тем как	1	1
351	с человеком	1	1
352	моей духовной	1	1
353	для других	1	1
354	свободы и	10	1
355	этого мира	3	1
356	себе самом	1	1
357	в такой	1	1
358	с эпохи	1	1
359	если он	5	1
360	сознания в	1	1
361	в мир	3	1
362	свободы я	1	1
363	и литературные	1	1
364	в это	1	1
365	жизнь в	1	1
366	против собственной	1	1
367	человеческих отношений	1	1
368	рядом с	1	1
369	с тем	9	1
370	от ее	1	1
371	действующих лиц	1	1
372	в иную	1	1
373	жизни поэтому	1	1
374	отношения –	1	1
375	ее не	1	1
376	говорить об	1	1
377	о своих	2	1
378	своем отношении	1	1
379	на которой	1	1
380	от всех	1	1
381	было бы	10	1
382	свободу и	4	1
383	и ад	6	1
384	красота –	2	1
385	между людьми	1	1
386	быть художественно	1	1
387	во многих	1	1
388	быть назван	1	1
389	в центре	2	1
390	это ни	1	1
391	в ряду	1	1
392	к миру	2	1
393	и открывает	1	1
394	особенно в	3	1
395	отношений между	1	1
396	ведет к	6	1
397	весь мир	1	1
398	не существует	2	1
399	жизни не	1	1
400	свобода не	4	1
401	все и	1	1
402	значение в	1	1
403	силе и	1	1
404	также и	2	1
405	кто бы	1	1
406	человека и	14	1
407	карамазова в	1	1
408	в значительной	1	1
409	мире в	1	1
410	человеческой жизни	2	1
411	все то	1	1
412	себе такова	1	1
413	значительной степени	1	1
414	как у	1	1
415	ивана карамазова	7	1
416	иное как	1	1
417	к преступлению	4	1
418	можно было	1	1
419	радикально меняется	1	1
420	отношений и	1	1
421	он ни	2	1
422	что не	1	1
423	все человеческие	1	1
424	для художника	1	1
425	и л	1	1
426	– да	1	1
427	есть для	1	1
428	должен быть	2	1
429	эту свободу	1	1
430	вокруг себя	1	1
431	и идет	1	1
432	мук и	1	1
433	в еще	1	1
434	над собой	1	1
435	не несет	1	1
436	это особенно	2	1
437	глубже чем	1	1
438	должен был	4	1
439	в каком	2	1
440	в более	2	1
441	также что	1	1
442	дорожит этой	1	1
443	не было	18	1
444	и на	6	1
445	и мир	2	1
446	вопрос о	2	1
447	начало и	1	1
448	на могиле	1	1
449	то время	2	1
450	жизни а	1	1
451	ничто не	1	1
452	быть может	7	1
453	с чем	1	1
454	человек должен	6	1
455	и вокруг	1	1
456	с ней	2	1
457	с которой	2	1
458	духа и	4	1
459	такого отношения	3	1
460	моего сознания	1	1
461	и более	1	1
462	отношение между	1	1
463	только одно	3	1
464	человеческого духа	26	1
465	в христианском	4	1
466	его личности	3	1
467	обжигает и	1	1
468	с самим	2	1
469	на этом	3	1
470	означает что	1	1
471	чтобы не	2	1
472	на всякое	1	1
473	более чем	1	1
474	что иное	1	1
475	имея в	1	1
476	именно потому	1	1
477	этом они	1	1
478	и от	2	1
479	мы видим	2	1
480	в своих	1	1
481	разного рода	2	1
482	жизнь и	1	1
483	и только	1	1
484	чего бы	1	1
485	когда я	1	1
486	красота есть	1	1
487	и сам	1	1
488	о том	2	1
489	за это	1	1
490	время для	1	1
491	к другому	1	1
492	не была	3	1
493	всего что	2	1
494	не во	1	1
495	человека как	2	1
496	свободе его	1	1
497	бы ни	1	1
498	человека –	2	1
499	перед собой	1	1
500	у него	17	1
501	путь к	1	1
502	заключает в	3	1
503	ничего нельзя	1	1
504	– один	3	1
505	открывает что	1	1
506	что они	1	1
507	или к	4	1
508	при котором	1	1
509	о чем	2	1
510	и без	1	1
511	точек зрения	1	1
512	так как	3	1
