N	2gram	Nazirov_Tv_2	Komedia
515	хорошо известные	1	1
516	крайней мере	2	1
517	в середине	1	1
518	построении образов	1	1
519	в ту	2	1
520	говоря что	1	1
521	где происходит	1	1
522	и она	1	1
523	в третий	1	1
524	образом как	1	1
525	ни к	2	1
526	он стал	1	1
527	мы видим	4	1
528	напротив в	1	1
529	ли он	1	1
530	только в	2	1
531	это тем	1	1
532	в стороне	2	1
533	знаешь ли	1	1
534	по самой	3	1
535	свое богатство	1	1
536	в построении	1	1
537	и у	2	1
538	развитию действия	1	1
539	а напротив	1	1
540	больше не	1	1
541	друг за	1	1
542	отцов и	1	1
543	является не	1	1
544	не из	1	1
545	рассказывает о	3	1
546	ненавидящей его	1	1
547	в ином	1	1
548	в душе	4	1
549	и других	2	1
550	не стал	1	1
551	что герои	1	1
552	изображает как	1	1
553	сочувствия к	1	1
554	и их	1	1
555	руки и	1	1
556	намеков на	1	1
557	в современном	3	1
558	может служить	2	1
559	как его	1	1
560	не случайно	2	1
561	и никогда	1	1
562	без внимания	1	1
563	следует признать	1	1
564	случае с	1	1
565	идея не	1	1
566	девочкой на	1	1
567	о своей	1	1
568	для героев	1	1
569	го класса	1	1
570	уходит в	1	1
571	действующих лиц	2	1
572	и между	1	1
573	а с	3	1
574	показывает что	4	1
575	в соответствии	4	1
576	превращается в	3	1
577	понимаем что	2	1
578	от их	1	1
579	для начала	1	1
580	сам себе	1	1
581	не выдерживает	2	1
582	то по	1	1
583	способным на	1	1
584	действия в	1	1
585	как ни	1	1
586	на фоне	1	1
587	человек в	1	1
588	в городе	1	1
589	эти слова	1	1
590	эта идея	1	1
591	самой своей	3	1
592	и потому	4	1
593	за другом	1	1
594	человеческое чувство	1	1
595	незадолго до	1	1
596	ничего нет	1	1
597	так мы	2	1
598	к жизни	2	1
599	бы одну	1	1
600	такого рода	1	1
601	когда же	1	1
602	поскольку он	1	1
603	в первой	2	1
604	можно принять	2	1
605	своего времени	1	1
606	на свете	1	1
607	в i	2	1
608	в основном	6	1
609	отдельно от	1	1
610	эпизоды из	1	1
611	она должна	1	1
612	писал в	1	1
613	под названием	1	1
614	перед собой	1	1
615	не похож	1	1
616	в с	1	1
617	пор еще	1	1
618	необходимым для	1	1
619	к диалогу	1	1
620	это как	1	1
621	своей собственной	1	1
622	а к	1	1
623	в голову	1	1
624	себя самого	1	1
625	для нас	1	1
626	же что	1	1
627	имел большое	1	1
628	всякого рода	2	1
629	в этих	1	1
630	не должен	1	1
631	ли что	1	1
632	отношении к	1	1
633	к самому	2	1
634	жизни в	3	1
635	от ее	2	1
636	с ней	1	1
637	сказать что	1	1
638	и только	2	1
639	была бы	1	1
640	что угодно	1	1
641	но этот	1	1
642	быть назван	1	1
643	жизнь в	1	1
644	об этих	1	1
645	по поводу	1	1
646	уже после	2	1
647	я могу	1	1
648	как на	1	1
649	том числе	1	1
650	ничего общего	1	1
