N	2gram	Propp_Morf_1	Stilisti
223	в приведенных	1	2
224	выбор и	1	2
225	к нему	3	2
226	иными словами	1	2
227	в него	1	2
228	видим что	10	2
229	как например	2	2
230	в том	6	2
231	одной из	1	2
232	что он	4	2
233	в какой	3	2
234	как нечто	1	2
235	их мы	1	2
236	для всех	1	2
237	слова не	1	2
238	для него	1	2
239	заметить что	8	2
240	тем что	4	2
241	перейти к	2	2
242	чему не	2	2
243	а на	3	2
244	еще и	1	2
245	в связи	9	2
246	равно как	1	2
247	из которых	3	2
248	в первой	1	2
249	должно быть	1	2
250	сих пор	1	2
251	но это	6	2
252	случаях когда	2	2
253	тем и	2	2
254	в точном	1	2
255	или в	4	2
256	на первый	3	2
257	но об	1	2
258	и ни	1	2
259	о происхождении	2	2
260	ни к	2	2
261	несмотря на	4	2
262	этот вопрос	2	2
263	в частности	2	2
264	к этому	3	2
265	в голову	1	2
266	смысле слова	4	1
267	ту же	2	1
268	можно говорить	1	1
269	одним из	1	1
270	нужно помнить	1	1
271	при разных	1	1
272	увидим ниже	5	1
273	по отдельным	1	1
274	и должны	1	1
275	решительно все	1	1
276	который можно	1	1
277	которую они	1	1
278	и до	1	1
279	ведь и	1	1
280	встречаются на	1	1
281	собственном смысле	3	1
282	большое количество	1	1
283	например в	2	1
284	о степени	1	1
285	в сущности	3	1
286	говорить о	3	1
287	не происходит	3	1
288	ему в	1	1
289	но то	1	1
290	их слова	1	1
291	в числе	2	1
292	который может	2	1
293	качестве примера	1	1
294	но этого	1	1
295	в чем	1	1
296	значением которое	1	1
297	там и	1	1
298	сама собой	1	1
299	одним словом	1	1
300	но как	2	1
301	и другие	6	1
302	если в	5	1
303	какой степени	1	1
304	в собственном	3	1
305	там где	5	1
306	более чем	1	1
307	в подобных	1	1
308	в одной	1	1
309	если она	2	1
310	дает нам	1	1
311	случаях всегда	2	1
312	скажем что	1	1
313	не хватает	3	1
314	имеют и	1	1
315	кроме того	1	1
316	и где	1	1
317	и есть	2	1
318	вопросом о	1	1
319	и сестры	1	1
320	даже просто	1	1
321	более или	2	1
322	увидим что	1	1
323	то в	3	1
324	зависит и	1	1
325	же быть	2	1
326	формы в	1	1
327	из этих	1	1
328	не задаваясь	1	1
329	будет сказано	1	1
330	что так	1	1
331	форме диалога	1	1
332	слушателя и	1	1
333	бы только	1	1
334	которых строится	1	1
335	только один	1	1
336	имеем в	6	1
337	не нужны	1	1
338	все они	1	1
339	вообще не	1	1
340	тем не	5	1
341	он не	3	1
342	одному из	3	1
343	и случайные	1	1
344	на новые	2	1
345	он должен	2	1
346	в силу	1	1
347	необходимо для	1	1
348	приходим к	2	1
349	на этом	3	1
350	лишь с	2	1
351	прежде чем	3	1
352	так например	3	1
353	на то	2	1
354	в основу	2	1
355	однако все	1	1
356	могла бы	4	1
357	тем в	1	1
358	в другом	2	1
359	конечно в	1	1
360	в ход	1	1
361	форм и	1	1
362	на все	1	1
363	образом если	1	1
364	более широкого	1	1
365	то все	1	1
366	чему мы	1	1
367	за ним	1	1
368	нет в	1	1
369	но по-видимому	1	1
370	с этой	1	1
371	сам с	1	1
372	как видно	1	1
373	будем в	1	1
374	во внимание	1	1
375	и вне	3	1
376	иногда в	5	1
377	же самый	1	1
378	и тогда	1	1
379	этого может	1	1
380	вопроса об	1	1
381	или менее	2	1
382	в г	1	1
383	бы на	1	1
384	мы приходим	2	1
385	наших дней	2	1
386	то для	1	1
387	оказывается что	1	1
388	значение для	1	1
389	нескольких основных	1	1
390	и уж	1	1
391	нельзя было	2	1
392	собой и	1	1
393	что этот	1	1
394	или если	1	1
395	даже в	1	1
396	заставляет его	2	1
397	теми или	1	1
398	же представляет	1	1
399	не менее	5	1
400	но они	1	1
401	в таких	2	1
402	что эта	2	1
403	она не	2	1
404	таковое не	1	1
405	с теми	4	1
406	в русской	1	1
407	это дает	1	1
408	эта форма	13	1
409	того как	2	1
410	одна из	4	1
411	случаях не	2	1
412	так чтобы	1	1
413	иметь в	1	1
414	это мы	1	1
415	его присутствие	1	1
416	из материала	1	1
417	совершенно неожиданно	1	1
418	задаваясь вопросом	1	1
419	такой случай	2	1
420	за развитием	1	1
421	говорить лишь	1	1
422	бы по	1	1
423	вопрос в	2	1
424	к таким	1	1
425	выпадает из	2	1
426	но там	1	1
427	не могут	4	1
428	должны быть	1	1
429	другими формами	1	1
430	в наши	1	1
431	например на	1	1
432	все еще	3	1
433	кем и	1	1
434	что при	2	1
435	утверждать что	3	1
436	если же	5	1
437	наши дни	1	1
438	другими но	1	1
439	оно может	3	1
440	приходит к	1	1
441	самое обычное	1	1
442	не совсем	1	1
443	а затем	4	1
444	будет видно	1	1
445	без всякого	2	1
446	там оно	1	1
447	это еще	1	1
448	как по	1	1
449	мысль о	1	1
450	можно сделать	2	1
451	всей своей	1	1
452	его самого	4	1
453	оно также	1	1
454	сложный случай	1	1
455	здесь как	1	1
456	здесь нет	1	1
457	или на	3	1
458	еще в	1	1
459	различное значение	1	1
460	когда в	1	1
461	показать как	1	1
462	героя нужно	1	1
463	даже не	3	1
464	слова а	1	1
465	на вопрос	2	1
466	и что	2	1
467	мог бы	1	1
468	что его	2	1
469	может не	1	1
470	образом мы	5	1
471	нет это	1	1
472	путь к	2	1
473	грань между	1	1
474	между тем	5	1
475	этот момент	3	1
476	и хорошо	1	1
477	это сделать	1	1
478	вслед за	5	1
479	тот момент	1	1
480	что бы	1	1
481	дома в	2	1
482	бросается в	1	1
483	говорить не	1	1
484	с ними	1	1
485	дело с	1	1
486	принимает форму	1	1
487	и действительно	1	1
488	в интересах	2	1
489	двух точек	1	1
490	нам возможность	1	1
491	бы наука	1	1
492	в эти	1	1
493	же он	1	1
494	до наших	2	1
495	наших целей	1	1
496	с какой	1	1
497	так что	1	1
498	не можем	1	1
499	в большинстве	3	1
500	в нашей	1	1
501	в виде	2	1
502	следует за	2	1
503	здесь же	3	1
504	каким образом	1	1
505	большинстве случаев	3	1
506	при помощи	9	1
507	по отношению	4	1
508	и соответствующего	1	1
509	их как	2	1
510	ни в	1	1
511	могло бы	1	1
512	вопрос кто	1	1
513	вовсе не	4	1
514	от тех	1	1
515	носит характер	1	1
516	ее не	1	1
517	друг друга	3	1
518	у него	1	1
519	должны будем	2	1
520	и никогда	1	1
521	уже только	1	1
522	не противоречит	1	1
523	предметов и	1	1
524	без такого	2	1
525	уже совершенно	1	1
526	это будет	1	1
527	из приведенных	2	1
528	в особенности	1	1
529	герой получает	5	1
530	в другой	1	1
531	со стороны	3	1
532	до сих	1	1
533	с другой	8	1
534	эти две	1	1
535	и самая	1	1
536	я был	1	1
537	а впоследствии	1	1
538	действующих лиц	11	1
539	как же	2	1
540	такое же	1	1
541	последний случай	1	1
542	первых ступеней	1	1
543	на этот	1	1
544	она является	1	1
545	чтобы вернуться	1	1
546	мужа и	1	1
547	этот мотив	1	1
548	о чем	1	1
549	совершенно одинаково	1	1
550	на эту	1	1
551	здесь только	1	1
552	не смог	1	1
553	и отношение	1	1
554	вещи природы	1	1
555	растения и	1	1
556	но оно	2	1
557	и становятся	1	1
558	смысл который	1	1
559	я тебе	1	1
560	на типы	1	1
561	предположить что	1	1
562	можно условно	1	1
563	в течение	1	1
564	тому как	5	1
565	многих других	1	1
566	с изучением	1	1
567	основные элементы	2	1
568	для тех	1	1
569	еще раз	1	1
570	благодаря этому	3	1
571	не будем	4	1
572	мало а	1	1
573	более сложный	2	1
574	как раз	1	1
575	другой и	1	1
576	тому или	1	1
577	она должна	1	1
578	характерен для	1	1
579	ее можно	1	1
580	является ли	1	1
581	это уже	3	1
582	указать на	1	1
583	совершается в	2	1
584	этот материал	1	1
585	на одном	1	1
586	в результате	7	1
587	о котором	1	1
588	что в	8	1
589	это так	2	1
590	собственно говоря	1	1
591	увидим дальше	1	1
592	чтобы его	2	1
593	в поле	4	1
594	с другими	1	1
595	ее в	1	1
596	или не	3	1
597	пока же	4	1
598	возможно ли	1	1
599	может и	1	1
600	но если	7	1
601	другой стороны	4	1
602	состоит из	1	1
603	совершенно не	1	1
604	в глаза	2	1
605	нет но	1	1
606	в последнем	2	1
607	отношению к	4	1
608	соглашаясь с	1	1
609	это и	2	1
610	только о	1	1
611	наряду с	5	1
612	в таком	1	1
