N	2gram	Savitsky_E_1	UchenyiS
147	можно сказать	4	1
148	или менее	1	1
149	стороны в	2	1
150	в порядке	2	1
151	тех кто	1	1
152	как на	3	1
153	о том	3	1
154	в ней	4	1
155	и потому	5	1
156	относятся к	2	1
157	в котором	2	1
158	и что	2	1
159	тех и	1	1
160	она в	3	1
161	быть в	1	1
162	в значительной	2	1
163	чем то	1	1
164	конечно это	1	1
165	признать что	1	1
166	в течение	5	1
167	в той	5	1
168	в данном	3	1
169	что же	2	1
170	бы в	2	1
171	переходит в	1	1
172	того что	7	1
173	и единственно	1	1
174	друг другу	1	1
175	в которых	3	1
176	поскольку он	2	1
177	построения он	1	1
178	друг с	3	1
179	на его	1	1
180	тому чтобы	2	1
181	это значит	2	1
182	за пределы	1	1
183	на то	6	1
184	него не	1	1
185	лучше и	1	1
186	отнюдь не	9	1
187	она не	2	1
188	для тех	1	1
189	независимо от	4	1
190	его на	2	1
191	указаниями на	1	1
192	большей или	1	1
193	в своем	14	1
194	что с	1	1
195	как нам	5	1
196	они относятся	1	1
197	в большей	1	1
198	и все	2	1
199	тот же	1	1
200	на своем	3	1
201	было у	1	1
202	более или	1	1
203	подходят к	1	1
204	есть ли	2	1
205	которое мы	1	1
206	в точном	1	1
207	всего лишь	3	1
208	имеются не	1	1
209	о котором	1	1
210	мыслей о	1	1
211	больше чем	1	1
212	бы ни	3	1
213	не было	1	1
214	находятся в	1	1
215	он в	1	1
216	тогда когда	2	1
217	с одной	8	1
218	с которыми	1	1
219	в качестве	14	1
220	но именно	2	1
221	тем более	4	1
222	вне пределов	1	1
223	в известном	3	1
224	что по	1	1
225	бы только	1	1
226	бы значение	1	1
227	уже не	1	1
228	далеко не	2	1
229	но также	2	1
230	то и	1	1
231	же в	2	1
232	и всей	1	1
233	в процессе	4	1
234	в виде	5	1
235	и искусства	1	1
236	ли для	1	1
237	в нем	1	1
238	с другом	3	1
239	но если	5	1
240	он не	2	1
241	а для	1	1
242	сказать что	4	1
243	одно из	1	1
244	не значит	1	1
245	он называет	1	1
246	ценность в	2	1
247	этот процесс	2	1
248	религии и	1	1
249	в современном	1	1
250	находящихся в	1	1
251	последние годы	3	1
252	в свое	1	1
253	время не	1	1
254	само по	4	1
255	мы можем	3	1
256	так то	1	1
257	ее в	3	1
258	находит себе	1	1
259	как самостоятельной	1	1
260	которой принадлежит	1	1
261	принципа в	1	1
262	и эта	2	1
263	это в	1	1
264	к проблемам	1	1
265	что при	1	1
266	отказаться от	1	1
267	что в	21	1
268	признание что	1	1
269	в таком	3	1
270	все что	1	1
