N	2gram	Berdyaev_N_1	formyVre
197	вступили в	1	2
198	но оно	1	2
199	одной стороны	2	2
200	одна из	2	2
201	равно как	2	2
202	же как	2	2
203	мы должны	1	2
204	не для	1	2
205	в отличие	1	2
206	историческое время	1	2
207	в это	1	2
208	все другие	1	2
209	с другой	3	2
210	того и	1	2
211	в более	1	2
212	и нет	1	2
213	так называемый	1	2
214	не осталось	1	2
215	а также	1	2
216	уже в	1	2
217	природе своей	1	2
218	можно назвать	2	2
219	на себя	1	2
220	есть только	1	2
221	тем что	1	2
222	нового типа	2	2
223	жизни которые	3	2
224	нем нет	2	2
225	что мы	1	2
226	с их	2	2
227	по всем	1	2
228	была уже	1	2
229	но для	2	2
230	в свою	1	2
231	в свои	2	1
232	по своей	1	1
233	вернуться к	2	1
234	не могла	2	1
235	им даже	1	1
236	и власть	1	1
237	природу и	1	1
238	когда мы	2	1
239	приводит к	1	1
240	всех сторон	4	1
241	эпоху когда	2	1
242	и совсем	1	1
243	но наряду	1	1
244	общественной жизни	6	1
245	процессы в	1	1
246	ее роли	1	1
247	всего они	1	1
248	от всех	1	1
249	событиях и	1	1
250	страны в	1	1
251	и оно	1	1
252	как ни	1	1
253	внутреннего единства	1	1
254	мы говорим	2	1
255	рода и	1	1
256	в русском	2	1
257	как другие	1	1
258	ее на	1	1
259	не должно	1	1
260	от мира	1	1
261	жизни без	1	1
262	человеке и	1	1
263	типа не	1	1
264	и целостности	1	1
265	значение для	1	1
266	совершенно так	1	1
267	века и	2	1
268	в каких	1	1
269	стремится к	3	1
270	него как	1	1
271	вопрос об	1	1
272	бы он	1	1
273	то он	1	1
274	и которые	1	1
275	в эти	1	1
276	мир все	1	1
277	в большинстве	1	1
278	самой жизни	2	1
279	черты и	1	1
280	огромную роль	1	1
281	человек не	1	1
282	но власть	1	1
283	а на	1	1
284	значение они	1	1
285	не на	1	1
286	лишь там	1	1
287	судьба и	1	1
288	он действует	1	1
289	нет никакого	1	1
290	магический характер	1	1
291	жизни к	4	1
292	себя на	1	1
293	мира а	2	1
294	средние века	7	1
295	человек а	1	1
296	и только	1	1
297	в новом	2	1
298	свои права	2	1
299	своего рода	1	1
300	это уже	1	1
301	типу в	1	1
302	и явления	1	1
303	не знал	2	1
304	сами эти	1	1
305	культуры в	5	1
306	и формы	2	1
307	xix и	4	1
308	которые могут	1	1
309	сами по	1	1
310	и очень	1	1
311	ее жизни	1	1
312	возвращается к	2	1
313	должны быть	1	1
314	себя а	1	1
315	высшей степени	6	1
316	и имеет	1	1
317	их не	1	1
318	человека не	1	1
319	и нового	1	1
320	что этот	1	1
321	человек как	1	1
322	что единство	1	1
323	он может	1	1
324	смысле и	1	1
325	было так	1	1
326	или иная	1	1
327	еще достаточно	1	1
328	со всех	4	1
329	сферах культуры	1	1
330	из этих	1	1
331	и через	1	1
332	что он	1	1
333	в событиях	1	1
334	как часто	1	1
335	у нас	1	1
336	века но	2	1
337	них не	1	1
338	жизни совершенно	1	1
339	нас и	1	1
340	и объединения	1	1
341	связана с	2	1
342	времени человек	1	1
343	есть по	1	1
344	проявляется уже	1	1
345	и от	2	1
346	к этой	1	1
347	уже давно	1	1
348	на протяжении	2	1
349	зависимости от	1	1
350	она не	3	1
351	как я	1	1
352	само государство	1	1
353	же так	1	1
354	мира но	1	1
355	должно быть	4	1
356	время когда	1	1
357	всяком случае	1	1
358	к содержанию	2	1
359	значительной степени	1	1
360	борьба и	2	1
361	не столько	1	1
362	к более	2	1
363	это было	3	1
364	в эпоху	9	1
365	бытия как	1	1
366	времени а	1	1
367	про себя	1	1
368	лишь на	1	1
369	новое время	4	1
370	может иметь	1	1
371	во время	1	1
372	по своему	4	1
373	люди не	2	1
374	движение времени	1	1
375	приобретает характер	1	1
376	имеет более	1	1
377	в зависимости	1	1
378	те формы	1	1
379	в этой	1	1
380	растет и	3	1
381	говорим о	1	1
382	и мир	1	1
383	не существует	3	1
384	и роста	1	1
385	формы к	1	1
386	философии и	1	1
387	переходит в	1	1
388	распадается на	1	1
389	тоже не	1	1
390	есть еще	1	1
391	в мире	3	1
392	воспринимаются как	1	1
393	жизни его	1	1
394	в высшей	6	1
395	в средние	3	1
396	с собой	1	1
397	менее всего	1	1
398	своей энергии	1	1
399	из всех	1	1
400	ближе к	1	1
401	то они	1	1
402	возможно лишь	1	1
403	государство не	1	1
404	от других	1	1
405	ведь и	2	1
406	на ее	1	1
407	речи о	1	1
408	я не	2	1
409	в человеческом	1	1
410	должен быть	5	1
411	в xix	1	1
412	иного мира	1	1
413	одну из	1	1
414	все они	2	1
415	та или	1	1
416	о том	4	1
417	но нет	1	1
418	и жизненной	1	1
419	эпох и	1	1
420	не был	1	1
421	чтобы быть	1	1
422	но такого	1	1
423	себя в	2	1
424	и есть	10	1
425	вся жизнь	1	1
426	бытия и	1	1
427	все более	1	1
428	своей природе	1	1
429	привела к	1	1
430	не больше	1	1
431	в эту	1	1
432	всегда есть	1	1
433	xiv и	1	1
434	не быть	1	1
435	из них	1	1
436	силы ее	1	1
437	жизни как	2	1
438	все в	1	1
439	человека на	1	1
440	оно должно	1	1
441	и более	1	1
442	нужно отнести	1	1
443	приходят в	1	1
