N	2gram	Trubetskoy_1	NovoeSre
212	отличие от	3	1
213	ее он	1	1
214	его национального	1	1
215	и только	2	1
216	за существование	2	1
217	которые они	1	1
218	для борьбы	1	1
219	культур и	1	1
220	народов и	6	1
221	но тут	1	1
222	в значительной	1	1
223	к которому	1	1
224	в своем	10	1
225	борьбы за	2	1
226	у в	2	1
227	всех классов	1	1
228	что он	7	1
229	только в	6	1
230	во всем	3	1
231	по своей	7	1
232	от этого	1	1
233	в этот	1	1
234	и греческой	1	1
235	в самом	8	1
236	а во-вторых	1	1
237	то время	2	1
238	современной культуры	1	1
239	он в	1	1
240	и жизни	1	1
241	из этих	8	1
242	государство не	1	1
243	же и	1	1
244	для всех	1	1
245	и у	4	1
246	уже в	1	1
247	вопроса о	1	1
248	свидетельствует о	1	1
249	раньше чем	1	1
250	своем развитии	3	1
251	народы в	1	1
252	мыслей их	1	1
253	этого господина	1	1
254	из них	5	1
255	бы к	1	1
256	к своим	1	1
257	одному из	1	1
258	для того	8	1
259	и их	5	1
260	этого нельзя	1	1
261	всяком случае	2	1
262	к одному	1	1
263	народ не	3	1
264	в конце	4	1
265	но те	1	1
266	который можно	1	1
267	будет знать	1	1
268	общество и	1	1
269	друг друга	2	1
270	не случайно	1	1
271	которые могут	2	1
272	всех своих	1	1
273	людей и	1	1
274	тем что	1	1
275	заключает в	2	1
276	историческую эпоху	3	1
277	к той	2	1
278	от того	3	1
279	культуры есть	1	1
280	но все	5	1
281	это конечно	2	1
282	от нее	2	1
283	культуры но	1	1
284	должно перестать	1	1
285	мир который	1	1
286	том случае	4	1
287	все от	1	1
288	не были	1	1
289	возможно что	1	1
290	социальная жизнь	1	1
291	ней и	1	1
292	в истинном	1	1
293	из всех	5	1
294	та быстрота	1	1
295	пришли к	1	1
296	и из	2	1
297	знает что	1	1
298	общества в	1	1
299	лишь те	1	1
300	с другими	1	1
301	всех народов	1	1
302	цивилизации и	2	1
303	который и	1	1
304	в человечестве	1	1
305	было бы	3	1
306	он есть	1	1
307	а это	2	1
308	лишь на	1	1
309	себя и	2	1
310	борьба за	2	1
311	социальной жизни	4	1
312	нет в	2	1
313	а на	1	1
314	они не	2	1
315	техники но	2	1
316	в этой	6	1
317	ничем не	4	1
318	этого не	1	1
319	убеждены в	1	1
320	не быть	1	1
321	во взаимной	1	1
322	долгое время	1	1
323	этом я	1	1
324	ее на	1	1
325	когда она	1	1
326	его хотят	1	1
327	что мы	4	1
328	умственной жизни	1	1
329	и того	3	1
330	ближе к	3	1
331	он и	1	1
332	одного и	3	1
333	и еще	1	1
334	себя на	1	1
335	которые будут	2	1
336	в эту	2	1
337	в этих	3	1
338	но если	2	1
339	и сейчас	4	1
340	и особенно	2	1
341	всех странах	1	1
342	от нашей	1	1
343	в такой	4	1
344	и всеми	1	1
345	во времена	1	1
346	в котором	2	1
347	одну из	1	1
348	антропологии и	2	1
349	у нас	3	1
350	жизни с	1	1
351	оно существует	1	1
352	в зависимости	1	1
353	как другие	1	1
354	в силу	7	1
355	эту мысль	1	1
356	вырабатывает свою	1	1
357	эти черты	2	1
358	мы должны	4	1
359	и более	2	1
360	их в	2	1
361	что этот	1	1
362	в состоянии	4	1
363	жизни во	1	1
364	быть не	1	1
365	есть всегда	1	1
366	совершенно так	4	1
367	борьбе за	1	1
368	будто бы	1	1
369	долго жили	1	1
370	культуры мы	1	1
371	и культур	4	1
372	и истории	5	1
373	от своих	1	1
374	сих пор	8	1
375	так как	7	1
376	к такой	1	1
377	человеком хотя	1	1
378	оба они	1	1
379	жизни некоторых	1	1
380	не осталось	1	1
381	не свободен	1	1
382	всех национальностей	1	1
383	в гипнозе	1	1
384	должны быть	3	1
385	мире а	1	1
386	в сущности	2	1
387	чем культура	1	1
388	в более	1	1
389	преобладать над	1	1
390	не по	1	1
391	до сих	8	1
392	тем началам	1	1
393	а к	2	1
394	вся культура	1	1
395	всего что	1	1
396	или иная	1	1
397	они являются	1	1
398	бы он	1	1
399	или нет	1	1
400	мыслей и	1	1
401	народа должно	1	1
402	к ней	1	1
403	более всего	2	1
404	и его	1	1
405	или не	1	1
406	основе их	1	1
407	все более	1	1
408	давно уже	2	1
409	вступает в	1	1
410	гораздо больше	3	1
411	возможно лишь	2	1
412	культура была	1	1
413	в области	4	1
414	нет ничего	1	1
415	та или	1	1
416	в свою	2	1
417	и оно	1	1
418	но знаем	1	1
419	от всех	1	1
420	элементарным процессам	1	1
421	того же	9	1
422	вступить в	1	1
423	выход из	1	1
424	есть только	1	1
425	есть признак	1	1
426	и всех	1	1
427	в которой	5	1
428	числе и	1	1
429	эти слова	1	1
430	на путь	1	1
431	т.е к	1	1
432	быть признана	2	1
433	тогда не	1	1
434	во всяком	2	1
435	то они	3	1
436	случае если	5	1
437	как на	4	1
438	все что	9	1
439	том числе	1	1
