N	2gram	Losev_Vesc_1	Russkaja
292	с таким	1	1
293	в зависимости	1	1
294	также и	6	1
295	есть не	14	1
296	мы не	6	1
297	же как	1	1
298	и ничего	1	1
299	как понятие	3	1
300	ни у	1	1
301	к новой	1	1
302	имеет свою	1	1
303	на эти	1	1
304	в сущности	4	1
305	оно есть	9	1
306	в полной	1	1
307	это отношение	1	1
308	как орудие	1	1
309	себе что	3	1
310	с большим	1	1
311	без всякого	4	1
312	они считают	1	1
313	подходить к	1	1
314	заключается не	1	1
315	исключительно только	1	1
316	и вопрос	1	1
317	ее к	2	1
318	к этому	1	1
319	а только	3	1
320	точка зрения	1	1
321	только тогда	3	1
322	данного человека	2	1
323	в общем	1	1
324	очевидно что	1	1
325	действительно существенным	1	1
326	было а	1	1
327	судить об	1	1
328	из таких	1	1
329	есть личность	1	1
330	в истории	1	1
331	уже производится	1	1
332	чтобы мы	1	1
333	данный момент	1	1
334	в постоянном	1	1
335	то чем	1	1
336	внутри себя	3	1
337	что ее	2	1
338	перед нами	2	1
339	кто не	3	1
340	когда он	1	1
341	силе и	1	1
342	от этого	2	1
343	не быть	3	1
344	эти признаки	1	1
345	всего нечто	1	1
346	в смысл	1	1
347	которых идет	1	1
348	в которой	1	1
349	интересовать только	1	1
350	сущности и	1	1
351	выражение в	3	1
352	но ведь	2	1
353	то и	4	1
354	она отвечает	1	1
355	только один	2	1
356	тому же	1	1
357	если он	1	1
358	но на	2	1
359	в общении	1	1
360	вообще не	2	1
361	как оно	3	1
362	не могла	1	1
363	этого мало	1	1
364	что когда	1	1
365	силу и	1	1
366	совершенно самостоятельные	2	1
367	выражается в	1	1
368	тем не	3	1
369	о которой	2	1
370	же это	4	1
371	в принципе	1	1
372	к одному	3	1
373	прочим и	2	1
374	пор мы	1	1
375	– на	1	1
376	никому не	1	1
377	такого же	1	1
378	это конечно	1	1
379	здесь мы	1	1
380	этим самым	1	1
381	могла бы	3	1
382	эпохи не	1	1
383	от некоторых	1	1
384	ли при	1	1
385	об этом	3	1
386	момент и	1	1
387	себя не	2	1
388	в данной	1	1
389	заключается в	1	1
390	те или	4	1
391	может явиться	1	1
392	с другими	8	1
393	это не	5	1
394	которая как	1	1
395	и мы	1	1
396	остановиться на	1	1
397	в жизни	3	1
398	может стремиться	1	1
399	с богом	1	1
400	она и	1	1
401	все равно	2	1
402	и сил	1	1
403	как видно	1	1
404	со своими	1	1
405	определенное понятие	1	1
406	нет и	1	1
407	в один	1	1
408	и того	2	1
409	одного и	1	1
410	реального существования	2	1
411	что значит	8	1
412	выше что	1	1
413	бы на	1	1
414	и логики	1	1
415	и культуры	1	1
416	нас не	1	1
417	и без	3	1
418	бы к	1	1
419	не столько	1	1
420	представление о	1	1
421	может сделать	2	1
422	для всякого	2	1
423	мы теперь	1	1
424	результате этого	1	1
425	как другие	1	1
426	стало быть	1	1
427	нельзя было	4	1
428	надо чтобы	1	1
429	по крайней	4	1
430	и эти	2	1
431	бы о	1	1
432	ни было	4	1
433	который мы	1	1
434	необходимо чтобы	3	1
435	смысл ее	4	1
436	вовсе не	10	1
437	же мы	1	1
438	и вся	1	1
439	если и	1	1
440	самостоятельные и	1	1
441	нею и	4	1
442	уйти в	1	1
443	с необычайной	1	1
444	эта культура	1	1
445	не менее	3	1
446	или что	3	1
447	что эта	1	1
448	она могла	2	1
449	и другое	4	1
450	есть подлинная	2	1
451	и всегда	1	1
452	дело в	4	1
453	или другие	4	1
454	ее с	5	1
455	к новым	1	1
456	у кого	1	1
457	в основе	3	1
458	при наличности	1	1
459	говорить что	3	1
460	чтобы стать	1	1
461	но только	3	1
462	он с	1	1
463	только не	2	1
464	однако если	1	1
465	того и	2	1
466	в разных	4	1
467	и весь	1	1
468	к ней	2	1
469	внутренней и	1	1
470	мы подходим	2	1
471	и сама	3	1
472	существуют в	1	1
473	было не	1	1
474	этом отношении	1	1
475	две совершенно	1	1
476	данной личности	2	1
477	что на	2	1
478	или иных	1	1
479	однако это	2	1
480	только от	1	1
481	можно формулировать	1	1
482	исходить из	1	1
483	стороны и	2	1
484	из предыдущего	2	1
485	в духе	1	1
486	есть только	7	1
487	могут быть	1	1
488	человека в	1	1
489	как только	4	1
490	те кто	1	1
491	же самое	1	1
492	должны быть	4	1
493	и мирян	1	1
494	а ее	2	1
495	в применении	1	1
496	и это	14	1
497	мы ведь	1	1
498	оно может	2	1
499	из всего	1	1
500	как мы	4	1
501	с ее	6	1
502	как не	1	1
503	свою очередь	4	1
504	на нем	1	1
505	и говорить	1	1
506	всего этого	1	1
507	сравнению со	1	1
508	в ее	7	1
509	только при	1	1
510	совершенно ясно	2	1
511	в собственном	2	1
512	важно только	1	1
513	и логически	1	1
514	только то	2	1
515	в себя	13	1
516	остаться верными	1	1
517	степени и	2	1
518	и когда	4	1
519	что у	5	1
520	понимание и	3	1
521	так и	3	1
522	возможностями и	1	1
523	мог бы	5	1
524	таковы что	1	1
525	в какое-то	1	1
526	основанную на	1	1
527	остается только	1	1
528	по сравнению	7	1
529	мы в	1	1
530	быть может	1	1
531	нас и	1	1
532	вот это	1	1
533	может в	2	1
534	иное как	7	1
535	язык и	1	1
536	и внутреннее	1	1
537	никак не	3	1
538	одного из	1	1
539	можно сказать	6	1
540	в различных	1	1
541	с другой	6	1
542	не привело	1	1
543	которые для	1	1
544	крайней мере	4	1
545	от этих	1	1
546	у всех	3	1
547	мы хотим	1	1
548	самостоятельно и	1	1
549	мышление и	1	1
550	наконец и	1	1
551	по своей	2	1
552	от какого	1	1
553	один из	3	1
554	оно и	4	1
555	а если	1	1
556	с ними	3	1
557	только указать	1	1
558	они –	2	1
559	никак нельзя	1	1
560	тот или	1	1
561	с ярко	1	1
562	же и	1	1
563	и у	3	1
564	если мы	8	1
565	вопроса о	1	1
566	или не	2	1
567	же но	1	1
568	прямо в	1	1
569	а очень	1	1
570	а это	4	1
571	нельзя ибо	1	1
572	конечно нет	2	1
573	к своим	1	1
574	мы знаем	1	1
575	ибо тот	1	1
576	к мысли	1	1
577	и их	7	1
578	человеку или	1	1
579	если все	1	1
580	могло бы	1	1
581	подходим к	2	1
582	относится не	2	1
583	ее не	2	1
584	это именно	3	1
585	это значило	3	1
586	бытия и	2	1
587	случае не	1	1
588	принципиально не	1	1
589	и будет	1	1
590	превращается в	1	1
591	это свое	1	1
592	ведь уже	1	1
593	но из	1	1
594	бы это	1	1
595	это будет	3	1
596	может ли	2	1
597	на ее	3	1
598	имея свое	1	1
599	оно будет	2	1
600	к которому	1	1
601	и прежде	1	1
602	как же	3	1
603	еще и	8	1
604	души и	1	1
605	что не	5	1
606	это –	25	1
607	стремление и	1	1
608	на этот	1	1
609	а наоборот	1	1
610	ничем не	3	1
611	не на	1	1
612	однако и	1	1
613	человеческой жизни	1	1
614	с которым	1	1
615	в свете	7	1
616	всей той	1	1
617	и стать	1	1
618	для человека	1	1
619	именно так	1	1
620	при той	1	1
621	ближе к	1	1
622	можно вполне	1	1
623	в одно	1	1
624	общении со	1	1
625	если этот	1	1
626	а вы	2	1
627	с идеями	1	1
628	в самой	2	1
629	как это	2	1
630	себя из	2	1
631	чем то	2	1
632	значит найти	1	1
633	применении к	2	1
634	когда же	1	1
635	содержат в	1	1
636	только чтобы	1	1
637	узко и	1	1
638	быть не	4	1
639	или хотя	1	1
640	и большинство	1	1
641	с этой	4	1
642	– мы	2	1
643	же принципиально	1	1
644	то обычно	1	1
645	будет просто	1	1
646	между прочим	3	1
647	языках и	1	1
648	с большой	1	1
649	тех или	5	1
650	если такой	1	1
651	не является	1	1
652	не знаем	2	1
653	решить вопрос	1	1
654	к данной	2	1
655	привело бы	1	1
656	которая в	1	1
657	своей собственной	1	1
658	тот кто	1	1
659	в те	1	1
660	только кажется	1	1
661	но когда	1	1
662	и внешней	1	1
663	бы в	5	1
664	и все	5	1
665	хотя в	1	1
666	личности и	1	1
667	от каких	1	1
668	от всякого	4	1
669	к ее	2	1
670	к самому	1	1
671	от ее	6	1
672	может и	1	1
673	в свою	4	1
674	с ней	2	1
675	была бы	2	1
676	но можно	1	1
677	и поскольку	1	1
678	к его	1	1
679	говорили выше	1	1
680	для большинства	1	1
681	есть то	9	1
682	ни на	3	1
683	и оформлены	1	1
684	и культура	1	1
685	можно назвать	1	1
