N	2gram	Trubetskoy_1	KFilosof
206	его с	1	2
207	той или	2	2
208	чтобы стать	1	2
209	ничего общего	2	2
210	во главе	1	2
211	всей своей	1	2
212	чему не	1	2
213	постольку поскольку	1	2
214	с этого	1	2
215	может не	1	2
216	бы то	2	2
217	в ту	1	2
218	тот же	2	2
219	дело с	1	2
220	что он	4	2
221	а с	7	2
222	всех его	1	2
223	мира как	1	2
224	со всеми	2	2
225	в качестве	3	2
226	и других	1	2
227	лишь постольку	1	2
228	культура в	3	2
229	течение жизни	1	2
230	или иной	2	2
231	ли это	2	2
232	для этого	2	2
233	прежде всего	2	2
234	в соответствии	1	2
235	смысла и	1	2
236	если не	2	2
237	и потому	6	2
238	это есть	1	2
239	и смерти	1	2
240	этого слова	1	2
241	но для	1	2
242	это уже	1	2
243	или иным	1	2
244	ни к	1	2
245	потому что	7	2
246	его к	1	2
247	бытие но	1	2
248	к этому	3	2
249	мира его	2	1
250	смысле слова	1	1
251	человека и	1	1
252	и через	1	1
253	целого и	1	1
254	по методу	1	1
255	ей придется	1	1
256	тем же	1	1
257	конечно невозможно	1	1
258	всем что	1	1
259	и до	1	1
260	что эти	3	1
261	отношения к	1	1
262	культуры который	1	1
263	мы уже	1	1
264	той же	1	1
265	его не	2	1
266	их и	1	1
267	из всех	3	1
268	есть единственное	1	1
269	что уже	1	1
270	именно к	1	1
271	он как	1	1
272	религии в	3	1
273	совпадает с	1	1
274	и ее	1	1
275	так называемые	3	1
276	целом есть	1	1
277	не был	1	1
278	в нашем	1	1
279	различия между	2	1
280	землю и	1	1
281	и этими	1	1
282	и всякий	1	1
283	в план	1	1
284	а через	1	1
285	рождение и	1	1
286	с этим	1	1
287	от до	1	1
288	выйти из	1	1
289	же поступок	1	1
290	помнить что	1	1
291	и наконец	2	1
292	материальные и	1	1
293	и к	5	1
294	в этот	1	1
295	в первом	1	1
296	за собой	3	1
297	в самом	4	1
298	в которой	3	1
299	ни один	2	1
300	лишь общие	1	1
301	близости к	1	1
302	как основной	1	1
303	на то	2	1
304	если он	1	1
305	на его	1	1
306	что она	1	1
307	не следует	1	1
308	задний план	1	1
309	главным образом	8	1
310	а просто	1	1
311	перестает быть	2	1
312	не к	2	1
313	действенное отношение	1	1
314	его бытие	1	1
315	остается лишь	1	1
316	их в	1	1
317	его от	2	1
318	и по	4	1
319	на этом	1	1
320	этом последнем	1	1
321	том же	1	1
322	было конечно	2	1
323	что мир	1	1
324	связанных с	2	1
325	и с	10	1
326	то есть	4	1
327	с целью	2	1
328	это было	1	1
329	на почве	1	1
330	не совпадает	1	1
331	должен был	4	1
332	между отдельными	1	1
333	смерть и	1	1
334	его все	1	1
335	несмотря на	6	1
336	чем в	1	1
337	такой же	1	1
338	быть совершено	1	1
339	в этих	4	1
340	жизни мира	1	1
341	от своего	1	1
342	он должен	1	1
343	всяком случае	6	1
344	своей культуре	1	1
345	то для	1	1
346	и вокруг	1	1
347	все и	1	1
348	признать что	2	1
349	любовь ко	1	1
350	новое и	1	1
351	начало а	1	1
352	сознании в	1	1
353	вообще невозможно	1	1
354	в отношении	6	1
355	в заблуждение	1	1
356	для каждого	2	1
357	как о	3	1
358	так чтобы	2	1
359	ничто в	1	1
360	не могло	2	1
361	а тот	1	1
362	только не	2	1
363	следовательно и	1	1
364	вследствие того	1	1
365	этих последних	1	1
366	по своей	2	1
367	за исключением	1	1
368	это слово	1	1
369	мире и	1	1
370	к этим	1	1
371	не является	1	1
372	только от	1	1
373	которых он	1	1
374	и должно	1	1
375	и другой	2	1
376	отличается от	2	1
377	и относит	1	1
378	к тому	6	1
379	т.е к	1	1
380	всего что	1	1
381	за свою	1	1
382	всегда в	1	1
383	и о	3	1
384	с ее	1	1
385	что все	4	1
386	как не	1	1
387	свою очередь	1	1
388	но при	2	1
389	всего этого	1	1
390	на задний	1	1
391	и от	4	1
392	мысль о	2	1
393	уже с	3	1
394	своей теоретической	1	1
395	приводит к	2	1
396	можно говорить	1	1
397	культуры на	2	1
398	как с	1	1
399	вышла из	1	1
400	с собой	1	1
401	не с	2	1
402	особенно в	2	1
403	живет в	1	1
404	частей и	1	1
405	пассивности и	1	1
406	подойти к	3	1
407	можно только	2	1
408	основана на	1	1
409	собой и	1	1
410	в настоящее	1	1
411	и даже	3	1
412	образом в	5	1
413	и смерть	1	1
414	на все	2	1
415	другими словами	1	1
416	настоящее время	1	1
417	не стоит	1	1
418	можно сказать	3	1
419	любви к	1	1
420	в значительной	3	1
421	потому только	1	1
422	ни на	1	1
423	и во	1	1
424	все в	1	1
425	связь между	1	1
426	тем или	1	1
427	и требует	1	1
428	от них	2	1
429	не отличаются	1	1
430	во втором	1	1
431	всякое бытие	3	1
432	сказать и	1	1
433	есть что	1	1
434	с нашей	1	1
435	и другую	1	1
436	оставаясь в	1	1
437	один из	2	1
438	но с	3	1
439	мы видим	1	1
440	одной из	5	1
441	человека все	1	1
442	и так	1	1
443	их не	1	1
444	не можем	1	1
445	только на	1	1
446	есть проблема	1	1
447	него выйти	1	1
448	этот выход	1	1
449	только тогда	1	1
450	как этот	1	1
451	в душе	1	1
452	растворяется в	1	1
453	бытия или	1	1
454	эта ценность	2	1
455	ибо он	1	1
456	мир не	1	1
457	одно из	2	1
458	себе в	1	1
459	никто не	1	1
460	знать о	1	1
461	не для	1	1
462	смысле этого	1	1
463	так как	9	1
464	друг друга	1	1
465	мы можем	2	1
466	ввиду того	1	1
467	и никогда	1	1
468	как раз	1	1
469	этического смысла	1	1
470	смерти и	1	1
471	этой задачи	2	1
472	которые как	1	1
473	теоретически и	1	1
474	она и	1	1
475	и из	2	1
476	отличаются от	2	1
477	этого человека	1	1
478	а именно	1	1
479	содержанием в	1	1
480	по всей	1	1
481	притом не	1	1
482	превращается в	2	1
483	это бытие	1	1
484	и своего	1	1
485	уже давно	2	1
486	и музыка	1	1
487	она является	1	1
488	ничем не	4	1
489	зависит от	1	1
490	человеческой жизни	1	1
491	он становится	1	1
492	нашей точки	1	1
493	что мы	2	1
494	людьми и	1	1
495	действия в	1	1
496	связь с	2	1
497	нет ничего	1	1
498	него в	1	1
499	эти слова	1	1
500	вместе с	15	1
501	к его	2	1
502	картина мира	1	1
503	что именно	2	1
504	этого момента	1	1
505	из которых	4	1
506	еще на	2	1
507	на которого	1	1
508	когда мы	1	1
509	даже там	1	1
510	и менее	1	1
511	есть тот	1	1
512	лежит в	1	1
513	как из	1	1
514	только для	2	1
515	о его	1	1
516	влечет за	2	1
517	и таким	3	1
518	к двум	1	1
519	же самое	2	1
520	должны быть	1	1
521	нечто подобное	1	1
522	языка это	1	1
523	сознании и	2	1
524	одного и	1	1
525	живет и	1	1
526	но такой	1	1
527	при таком	2	1
528	не существует	1	1
529	когда он	3	1
530	совершенно иной	2	1
531	бы человек	1	1
532	в эту	2	1
533	не более	1	1
534	это позволяет	1	1
535	мы должны	6	1
536	только что	2	1
537	такую принципиальную	1	1
538	воплощается в	1	1
539	мы ничего	1	1
540	все они	1	1
541	же в	1	1
542	могли быть	1	1
543	от исторического	1	1
544	лишь по	1	1
545	с ней	3	1
546	того же	6	1
547	жизни а	1	1
548	занимают в	1	1
549	книги но	1	1
550	одновременно и	2	1
551	характерной чертой	1	1
552	первом случае	1	1
553	культуры в	1	1
554	людей но	1	1
555	утверждать что	2	1
556	нет выхода	1	1
557	тот единственный	1	1
558	т.е как	1	1
559	во всяком	6	1
560	все что	2	1
561	они не	1	1
