N	2gram	Berdyaev_N_1	TeoriaLi
210	ее судьбы	1	1
211	рода и	1	1
212	духовной жизни	2	1
213	перед собой	1	1
214	но я	2	1
215	менее чем	1	1
216	но если	1	1
217	в такой	1	1
218	мы конечно	1	1
219	внешнюю жизнь	1	1
220	в котором	1	1
221	и процесс	1	1
222	но во	1	1
223	и более	1	1
224	в прошлом	3	1
225	том и	2	1
226	не должно	1	1
227	личность в	2	1
228	и вся	1	1
229	она могла	1	1
230	не имеет	4	1
231	одна из	2	1
232	бытия и	1	1
233	свободы и	2	1
234	того и	1	1
235	жизни не	3	1
236	жизнью в	2	1
237	как я	1	1
238	не по	1	1
239	в каком	1	1
240	ему не	1	1
241	у нас	1	1
242	не могут	1	1
243	и заключается	2	1
244	когда мы	2	1
245	во внешних	1	1
246	числе и	1	1
247	значительной степени	1	1
248	всего что	1	1
249	оно не	1	1
250	на это	1	1
251	она не	3	1
252	должен быть	5	1
253	того чтобы	2	1
254	та или	1	1
255	людей в	1	1
256	чтобы быть	1	1
257	то время	1	1
258	или иная	1	1
259	значение в	1	1
260	с собой	1	1
261	переход к	2	1
262	можно было	2	1
263	на нее	1	1
264	и религии	1	1
265	для этого	2	1
266	с ним	1	1
267	мира а	2	1
268	в сущности	1	1
269	в значительной	1	1
270	это была	1	1
271	вопросу о	1	1
272	мир все	1	1
273	в которую	1	1
274	я думаю	1	1
275	нуждается в	1	1
276	и только	1	1
277	должно будет	1	1
278	также еще	1	1
279	всех сторон	4	1
280	в формах	1	1
281	заинтересована в	1	1
282	их не	1	1
283	который в	2	1
284	и жизни	1	1
285	же и	1	1
286	для всех	1	1
287	есть в	2	1
288	из них	1	1
289	и их	1	1
290	и мир	1	1
291	свободу от	1	1
292	и жизненной	1	1
293	так как	1	1
294	к ним	3	1
295	человек как	1	1
296	ее на	1	1
297	для того	1	1
298	на ее	1	1
299	связаны с	2	1
300	войны и	2	1
301	отказаться от	1	1
302	во внешней	1	1
303	к более	2	1
304	и пр	3	1
305	превращается в	1	1
306	не было	4	1
307	природе и	2	1
308	стремится к	3	1
309	зависит от	2	1
310	и означает	1	1
311	от мира	1	1
312	жизнь в	1	1
313	долгое время	1	1
314	такой обособленности	1	1
315	ближе к	1	1
316	и ему	1	1
317	и пути	1	1
318	как ни	1	1
319	которые будут	1	1
320	может иметь	1	1
321	имея в	1	1
322	до этого	1	1
323	ночь и	1	1
324	истории не	3	1
325	было и	1	1
326	тому как	3	1
327	в мир	1	1
328	мира с	1	1
329	в это	1	1
330	и формы	2	1
331	известном смысле	1	1
332	все это	5	1
333	и зло	1	1
334	к вопросу	1	1
335	на всех	1	1
336	это уже	1	1
337	к реальному	3	1
338	особенно для	1	1
339	времени его	1	1
340	и от	2	1
341	все они	2	1
342	которая в	1	1
343	с другими	1	1
344	за его	1	1
345	не есть	3	1
346	вступает в	1	1
347	себя человек	1	1
348	не быть	1	1
349	от всех	1	1
350	вступить в	1	1
351	что такое	3	1
352	жизни и	8	1
353	случае если	1	1
354	можно назвать	2	1
355	все что	1	1
