N	2gram	Nazirov_Tr_1	Analitik
338	и должно	1	1
339	случае как	1	1
340	в самой	1	1
341	встреча не	1	1
342	от маленькой	1	1
343	под маской	1	1
344	мы понимаем	1	1
345	роман и	1	1
346	связь между	1	1
347	или как	1	1
348	отметить что	1	1
349	ее содержание	1	1
350	того что	1	1
351	ненавистью к	1	1
352	и дело	1	1
353	с ними	1	1
354	не моральный	1	1
355	с простодушным	1	1
356	пальцем на	1	1
357	человека с	1	1
358	так что	2	1
359	человеческой личности	2	1
360	есть в	1	1
361	из первых	1	1
362	характерно что	1	1
363	местом в	1	1
364	одно из	1	1
365	и их	1	1
366	могло бы	1	1
367	в целый	1	1
368	слова в	1	1
369	с этими	1	1
370	к ним	1	1
371	ту сторону	1	1
372	нет в	2	1
373	он же	1	1
374	что на	1	1
375	и ненавистью	2	1
376	как у	2	1
377	не сводится	1	1
378	к роману	1	1
379	чем он	2	1
380	и др	1	1
381	только по	1	1
382	полагал что	1	1
383	которая вся	1	1
384	за год	1	1
385	на этот	1	1
386	с помощью	1	1
387	по нашему	1	1
388	мог быть	1	1
389	сравним с	1	1
390	ни за	1	1
391	иван петрович	3	1
392	на новую	1	1
393	время с	1	1
394	до этого	1	1
395	но особенно	2	1
396	из трех	1	1
397	к себе	1	1
398	незадолго до	1	1
399	ведет к	1	1
400	применении к	1	1
401	в литературе	1	1
402	это его	1	1
403	нам еще	1	1
404	и беспокойство	1	1
405	с этой	1	1
406	но это	4	1
407	от литературных	1	1
408	так ли	1	1
409	не любил	1	1
410	в книге	1	1
411	цветов и	1	1
412	это уже	2	1
413	в связи	1	1
414	именно такого	1	1
415	своею и	1	1
416	от него	1	1
417	но еще	1	1
418	бы в	1	1
419	от всего	2	1
420	хотя бы	1	1
421	б это	1	1
422	но если	1	1
423	пришел в	1	1
424	в стихах	1	1
425	над собою	1	1
426	к ее	1	1
427	жизни в	1	1
428	евангелии от	1	1
429	в ходе	2	1
430	в голову	1	1
431	к этой	1	1
432	силе и	1	1
433	к счастью	1	1
