N	2gram	Savitsky_P_1	slovoVRo
264	в применении	1	1
265	и это	2	1
266	в окружающем	1	1
267	как по	1	1
268	и этим	1	1
269	определенный и	1	1
270	культуры и	1	1
271	чем шире	1	1
272	и глубины	1	1
273	как таковую	1	1
274	еще в	1	1
275	одно из	1	1
276	к пределу	1	1
277	чтобы понять	1	1
278	никак не	2	1
279	и что	1	1
280	науке и	1	1
281	смысле не	1	1
282	увидеть и	1	1
283	во всей	2	1
284	ее представители	1	1
285	того что	2	1
286	разрыва между	1	1
287	в формах	1	1
288	два основных	1	1
289	в какой	1	1
290	друг друга	1	1
291	и ее	1	1
292	их не	1	1
293	вопрос об	1	1
294	в качестве	9	1
295	говорить об	1	1
296	только на	1	1
297	это значение	1	1
298	но есть	1	1
299	мир в	1	1
300	гоголя и	1	1
301	представить себе	1	1
302	сами по	3	1
303	мы можем	1	1
304	как раз	2	1
305	в других	1	1
306	и политического	4	1
307	не были	1	1
308	к духу	1	1
309	не исключает	1	1
310	что не	1	1
311	должно быть	2	1
312	к сожалению	1	1
313	другой стороны	1	1
314	как ни	1	1
315	отнюдь не	2	1
316	в частности	2	1
317	в рамках	1	1
318	в иных	1	1
319	да и	2	1
320	образом на	2	1
321	его другим	1	1
322	ней не	2	1
323	мира с	2	1
324	на пути	4	1
325	быть именно	1	1
326	в условиях	1	1
327	которые были	1	1
328	слова но	2	1
329	тем и	1	1
330	но на	1	1
331	и среди	1	1
332	ли они	1	1
333	или иным	1	1
334	что делать	1	1
335	к внешнему	1	1
336	же в	4	1
337	нисколько не	1	1
338	только как	1	1
339	относящиеся к	1	1
340	также в	1	1
341	в отдельности	1	1
342	живого и	1	1
343	частности в	1	1
344	том числе	2	1
345	гораздо более	1	1
