N	2gram	Bakhtin_fo_2	Otkroven
363	в разных	1	1
364	и весь	2	1
365	ее и	2	1
366	христа и	1	1
367	особого рода	1	1
368	в форму	1	1
369	и лишь	1	1
370	бы в	1	1
371	еще более	4	1
372	быть что	1	1
373	нужно видеть	1	1
374	и ценности	1	1
375	по своей	1	1
376	во всем	1	1
377	и дело	1	1
378	природа человека	1	1
379	дома но	1	1
380	человеческого общества	1	1
381	его вечной	1	1
382	с другом	4	1
383	всего мира	1	1
384	мира он	1	1
385	есть у	1	1
386	у нас	2	1
387	всему этому	1	1
388	не быть	2	1
389	состоит из	1	1
390	среди них	1	1
391	от всех	1	1
392	совершенно не	1	1
393	жизни природа	1	1
394	природе и	1	1
395	жизни а	2	1
396	частное и	1	1
397	ко всему	1	1
398	и всех	2	1
399	та же	3	1
400	особенно в	2	1
401	человека человек	1	1
402	сила и	2	1
403	его с	1	1
404	жизни и	8	1
405	бы он	1	1
406	во всяком	2	1
407	кем и	1	1
408	необходимо подчеркнуть	1	1
