N	2gram	Nazirov_Tv_2	Sovremen
236	сами по	1	1
237	у читателя	2	1
238	вовсе не	2	1
239	для них	1	1
240	как его	1	1
241	не случайно	2	1
242	не из	1	1
243	и только	2	1
244	а затем	3	1
245	в другом	1	1
246	до сих	3	1
247	требует новых	1	1
248	с другой	2	1
249	как у	3	1
250	образом если	1	1
251	и эту	1	1
252	именно в	6	1
253	и прежде	1	1
254	должен был	1	1
255	такое же	1	1
256	его с	1	1
257	на ней	2	1
258	в ином	1	1
259	ни в	1	1
260	но уже	3	1
261	нет в	1	1
262	нужно сказать	1	1
263	не было	2	1
264	рядом с	2	1
265	позиции в	1	1
266	всегда и	1	1
267	несмотря на	1	1
268	жизни но	1	1
269	должно быть	1	1
270	их на	1	1
271	всецело и	1	1
272	в связи	1	1
273	том что	4	1
274	в эту	1	1
275	совсем иного	1	1
276	нет никаких	1	1
277	но если	2	1
278	том как	1	1
279	таким же	1	1
280	так же	5	1
281	и особенно	1	1
282	в такой	2	1
283	мы говорим	1	1
284	в первый	1	1
285	представление о	7	1
286	xix века	7	1
287	в область	3	1
288	в течение	1	1
289	является только	1	1
290	но эта	2	1
291	такую же	1	1
292	по крайней	2	1
293	и более	1	1
294	важную роль	1	1
295	влечет за	2	1
296	человек с	1	1
297	жизни в	3	1
298	зрения и	1	1
299	по себе	1	1
300	и нет	1	1
301	сих пор	3	1
302	с ним	3	1
303	xviii века	2	1
304	она не	1	1
305	что с	1	1
306	и тогда	2	1
307	в обоих	1	1
308	не имеет	1	1
309	дело в	1	1
310	в процессе	2	1
311	это уже	2	1
312	не является	3	1
313	но только	1	1
314	и от	4	1
315	он с	1	1
316	никогда не	11	1
317	это совершенно	1	1
318	это как	1	1
319	человек и	1	1
320	но отнюдь	1	1
321	хотя и	4	1
322	жизни не	1	1
323	действия в	1	1
324	себя самого	1	1
325	или нет	1	1
326	держится на	1	1
327	жизни как	1	1
328	и его	9	1
329	связи с	1	1
330	но это	5	1
331	она продолжается	1	1
332	ли это	1	1
333	а о	1	1
334	и несколько	1	1
335	между ними	1	1
336	это делает	1	1
337	не знает	1	1
338	сказать что	1	1
339	не быть	1	1
340	ни о	1	1
341	не сказано	1	1
342	и для	1	1
343	но можно	1	1
344	если у	2	1
345	он называет	1	1
346	не давая	1	1
347	в духе	4	1
348	человека в	3	1
349	в то	10	1
350	в окончательном	2	1
351	той или	1	1
352	в своих	3	1
353	и свою	1	1
354	на это	1	1
355	из многих	1	1
356	ничего общего	1	1
