N	2gram	Propp_Russ_2	TeoriaLi
124	к нему	4	2
125	в большинстве	1	2
126	право на	2	2
127	следует признать	1	2
128	в конце	1	2
129	начальные и	1	2
130	дело не	2	2
131	во всех	3	2
132	а на	9	2
133	об этом	2	2
134	в году	3	2
135	жизни в	2	2
136	между собой	2	2
137	вокруг него	2	2
138	а именно	3	2
139	вместе с	6	2
140	к жизни	5	2
141	здесь мы	2	2
142	и притом	1	2
143	это не	5	2
144	не с	2	2
145	и о	3	2
146	из которых	2	2
147	к такой	1	2
148	это и	2	2
149	не на	1	2
150	как способ	1	2
151	имеет место	1	2
152	но на	1	2
153	и даже	1	2
154	ногами и	2	2
155	одной стороны	2	2
156	могут быть	2	2
157	с одной	2	2
158	во всей	1	2
159	их в	4	2
160	однако все	1	2
161	в противном	1	2
162	не следует	1	2
163	и состоит	1	2
164	в глаза	2	2
165	о том	9	2
166	о чем	4	2
167	в состав	2	2
168	он тем	1	2
169	дома и	1	2
170	на себя	2	2
171	и особенно	1	2
172	и это	1	2
173	как будто	1	2
174	в виду	2	2
175	вытекает из	1	2
176	если бы	1	2
177	и как	2	2
178	совершенно иной	1	2
179	что он	1	2
180	что по	4	1
181	может не	1	1
182	одним из	2	1
183	не могла	1	1
184	каждый из	2	1
185	и совершенно	1	1
186	состоит не	1	1
187	когда мы	2	1
188	не входит	1	1
189	но с	1	1
190	говорит и	1	1
191	есть в	2	1
192	в мировом	1	1
193	когда же	1	1
194	или их	2	1
195	вопрос о	4	1
196	из этих	2	1
197	из которого	1	1
198	многих других	1	1
199	в поле	19	1
200	с нею	1	1
201	это на	1	1
202	за ним	3	1
203	говорит о	2	1
204	несут в	1	1
205	в двух	1	1
206	ее в	8	1
207	в первую	1	1
208	собою как	1	1
209	не будет	1	1
210	случае не	1	1
211	не сами	1	1
212	ее на	2	1
213	нет в	1	1
214	здесь и	1	1
215	с той	1	1
216	и является	1	1
217	образа и	1	1
218	связи с	2	1
219	не было	2	1
220	после того	2	1
221	рядом с	1	1
222	ту сторону	1	1
223	зависит от	1	1
224	прослеживается в	1	1
225	таким же	1	1
226	одновременно и	1	1
227	чиновника или	1	1
228	на то	1	1
229	нет никаких	2	1
230	с ней	5	1
231	можно в	1	1
232	настоящее время	1	1
233	нее как	1	1
234	в какой	1	1
235	отнюдь не	1	1
236	с ним	1	1
237	это еще	1	1
238	превращается в	1	1
239	независимо от	1	1
240	на поле	4	1
241	что это	3	1
242	не более	1	1
243	из того	1	1
244	и другие	14	1
245	тем это	2	1
246	время они	1	1
247	так что	4	1
248	от него	1	1
249	если в	1	1
250	первую очередь	1	1
251	лавку в	1	1
252	не имело	1	1
253	стоит в	1	1
254	в другой	1	1
255	тот же	1	1
256	совершенно не	2	1
257	в своих	2	1
258	себя внимание	1	1
259	если он	2	1
260	от одного	1	1
261	с тем	6	1
262	тем как	1	1
263	в одном	1	1
264	и становится	1	1
265	есть рассказ	1	1
266	одно из	2	1
267	над этим	1	1
268	или после	1	1
269	или даже	3	1
270	совсем не	2	1
271	и должен	1	1
272	из наиболее	2	1
273	за него	1	1
274	оно не	1	1
275	из всего	1	1
276	или же	5	1
277	имея в	1	1
278	собой так	1	1
279	с этой	2	1
280	дело в	1	1
281	что касается	1	1
282	в теорию	1	1
283	это имеет	2	1
284	еще на	1	1
285	к различным	1	1
286	в таких	3	1
287	в таком	4	1
288	а затем	4	1
289	необходимо для	1	1
290	жизнь но	1	1
291	но если	3	1
292	в одно	1	1
293	обе стороны	2	1
294	не составляет	1	1
295	жизнь и	2	1
296	их не	1	1
297	ее как	1	1
298	этом случае	6	1
299	в момент	2	1
300	две стороны	1	1
301	живет в	3	1
302	и на	6	1
303	случае мы	1	1
304	времени его	1	1
305	не принадлежат	2	1
306	на свою	1	1
307	на которой	1	1
308	в коем	1	1
309	смерти но	1	1
310	говорилось выше	1	1
311	как мы	3	1
312	и через	3	1
313	из этого	2	1
314	и одна	1	1
315	можно говорить	1	1
316	у нас	4	1
317	только одно	1	1
318	человека и	1	1
319	в статье	1	1
320	с другими	3	1
321	того чтобы	6	1
322	все мы	1	1
323	связаны с	3	1
324	принадлежат к	2	1
325	и от	3	1
326	не является	1	1
327	для того	6	1
328	смех это	1	1
329	что от	3	1
330	а между	1	1
331	в одной	1	1
332	что для	3	1
333	тому же	1	1
334	один из	2	1
335	на основе	1	1
336	это по	1	1
337	все это	10	1
338	к ним	1	1
339	в пространстве	1	1
340	своему происхождению	1	1
341	что все	1	1
342	же и	1	1
343	из них	4	1
344	собой и	1	1
345	в них	4	1
346	этом и	2	1
347	под именем	3	1
348	не всегда	3	1
349	для этого	5	1
350	одна из	11	1
351	на руках	2	1
352	в котором	3	1
353	как более	1	1
354	если она	2	1
355	он в	1	1
356	и мир	1	1
357	же как	4	1
358	в настоящее	1	1
359	которые будут	1	1
360	как у	1	1
361	также что	2	1
362	значение в	1	1
363	этих случаях	4	1
364	остается в	1	1
365	а по	1	1
366	как уже	2	1
367	не от	1	1
368	в иных	1	1
369	с одним	1	1
370	с собой	1	1
371	она не	3	1
372	должен был	3	1
373	можно предположить	3	1
374	в такой	1	1
375	в одиночку	1	1
376	в это	1	1
377	не во	1	1
378	на земле	5	1
379	в лесу	10	1
380	на них	4	1
381	в различных	1	1
382	быть и	1	1
383	он же	1	1
384	по своим	1	1
385	по его	1	1
386	должен быть	2	1
387	от первого	1	1
388	себе этот	1	1
389	природе и	1	1
390	проявляет себя	1	1
391	подобно тому	3	1
392	и вокруг	1	1
393	мы рассмотрим	4	1
394	или точнее	1	1
395	руках и	1	1
396	представляют собой	7	1
397	не имеет	3	1
398	с которой	1	1
399	ее не	1	1
400	то время	2	1
401	при всем	1	1
402	же в	6	1
403	ее к	2	1
404	по существу	4	1
405	и до	1	1
406	которое в	2	1
407	и где	1	1
408	и есть	1	1
409	который в	1	1
410	и пр	2	1
411	чем и	1	1
412	что она	3	1
413	жизни по	1	1
414	быть назван	1	1
415	но эта	1	1
416	было бы	3	1
417	а после	1	1
418	нас на	1	1
419	имеем не	2	1
420	только на	1	1
421	тому как	3	1
422	или смерть	1	1
423	на нее	6	1
424	именно это	1	1
425	части и	2	1
426	означает что	1	1
427	так как	13	1
428	и е	2	1
429	обычно в	1	1
430	можно было	2	1
431	в лес	3	1
432	сливается с	1	1
433	из своих	1	1
434	полагая что	1	1
435	все что	1	1
436	он показывает	2	1
437	собой как	1	1
438	и более	1	1
439	может иметь	1	1
