N	2gram	Tiupa_Disk_2	Poddanst
171	может оказаться	1	1
172	в самом	1	1
173	только то	1	1
174	в условиях	1	1
175	в которой	1	1
176	представляет собой	11	1
177	из этих	3	1
178	в окружающем	1	1
179	человека с	1	1
180	себя в	6	1
181	оказывается в	1	1
182	св георгия	1	1
183	себе те	1	1
184	в большинстве	2	1
185	только на	1	1
186	но на	1	1
187	в мир	1	1
188	к миру	1	1
189	связывается с	1	1
190	мир в	1	1
191	судьбы но	1	1
192	одно из	4	1
193	не как	1	1
194	и творческих	1	1
195	друг друга	1	1
196	и только	1	1
197	каждый из	1	1
198	при отсутствии	1	1
199	одно и	2	1
200	представляют собой	1	1
201	друга на	1	1
202	из двух	3	1
203	она оказывается	1	1
204	в исторической	3	1
205	не были	1	1
206	ней и	1	1
207	или иной	3	1
208	большинстве случаев	1	1
209	его в	3	1
210	и тех	1	1
211	живет в	2	1
212	и иных	1	1
213	и быть	1	1
214	а с	5	1
215	и недостаточно	1	1
216	в это	1	1
217	но есть	1	1
218	которая и	1	1
219	далеко не	2	1
220	в этой	4	1
221	и преимущественно	1	1
222	как и	16	1
223	ведет к	3	1
224	в одно	1	1
225	должна была	1	1
226	и еще	1	1
227	в творчестве	3	1
228	в ходе	2	1
229	бытия как	1	1
230	это ощущение	1	1
231	всяком случае	1	1
232	недостаточно для	1	1
233	место в	2	1
234	на каждом	1	1
235	в отличие	12	1
236	бы мы	1	1
237	в данном	7	1
238	вопрос о	1	1
239	и заблуждения	1	1
240	надлежит не	1	1
241	можно говорить	1	1
242	теми же	1	1
243	себе личности	1	1
244	и более	1	1
245	там где	1	1
246	и наоборот	1	1
247	к историческому	1	1
248	о русском	1	1
249	в напряжении	1	1
250	в формах	2	1
251	она не	1	1
252	первоначально и	1	1
253	мире в	3	1
254	исторического бытия	3	1
255	но для	1	1
256	к другим	1	1
257	действительный и	1	1
258	та или	1	1
259	рассматривать как	1	1
260	никогда не	2	1
261	и всегда	1	1
262	в результате	2	1
263	этом мире	2	1
264	к небу	1	1
265	также отчасти	1	1
266	или иная	1	1
267	иными словами	1	1
268	не более	2	1
269	как она	1	1
270	другой стороны	2	1
271	имеет два	1	1
272	в этих	3	1
273	в смене	1	1
274	в случаях	1	1
275	на фоне	1	1
276	даже знаком	1	1
277	именно о	1	1
278	и именно	1	1
279	при сохранении	1	1
280	традиции в	1	1
281	одновременно и	1	1
282	этом не	1	1
283	в других	1	1
284	ни к	5	1
285	начала в	1	1
286	числе и	1	1
287	мы все	1	1
288	не есть	1	1
289	вместе с	2	1
290	к истокам	1	1
291	это в	2	1
292	который не	2	1
293	русской литературы	1	1
294	во всяком	1	1
295	в истоках	1	1
