N	2gram	Trubetskoy_1	Poddanst
172	оно есть	1	1
173	на себя	2	1
174	с ее	1	1
175	том виде	1	1
176	церкви в	1	1
177	тем при	1	1
178	может не	3	1
179	настоящее время	2	1
180	и что	2	1
181	государство и	1	1
182	и усилению	1	1
183	еще не	3	1
184	были бы	2	1
185	и на	5	1
186	он был	1	1
187	или все	1	1
188	самой россии	1	1
189	в различных	1	1
190	вопросу о	3	1
191	у одних	1	1
192	законченной в	1	1
193	в православии	1	1
194	борьбе с	3	1
195	что и	3	1
196	отказом от	1	1
197	не просто	2	1
198	интересов и	1	1
199	интеллигенции и	1	1
200	соединению церквей	5	1
201	мы хотим	1	1
202	в истории	1	1
203	в преодолении	1	1
204	по количеству	1	1
205	что во	1	1
206	путь ведущий	1	1
207	на россию	2	1
208	на будущее	1	1
209	оставаясь в	1	1
210	взор исключительно	1	1
211	все же	4	1
212	обе эти	1	1
213	вероисповедания в	2	1
214	политического и	1	1
215	более или	4	1
216	должен быть	1	1
217	может оказаться	1	1
218	этот долг	1	1
219	в самом	3	1
220	только то	1	1
221	но как	1	1
222	в которой	1	1
223	что это	3	1
224	их не	2	1
225	формы в	1	1
226	из этих	3	1
227	тот или	1	1
228	если мы	1	1
229	именно на	2	1
230	человека с	1	1
231	и россия	1	1
232	себя в	4	1
233	церквей есть	1	1
234	переходит в	1	1
235	этого творчества	1	1
236	что его	1	1
237	только один	1	1
238	себе те	1	1
239	во многих	2	1
240	в большинстве	3	1
241	только на	2	1
242	в жертву	1	1
243	на то	5	1
244	если он	1	1
245	но на	1	1
246	как оно	1	1
247	не могла	1	1
248	и знать	1	1
249	веры и	1	1
250	только к	3	1
251	тем чтобы	3	1
252	мы знаем	1	1
253	считают себя	1	1
254	есть та	1	1
255	и иерархии	1	1
256	и построений	1	1
257	европы и	1	1
258	исторических эпох	1	1
259	к ним	1	1
260	друг друга	3	1
261	чтобы в	2	1
262	мы можем	2	1
263	и только	5	1
264	при отсутствии	2	1
265	и по	3	1
266	и экономической	1	1
267	перед россией	3	1
268	догматов и	1	1
269	значительной части	2	1
270	бы это	1	1
271	россию как	1	1
272	тем в	1	1
273	вселенской и	1	1
274	из двух	1	1
275	без того	1	1
276	или политической	1	1
277	или иной	5	1
278	из всех	2	1
279	на этой	2	1
280	большинстве случаев	2	1
281	ясно что	2	1
282	о соединении	11	1
283	его в	4	1
284	русской интеллигенции	8	1
285	связаны с	1	1
286	совершенно ясно	1	1
287	этих последствий	1	1
288	к народу	3	1
289	а с	2	1
290	бы нас	2	1
291	русской культуры	2	1
292	что не	1	1
293	или хотя	1	1
294	с богом	1	1
295	из нее	1	1
296	кто не	1	1
297	церковь и	1	1
298	не исключает	1	1
299	в этой	4	1
300	на основании	2	1
301	черты в	1	1
302	как и	4	1
303	с которым	1	1
304	в свете	1	1
305	к стремлению	1	1
306	и многие	1	1
307	не доходят	1	1
308	не об	1	1
309	нисколько не	2	1
310	подходя к	1	1
311	в одно	1	1
312	вселенской церкви	3	1
313	или менее	4	1
314	и при	6	1
315	татары не	1	1
316	так же	2	1
317	усомниться в	1	1
318	представить себе	2	1
319	всяком случае	6	1
320	от церкви	3	1
321	хозяйственной жизни	1	1
322	многих случаях	1	1
323	прийти к	1	1
324	место в	2	1
325	знаем что	3	1
326	в данном	7	1
327	вопрос о	5	1
328	он будет	4	1
329	верить что	1	1
330	этих учений	1	1
331	и заблуждения	1	1
332	эта не	1	1
333	есть проблема	1	1
334	теми же	1	1
335	эти последние	1	1
336	и эти	1	1
337	и более	2	1
338	в прошлом	1	1
339	или что	1	1
340	друг с	14	1
341	ее части	1	1
342	стремления к	2	1
343	некоторых частей	1	1
344	называли себя	1	1
345	и вся	1	1
346	своих интересов	1	1
347	и осуществить	1	1
348	национального целого	1	1
349	от тех	1	1
350	чем то	1	1
351	россия есть	1	1
352	стремление к	7	1
353	что эта	1	1
354	она не	2	1
355	что с	2	1
356	но для	2	1
357	для каждого	1	1
358	к другим	1	1
359	тогда когда	4	1
360	значительная часть	1	1
361	исторической и	1	1
362	соединении церквей	12	1
363	к победе	1	1
364	и духовный	1	1
365	того чтобы	8	1
366	проблема и	1	1
367	та или	1	1
368	эта задача	1	1
369	она может	3	1
370	вполне и	2	1
371	никогда не	5	1
372	наука и	1	1
373	и всегда	1	1
374	в результате	2	1
375	казалось бы	1	1
376	о котором	3	1
377	в настоящее	2	1
378	чтобы понять	2	1
379	русских людей	1	1
380	что народ	1	1
381	более что	1	1
382	что по	1	1
383	и часть	1	1
384	с чертами	1	1
385	если будет	1	1
386	и теперь	1	1
387	в этих	2	1
388	к соединению	4	1
389	значило бы	2	1
390	из тех	1	1
391	и внутренне	1	1
392	национальность в	1	1
393	и национальные	1	1
394	знаем и	1	1
395	исходить из	1	1
396	что все	3	1
397	этот выход	1	1
398	есть и	2	1
399	в других	2	1
400	выступит в	1	1
401	ни к	7	1
402	числе и	1	1
403	рабочих и	1	1
404	что оно	3	1
405	пути к	2	1
406	к этой	4	1
407	ни на	1	1
408	не есть	3	1
409	вместе с	4	1
410	это в	2	1
411	что при	1	1
412	во всяком	9	1
413	многие из	1	1
414	они не	1	1
