N	2gram	Bakhtin_fo_2	VLabPisa
323	между собой	1	1
324	не был	2	1
325	здесь не	2	1
326	это имеет	1	1
327	по своему	2	1
328	значение и	4	1
329	себе и	1	1
330	и преодоления	1	1
331	образов но	1	1
332	это самое	1	1
333	в истории	4	1
334	что во	1	1
335	опирается на	2	1
336	подробно разработанный	1	1
337	бы при	1	1
338	для их	1	1
339	человека вообще	1	1
340	кроме того	3	1
341	частей и	1	1
342	жанров но	1	1
343	целый ряд	3	1
344	что по	1	1
345	и наконец	6	1
346	наконец у	1	1
347	не являются	1	1
348	связанный с	1	1
349	является выражением	1	1
350	имеют громадное	1	1
351	тон и	2	1
352	роль играет	1	1
353	то в	2	1
354	историческая и	1	1
355	формы в	1	1
356	уже в	4	1
357	нужно как	1	1
358	не герои	1	1
359	многообразие и	1	1
360	всего необходимо	1	1
361	ничего и	1	1
362	этого образа	1	1
363	имеем в	3	1
364	связи между	2	1
365	их что	1	1
366	от природы	1	1
367	дальше и	1	1
368	так сказать	7	1
369	на его	1	1
370	очень важную	1	1
371	идей и	1	1
372	этом свидетельствует	1	1
373	да и	1	1
374	что должно	1	1
375	и еще	1	1
376	не значит	1	1
377	не как	1	1
378	понятий и	1	1
379	уже не	3	1
380	его от	1	1
381	на этом	2	1
382	и речи	1	1
383	одно и	1	1
384	а вместе	1	1
385	для характеристики	1	1
386	и характер	1	1
387	связанных с	3	1
388	то есть	10	1
389	для своей	1	1
390	в несколько	1	1
391	это состояние	1	1
392	на протяжении	3	1
393	что один	1	1
394	чаще всего	1	1
395	в новое	1	1
396	смерть и	8	1
397	с этой	4	1
398	и следовало	1	1
399	практической жизни	1	1
400	которой он	2	1
401	несмотря на	1	1
402	на этот	1	1
403	понятия и	1	1
404	идей которые	1	1
405	только природу	1	1
406	в этих	3	1
407	вещи в	1	1
408	с положительной	1	1
409	появляются и	1	1
410	целого или	1	1
411	художественное мышление	1	1
412	вот к	1	1
413	что до	1	1
414	в частном	1	1
415	и продолжается	1	1
416	значение для	2	1
417	образом и	1	1
418	но он	2	1
419	друг другу	2	1
420	в прямом	2	1
421	обращение к	1	1
422	и эти	1	1
423	было предложено	1	1
424	в устах	1	1
425	не представляют	1	1
426	нет никакого	1	1
427	что есть	1	1
428	все для	1	1
429	вплоть до	2	1
430	д обычно	1	1
431	в таких	1	1
432	о значении	1	1
433	как можно	3	1
434	с которой	1	1
435	эти формы	2	1
436	смертью в	1	1
437	время как	1	1
438	материала в	1	1
439	и имеет	2	1
440	но только	1	1
441	не имеет	1	1
442	о природе	1	1
443	новеллы в	1	1
444	в обычных	1	1
445	сложность и	2	1
446	охватить и	1	1
447	как не	1	1
448	около двух	1	1
449	моменты в	1	1
450	большом количестве	1	1
451	глубину и	1	1
452	только с	1	1
453	или частично	1	1
454	в основе	6	1
455	поэтов как	1	1
456	нет даже	1	1
457	раскрывается в	1	1
458	чрезвычайно важно	1	1
459	лежит в	2	1
460	бы он	1	1
461	функцию в	1	1
462	наконец что	1	1
463	и это	2	1
464	и поэтому	1	1
465	с ее	1	1
466	связи со	1	1
467	данном случае	1	1
468	и явлениями	1	1
469	то время	1	1
470	так было	1	1
471	это для	1	1
472	в дальнейшем	5	1
473	эдгара по	1	1
474	и сам	1	1
475	по аналогии	2	1
476	в нескольких	1	1
477	это вовсе	1	1
478	в плоскости	2	1
479	и развязка	1	1
480	по сравнению	1	1
481	жизнь и	3	1
482	мы в	1	1
483	строго говоря	2	1
484	этой жизни	1	1
485	это обычно	1	1
486	громадное значение	5	1
487	с ним	4	1
488	на море	1	1
489	путем чисто	1	1
490	на него	1	1
491	в действительной	2	1
492	скорее к	1	1
493	и детей	2	1
494	и та	2	1
495	и что	1	1
496	была найдена	1	1
497	в глаза	1	1
498	др и	1	1
499	а также	3	1
500	аналогии с	1	1
501	или как	1	1
502	доходит до	1	1
503	затем в	3	1
504	и во	6	1
505	на одном	1	1
506	говорит он	1	1
507	в форме	3	1
508	даже для	1	1
509	романа в	2	1
510	всего этого	1	1
511	труд в	1	1
512	для самого	1	1
513	в него	1	1
514	наконец и	2	1
515	быть и	2	1
516	стиль в	1	1
517	были сами	1	1
518	как нечто	1	1
519	целого и	1	1
520	быть сведены	1	1
521	во времени	3	1
522	ему самому	1	1
523	и ряд	1	1
524	в большом	1	1
525	образов в	1	1
526	эти образы	2	1
527	есть в	1	1
528	разнообразные формы	1	1
529	конечно не	4	1
530	в поэзии	2	1
531	в виде	1	1
532	свидетельствует о	1	1
533	еще одну	1	1
534	этому вопросу	1	1
535	данного человека	1	1
536	и других	2	1
537	право говорить	1	1
538	отдельные элементы	1	1
539	характерно что	2	1
540	что будет	1	1
541	себе в	1	1
542	ни в	1	1
543	ними нет	1	1
544	представлений о	2	1
545	сами по	2	1
546	не для	2	1
547	в состоянии	1	1
548	отношение к	3	1
549	и цельного	1	1
550	но что	1	1
551	каждый из	2	1
552	широко и	1	1
553	и вдруг	1	1
554	тем что	3	1
555	и вместе	1	1
556	смысла и	2	1
557	со всем	1	1
558	без всякой	1	1
559	бодлера в	1	1
560	формы для	3	1
561	этим путем	1	1
562	что тот	1	1
563	глубокая и	1	1
564	в свою	1	1
565	бытия в	1	1
566	о льве	1	1
567	себя и	3	1
568	них и	1	1
569	и самый	2	1
570	в действии	1	1
571	и раскрыть	1	1
572	темы романа	1	1
573	наконец в	2	1
574	самого начала	1	1
575	со своими	2	1
576	или с	1	1
577	особенно часто	1	1
578	мира в	3	1
579	строение и	1	1
580	него был	1	1
581	если не	2	1
582	очень часто	2	1
583	имеет свои	1	1
584	так называемой	1	1
585	роман обычно	1	1
586	многих его	1	1
587	в духе	2	1
588	как в	4	1
589	их к	1	1
590	в данном	2	1
591	сравнению с	1	1
592	необходимо подчеркнуть	1	1
593	в той	2	1
594	плоти и	2	1
595	исходя из	1	1
596	это значит	3	1
597	должно быть	5	1
598	всего может	1	1
599	слова и	3	1
600	благодаря этому	1	1
601	только для	2	1
602	но это	2	1
603	на своем	1	1
604	трудового дня	2	1
605	мы видим	2	1
606	этих формах	1	1
607	форм и	1	1
608	для такого	1	1
609	это как	1	1
610	романа и	1	1
611	ее и	2	1
612	в каждой	1	1
613	внимание на	1	1
614	и все	6	1
615	уже есть	1	1
616	той или	1	1
617	еще более	4	1
618	и ни	1	1
619	и смысл	1	1
620	вообще в	1	1
621	находится в	2	1
622	потому что	8	1
623	хотя в	1	1
624	еще в	1	1
625	под рукой	1	1
626	всего человека	1	1
627	дело с	1	1
628	состоит из	1	1
629	от всех	1	1
630	совершенно не	1	1
631	это на	1	1
632	авантюрного романа	1	1
633	природе и	1	1
634	в последнем	2	1
635	и идеи	3	1
636	есть и	4	1
637	и толстого	1	1
638	в заключение	2	1
639	исключительное значение	1	1
640	это было	1	1
641	и другие	3	1
642	своем рассказе	1	1
643	в таком	1	1
644	и символов	1	1
645	и идей	3	1
