N	2gram	Berdyaev_V_1	NovoeSre
233	истории человечества	3	1
234	уже в	1	1
235	истины не	1	1
236	человеческого духа	1	1
237	бог не	1	1
238	вера в	2	1
239	истина не	1	1
240	для того	1	1
241	земли и	2	1
242	нелюбовь к	1	1
243	в существе	2	1
244	в конце	3	1
245	не для	1	1
246	бытия и	1	1
247	не случайно	1	1
248	и ныне	2	1
249	людей и	2	1
250	тем что	2	1
251	духа все	1	1
252	вот что	1	1
253	и вместе	1	1
254	но все	1	1
255	это значит	1	1
256	в платоновском	1	1
257	от мирового	1	1
258	значение в	1	1
259	жизни от	1	1
260	всякого содержания	1	1
261	не были	1	1
262	ней и	1	1
263	был в	1	1
264	это одна	1	1
265	от неба	1	1
266	лишь на	1	1
267	и быть	1	1
268	но дух	1	1
269	весь мир	1	1
270	себя и	1	1
271	что не	4	1
272	с богом	4	1
273	религиозного сознания	5	1
274	для них	2	1
275	их не	1	1
276	не верит	3	1
277	превращается в	3	1
278	есть соединение	1	1
279	и царства	1	1
280	они не	1	1
281	в этой	1	1
282	ничем не	1	1
283	власти и	1	1
284	к языческому	1	1
285	не всегда	1	1
286	жизнь в	1	1
287	не быть	1	1
288	платоновском смысле	1	1
289	отказаться от	1	1
290	человеческой жизни	1	1
291	ее на	1	1
292	в боге	5	1
293	и злобой	1	1
294	имеет никакой	1	1
295	считать себя	1	1
296	что мы	4	1
297	бога нет	2	1
298	который я	1	1
299	в этих	3	1
300	бога когда	1	1
301	что истина	2	1
302	окончательно в	1	1
303	зачем же	2	1
304	религиозном смысле	2	1
305	в котором	4	1
306	перестала быть	1	1
307	мы в	1	1
308	и мир	1	1
309	у нас	1	1
310	жизни с	1	1
311	в бытие	1	1
312	отпадения от	1	1
313	в другие	1	1
314	в мир	1	1
315	есть еще	1	1
316	их в	3	1
317	в состоянии	1	1
318	совести и	2	1
319	и религиозном	1	1
320	жизни во	1	1
321	мира с	1	1
322	и очень	1	1
323	будто бы	1	1
324	нет никакого	1	1
325	в атмосфере	1	1
326	так как	9	1
327	человечества и	3	1
328	человека не	1	1
329	есть прежде	1	1
330	в познании	1	1
331	и обманом	1	1
332	неба и	1	1
333	временному и	1	1
334	не по	1	1
335	зла в	1	1
336	в силах	4	1
337	так много	2	1
338	нет бога	1	1
339	которая в	1	1
340	никогда еще	2	1
341	а к	2	1
342	всего что	1	1
343	верят в	3	1
344	она с	1	1
345	от веры	2	1
346	более всего	1	1
347	свобода человека	1	1
348	не утверждение	1	1
349	есть уже	2	1
350	потребность в	1	1
351	они будут	4	1
352	давно уже	2	1
353	человеческого общества	1	1
354	нет ничего	3	1
355	в речах	1	1
356	индивидуализм есть	1	1
357	есть и	1	1
358	и всех	1	1
359	ли он	1	1
360	смысла мира	2	1
361	людей но	1	1
362	в которой	1	1
363	на путь	1	1
364	не верят	3	1
365	жизни без	1	1
366	во всяком	2	1
367	свое и	1	1
368	оно не	3	1
369	все что	4	1
