N	2gram	Vinokur_Vv_1	VrazhdaK
321	оказалось что	2	1
322	за исключением	1	1
323	в предисловии	1	1
324	он оставил	1	1
325	во всем	2	1
326	сложности и	1	1
327	это сказалось	3	1
328	в качестве	7	1
329	себя в	2	1
330	истории человечества	1	1
331	своим собственным	1	1
332	хотя в	2	1
333	а это	1	1
334	ни с	2	1
335	говорит о	3	1
336	пока не	1	1
337	в известной	3	1
338	мы находим	1	1
339	в одном	4	1
340	своих собственных	1	1
341	ее не	1	1
342	но которая	2	1
343	установлено что	1	1
344	каждый из	2	1
345	и никогда	1	1
346	не просто	4	1
347	от того	3	1
348	было однако	1	1
349	в особенности	4	1
350	из двух	2	1
351	нужно было	1	1
352	и речи	1	1
353	и из	1	1
354	с другой	8	1
355	именно в	8	1
356	все равно	1	1
357	прежде всего	8	1
358	в соответствии	2	1
359	только по	3	1
360	на этот	4	1
361	до конца	3	1
362	для начала	1	1
363	человек в	1	1
364	с конца	2	1
365	одну из	1	1
366	что из	1	1
367	в подобных	1	1
368	во франции	1	1
369	с помощью	1	1
370	большое внимание	1	1
371	не заметили	1	1
372	в частности	3	1
373	него в	2	1
374	по праву	1	1
375	с идеями	1	1
376	д в	2	1
377	человека к	1	1
378	или по	1	1
379	из которых	2	1
380	этого типа	1	1
381	того что	12	1
382	был в	2	1
383	в свое	2	1
384	еще раз	1	1
385	известном смысле	3	1
386	сих пор	5	1
387	оба они	1	1
388	но для	1	1
389	не любил	1	1
390	ближе к	2	1
391	более того	1	1
392	которых он	1	1
393	и от	1	1
394	котором он	2	1
395	это можно	1	1
396	о котором	8	1
397	это как	1	1
398	работы над	6	1
399	хотя и	3	1
400	бы в	1	1
401	писателя не	1	1
402	еще более	1	1
403	конце концов	2	1
404	но зато	2	1
405	только что	4	1
406	в обоих	2	1
407	отношении к	2	1
408	нам не	1	1
409	о своем	1	1
410	быть и	2	1
411	только как	6	1
412	другой стороны	5	1
413	читать эти	2	1
414	враждебное отношение	1	1
415	автора в	1	1
416	которой был	1	1
417	только о	2	1
418	жизни и	2	1
419	как на	11	1
420	точно так	2	1
421	все что	1	1
422	они не	1	1
