N	2gram	Vinokur_Vv_1	Sovremen
379	и тогда	3	1
380	но для	1	1
381	в обоих	2	1
382	свое время	2	1
383	которых он	1	1
384	мысли в	1	1
385	следовательно они	1	1
386	эти процессы	1	1
387	стадии развития	1	1
388	образом вся	1	1
389	не имеет	4	1
390	например у	1	1
391	дело в	3	1
392	не вытекает	1	1
393	мы помним	1	1
394	это уже	1	1
395	без остатка	2	1
396	условий в	1	1
397	и от	1	1
398	вытекает из	1	1
399	никогда не	3	1
400	или в	1	1
401	и всегда	1	1
402	другое дело	3	1
403	это как	1	1
404	хотя и	3	1
405	это то	1	1
406	о методе	1	1
407	вступила в	1	1
408	или нет	1	1
409	случае и	1	1
410	жизни как	2	1
411	а отдельные	1	1
412	древней греции	2	1
413	и его	5	1
414	что следовательно	1	1
415	связи с	3	1
416	ни было	1	1
417	же в	1	1
418	наших дней	1	1
419	но это	1	1
420	на части	1	1
421	этой области	3	1
422	на которой	1	1
423	к современным	1	1
424	их по	1	1
425	и из	1	1
426	ли это	1	1
427	между ними	2	1
428	это делает	2	1
429	сказать что	5	1
430	методе исследования	1	1
431	и для	4	1
432	он называет	1	1
433	в духе	1	1
434	не что	4	1
435	в то	5	1
436	в свое	2	1
437	есть то	1	1
438	самое что	2	1
439	них это	1	1
440	мы по	1	1
441	в какой	4	1
442	назвать в	1	1
443	этого и	1	1
444	просто не	1	1
445	но еще	1	1
446	той или	1	1
447	и историей	6	1
448	в своих	2	1
449	и эта	1	1
450	которая не	1	1
451	все что	1	1
452	они не	1	1
