N	2gram	Tiupa_Hudo_1	Poddanst
221	только один	1	1
222	уже в	1	1
223	во многих	1	1
224	говорить об	2	1
225	только на	2	1
226	молодежи и	1	1
227	на то	4	1
228	но на	1	1
229	духовного напряжения	1	1
230	наш взгляд	2	1
231	в мир	1	1
232	не могла	1	1
233	в определенном	1	1
234	этого процесса	1	1
235	т д	3	1
236	связывается с	1	1
237	мы знаем	2	1
238	в восприятии	1	1
239	одно из	1	1
240	не как	1	1
241	и жизненной	1	1
242	иначе как	1	1
243	эта вторая	1	1
244	наших глазах	1	1
245	друг друга	5	1
246	чтобы в	1	1
247	века в	1	1
248	и только	1	1
249	каждый из	1	1
250	при отсутствии	1	1
251	широты и	1	1
252	на наш	2	1
253	и по	3	1
254	момент когда	2	1
255	от нее	1	1
256	представляют собой	2	1
257	тем в	1	1
258	из двух	1	1
259	на этой	1	1
260	ясно что	2	1
261	два разных	1	1
262	его в	3	1
263	и тех	1	1
264	живет в	2	1
265	и быть	4	1
266	весь мир	1	1
267	было и	1	1
268	а с	2	1
269	в природе	1	1
270	о личности	1	1
271	что не	2	1
272	в это	2	1
273	обратиться к	1	1
274	на свои	1	1
275	собой его	1	1
276	выступает в	1	1
277	из нее	1	1
278	них и	1	1
279	не одной	1	1
280	мир от	1	1
281	далеко не	1	1
282	европейских стран	1	1
283	в этой	8	1
284	личности не	1	1
285	не ослабевает	1	1
286	как и	9	1
287	и уже	1	1
288	имеет к	1	1
289	говорится о	2	1
290	к а	1	1
291	и я	1	1
292	философской мысли	1	1
293	нисколько не	1	1
294	когда в	1	1
295	или менее	1	1
296	и м	2	1
297	в творчестве	3	1
298	в ходе	3	1
299	древней руси	1	1
300	бытия как	1	1
301	творения в	1	1
302	уже невозможно	1	1
303	представить себе	1	1
304	всяком случае	1	1
305	к предмету	1	1
306	ли они	1	1
307	что именно	1	1
308	место в	1	1
309	в отличие	1	1
310	мысли и	1	1
311	знаем что	1	1
312	в данном	1	1
313	вопрос о	2	1
314	он будет	1	1
315	можно говорить	1	1
316	он живет	1	1
317	как к	3	1
318	и более	1	1
319	в прошлом	1	1
320	там где	1	1
321	друг с	1	1
322	и наоборот	1	1
323	в предыдущем	1	1
324	и менее	1	1
325	xix в	4	1
326	что эта	1	1
327	она не	4	1
328	иной раз	1	1
329	не будут	1	1
330	но для	1	1
331	к другим	1	1
332	этом смысле	1	1
333	и глубины	1	1
334	должны в	1	1
335	г а	1	1
336	с и	2	1
337	как возможность	1	1
338	того чтобы	3	1
339	та или	3	1
340	и скоро	1	1
341	не имеет	2	1
342	никогда не	6	1
343	и всегда	1	1
344	в результате	2	1
345	казалось бы	7	1
346	о котором	2	1
347	что делать	1	1
348	этих двух	1	1
349	степени чем	1	1
350	или иная	3	1
351	не более	1	1
352	и которая	1	1
353	в ком	1	1
354	как она	2	1
355	в г	1	1
356	только что	4	1
357	в этих	5	1
358	давно уже	1	1
359	на фоне	2	1
360	нет ничего	2	1
361	в движении	1	1
362	и внутренне	1	1
363	к сфере	1	1
364	относиться к	1	1
365	одновременно и	5	1
366	ей предстоит	1	1
367	что все	1	1
368	этом не	1	1
369	единства в	1	1
370	ни к	2	1
371	в трех	1	1
372	что оно	1	1
373	к сожалению	1	1
374	пути к	1	1
375	ранее в	1	1
376	к этой	3	1
377	ни на	1	1
378	чисто внешних	1	1
379	и другие	1	1
380	все еще	2	1
381	к истокам	1	1
382	это в	3	1
383	что при	3	1
384	который не	1	1
385	русской литературы	1	1
386	во всяком	1	1
387	они не	2	1
388	и личности	1	1
